name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
都会轩 实验学区 精装一居 黄金楼层 私产过2 大产权,单价59723元/平米,430,| 1室1厅 | 72平米 | 西北 | 精装,低楼层(共49层)  2012年建板楼  -,
团圆里 3室1厅 418万,单价45435元/平米,418,| 3室1厅 | 92平米 | 南 | 其他,中楼层(共4层)  板楼  -,
城建里 2室0厅 300万,单价46875元/平米,300,| 2室0厅 | 64平米 | 东 | 其他,低楼层(共6层)  1991年建板楼  -,
睦南道 2室1厅 260万,单价86667元/平米,260,| 2室1厅 | 30平米 | 南 | 其他,低楼层(共3层)  1990年建板楼  -,
保利大都会天汇雅苑 4室2厅 1100万,单价60110元/平米,1100,| 4室2厅 | 183平米 | 东南 | 其他,低楼层(共42层)  2013年建板楼  -,
永勤里 2室1厅 460万,单价50550元/平米,460,| 2室1厅 | 91平米 | 东南 | 其他,低楼层(共17层)  1991年建板楼  -,
松寿里 2室0厅 245万,单价50257元/平米,245,| 2室0厅 | 48.75平米 | 南 北 | 其他,高楼层(共6层)  1992年建板楼  -,
复元里 2室0厅 350万,单价65914元/平米,350,| 2室0厅 | 53.1平米 | 南 北 | 其他,低楼层(共5层)  1980年建板楼  -,
诚基经贸中心 2室1厅 300万,单价27778元/平米,300,| 2室1厅 | 108平米 | 北 | 精装,中楼层(共50层)  2008年建塔楼  -,
滨府里 2室1厅 187万,单价27911元/平米,187,| 2室1厅 | 67平米 | 东 | 其他,高楼层(共7层)  1990年建板楼  -,
南市蓉芳里 黄金一楼  可搭小院  南北通透  万全学片,单价49692元/平米,306,| 2室1厅 | 61.58平米 | 南 北 | 其他,低楼层(共9层)  1998年建板楼  -,
保利大都会天汇尚苑 2室2厅 740万,单价55640元/平米,740,| 2室2厅 | 133平米 | 南 | 其他,中楼层(共38层)  2012年建板楼  -,
天兴里 1室0厅 138万,单价75658元/平米,138,| 1室0厅 | 18.24平米 | 南 | 其他,中楼层(共5层)  1979年建板楼  -,
市场里 阳面两室 不临街 安静 业主诚心卖,单价55898元/平米,300,| 2室0厅 | 53.67平米 | 南 | 精装,中楼层(共7层)  板楼  -,
裕德里 万全学片 公产房 地铁房,单价58516元/平米,190,| 1室0厅 | 32.47平米 | 东 | 简装,高楼层(共8层)  板楼  -,
庆有西里 万全铁片 低楼层 阳面一室,单价65481元/平米,195,| 1室0厅 | 29.78平米 | 南 | 精装,低楼层(共7层)  1997年建板楼  -,
陵阳里 诚意出售 眼科医院 儿童公园,单价58494元/平米,198,| 1室0厅 | 33.85平米 | 东 北 | 简装,中楼层(共5层)  1990年建板楼  -,
成都道137号 和平中心位置 两室无遮挡,单价64812元/平米,326,| 2室0厅 | 50.3平米 | 南 | 其他,中楼层(共5层)  1998年建板楼  -,
天新北里 地铁站旁 通透户型 交通方便 私产,单价43983元/平米,360,| 2室1厅 | 81.85平米 | 南 北 | 其他,低楼层(共7层)  1997年建板楼  -,
泰安道五大院 过2年 改善住房 海河观景房,单价51352元/平米,950,| 4室1厅 | 185平米 | 东 西 | 其他,低楼层(共9层)  2012年建板塔结合  -,
同发里 精装三室 户型方正  无遮挡采光好,单价37114元/平米,360,| 3室2厅 | 97平米 | 南 | 精装,中楼层(共9层)  1999年建板楼  -,
裕德里 地铁房 交通便利 配套齐全,单价52828元/平米,255,| 2室0厅 | 48.27平米 | 西北 | 精装,高楼层(共8层)  1985年建板楼  -,
天兴里 中心铁片 采光好 南北向一居室,单价63847元/平米,166,| 1室1厅 | 26平米 | 南 北 | 其他,低楼层(共5层)  1979年建板楼  -,
天兴里 南北向两室 明厨明卫 户型方正,单价44346元/平米,240,| 2室1厅 | 54.12平米 | 南 北 | 毛坯,高楼层(共5层)  1979年建板楼  -,
金泉里 私产可贷款 黄金楼层 采光好视野佳 可上学,单价44082元/平米,200,| 1室0厅 | 45.37平米 | 南 | 其他,中楼层(共6层)  1987年建板楼  -,
重庆道 2室0厅 253万,单价63922元/平米,253,| 2室0厅 | 39.58平米 | 南 | 简装,中楼层(共4层)  1990年建板楼  -,
陕西路93号  采光好 配套完善 出行方便,单价54799元/平米,185,| 1室0厅 | 33.76平米 | 东 | 其他,低楼层(共3层)    -,
诚基经贸中心 1室1厅 165万,单价24265元/平米,165,| 1室1厅 | 68平米 | 南 | 其他,高楼层(共33层)  2008年建塔楼  -,
环球金融中心津塔公寓 1室0厅 320万,单价35556元/平米,320,| 1室0厅 | 90平米 | 西南 | 其他,低楼层(共30层)  2010年建塔楼  -,
宁夏路 低楼层  户型方正  地段繁华,单价72545元/平米,130,| 1室0厅 | 17.92平米 | 东 | 毛坯,低楼层(共1层)  板楼  -,
银达公寓 3室1厅 416万,单价34885元/平米,416,| 3室1厅 | 119.25平米 | 南 北 | 精装,中楼层(共7层)  1998年建板楼  -,
诚基经贸中心 1室0厅 143万,单价23245元/平米,143,| 1室0厅 | 61.52平米 | 西 | 其他,高楼层(共50层)  2008年建塔楼  -,
树德楼  私产房 交通便利 东西通透明厨明卫,单价36173元/平米,172,| 2室0厅 | 47.55平米 | 东 西 | 简装,高楼层(共6层)  1988年建板楼  -,
金茂广场 黄金楼层 繁华地段 交通便利,单价17830元/平米,105,| 2室1厅 | 58.89平米 | 北 | 其他,中楼层(共46层)  1990年建板楼  -,
辽宁路 1室1厅 145万,单价41957元/平米,145,| 1室1厅 | 34.56平米 | 南 | 其他,中楼层(共4层)  板楼  -,
世昌里 阳面一室 无遮挡 采光充足 视野宽阔,单价60391元/平米,161,| 1室0厅 | 26.66平米 | 南 | 简装,高楼层(共7层)  板楼  -,
吉利花园 2室1厅 330万,单价51021元/平米,330,| 2室1厅 | 64.68平米 | 西北 | 其他,低楼层(共32层)  2002年建板楼  -,
明源里 俯瞰海河 交通便利 地铁房,单价22250元/平米,178,| 2室1厅 | 80平米 | 东 | 其他,高楼层(共22层)  1991年建板楼  -,
康达公寓 精装修 南北通透 低楼层,单价41733元/平米,530,| 2室1厅 | 127平米 | 南 北 | 精装,低楼层(共15层)  1999年建板塔结合  -,
华润紫阳里 和平非学区 次新房  精装修,单价26842元/平米,176,| 2室1厅 | 65.57平米 | 东南 | 其他,中楼层(共15层)  2015年建塔楼  -,
竞业里 黄金三楼 阳面独厨 地铁房,单价36920元/平米,70,| 1室0厅 | 18.96平米 | 南 | 简装,中楼层(共5层)  1990年建板楼  -,
天津中心 市中心 落户投资 精装好户型,单价24990元/平米,232,| 1室1厅 | 92.84平米 | 东北 | 其他,中楼层(共46层)  2009年建塔楼  -,
融御 地理位置好 配套成熟 学区房,单价57235元/平米,538,| 2室1厅 | 94平米 | 东 | 其他,低楼层(共59层)  2015年建塔楼  -,
爱建公寓 2室2厅 450万,单价37469元/平米,450,| 2室2厅 | 120.1平米 | 南 | 其他,高楼层(共16层)  2002年建板塔结合  -,
仰止坊 低楼层 企业产大一室 鞍山道学片,单价34655元/平米,125,| 1室0厅 | 36.07平米 | 东 | 毛坯,低楼层(共3层)  1990年建板楼  -,
华荫东里 学区房 出行便利 小区环境整洁,单价55945元/平米,320,| 2室1厅 | 57.2平米 | 东南 | 简装,高楼层(共6层)  1996年建板楼  -,
新福方里 万全学区 低价两室，配套齐全,单价43230元/平米,280,| 2室1厅 | 64.77平米 | 西 | 简装,高楼层(共7层)  1998年建板楼  -,
新津里 黄金楼层 阳面一室 哈密道学区房,单价40681元/平米,165,| 1室1厅 | 40.56平米 | 南 北 | 毛坯,中楼层(共5层)  1985年建板楼  -,
耀华学片   泰华里  交通便利 周围配套齐全,单价52870元/平米,152,| 1室0厅 | 28.75平米 | 西北 | 简装,中楼层(共4层)  1990年建板楼  -,
紧邻马场道外国大学附近 稀缺两室 户型方正,单价20834元/平米,125,| 2室1厅 | 60平米 | 南 北 | 简装,高楼层(共8层)  1996年建板楼  -,
新华南路小学学区 小一居 一楼 河北路,单价50797元/平米,220,| 1室1厅 | 43.31平米 | 南 | 简装,低楼层(共3层)  1993年建板楼  -,
金德园 精装修 东南金角 无遮挡 视野开阔,单价66102元/平米,600,| 2室1厅 | 90.77平米 | 东南 | 精装,高楼层(共31层)  2011年建板楼  -,
四平东道  鞍山道小学  精装两室  楼层低,单价47278元/平米,330,| 2室2厅 | 69.8平米 | 南 北 | 精装,低楼层(共5层)  1990年建板楼  -,
瑞竹大厦 精装复式 阳面视野好 配套齐全 生活便利,单价28605元/平米,125,| 1室1厅 | 43.7平米 | 南 | 精装,高楼层(共19层)  1990年建塔楼  -,
保利金香槟 精装修两室住宅 有车位,单价61343元/平米,530,| 2室1厅 | 86.4平米 | 西南 | 精装,中楼层(共30层)  2012年建板楼  -,
崇仁里  文明小区  耀华学片  金角采光好  配套齐全,单价39167元/平米,235,| 2室1厅 | 60平米 | 东南 | 简装,高楼层(共7层)  板楼  -,
吉星北里 中心学区 公产房 看房方便 自住干净两室,单价46973元/平米,270,| 2室1厅 | 57.48平米 | 东 北 | 精装,高楼层(共6层)  1984年建板楼  -,
复元里 中心小学片 带小院 配套齐全,单价69671元/平米,300,| 2室1厅 | 43.06平米 | 南 | 精装,低楼层(共5层)  1980年建板楼  -,
河川大厦 临近地铁 周边配套完善生活便利,单价10892元/平米,242,| 3室1厅 | 222.2平米 | 南 | 其他,中楼层(共39层)  1994年建塔楼  -,
汤臣津湾一品 环境优雅 精装两室 采充充足,单价41880元/平米,500,| 2室1厅 | 119.39平米 | 西北 | 精装,低楼层(共57层)  2015年建板楼  -,
中心小学片 松月村 视野好 精装修 有名额,单价42858元/平米,270,| 2室1厅 | 63平米 | 南 | 精装,高楼层(共8层)  1988年建板楼  -,
世昌里  不到顶  双朝南 采光好  交通便利,单价42865元/平米,170,| 2室1厅 | 39.66平米 | 南 | 简装,高楼层(共7层)  板楼  -,
松月村 中心小学铁片房 地铁旁 双阳卧室,单价50545元/平米,320,| 2室1厅 | 63.31平米 | 西南 | 简装,中楼层(共8层)  1988年建板楼  -,
忠信里 精装修 一室 临河 婚房,单价35623元/平米,83,| 1室1厅 | 23.3平米 | 南 | 其他,中楼层(共8层)  1996年建板楼  -,
诚基中心 阳面 可落户贷款 地铁3号线,单价25422元/平米,175,| 1室1厅 | 68.84平米 | 南 | 简装,高楼层(共33层)  2008年建塔楼  -,
耕余里鞍山道学区房 精装 私产房支持贷款,单价52157元/平米,260,| 2室1厅 | 49.85平米 | 东 西 | 精装,高楼层(共7层)  1978年建板楼  -,
景阳里 南北通透三室 全明户型  采光充足,单价45091元/平米,450,| 3室1厅 | 99.8平米 | 南 北 | 精装,高楼层(共8层)  1995年建板楼  -,
诚基中心 明室明厅 可落户 地铁3号线,单价50053元/平米,240,| 3室1厅 | 47.95平米 | 南 | 精装,高楼层(共33层)  2008年建塔楼  -,
长沙路87号 楼层好 全明两室 采光通风俱佳,单价63064元/平米,175,| 2室0厅 | 27.75平米 | 西北 | 简装,低楼层(共3层)  1999年建板楼  -,
市中心  交通便利 二楼独厨  低价落户首选,单价36364元/平米,80,| 1室0厅 | 22平米 | 南 | 简装,中楼层(共5层)  1993年建板楼  -,
诚基中心 精装一居室 耀华学区房 地铁双线,单价35957元/平米,180,| 1室1厅 | 50.06平米 | 北 | 精装,高楼层(共33层)  2008年建塔楼  -,
襄阳道 和平实验小学片 低楼层 精装修,单价61607元/平米,250,| 1室0厅 | 40.58平米 | 南 | 精装,中楼层(共6层)  1987年建板楼  -,
瑞景名郡 交通便利 视野通透 黄金楼层,单价32889元/平米,165,| 2室1厅 | 50.17平米 | 西 | 其他,高楼层(共17层)  2012年建塔楼  -,
同庆后 万全道学区 中间楼层 临近地铁,单价54880元/平米,293,| 2室1厅 | 53.39平米 | 西南 | 其他,中楼层(共7层)  板楼  -,
金泉里 南北通透 户型方正 采光充足,单价40000元/平米,260,| 2室1厅 | 65平米 | 东 | 其他,高楼层(共6层)  1987年建板楼  -,
诚基中心 耀华学片 双地铁 精装复式,单价31618元/平米,215,| 2室2厅 | 68平米 | 北 | 其他,中楼层(共34层)  2008年建塔楼  -,
兴河里 南北通透 阳面两室 非顶楼 采光充足,单价24391元/平米,125,| 2室1厅 | 51.25平米 | 南 北 | 简装,高楼层(共7层)  1989年建板楼  -,
岳康园 重点学区 交通便利 配套设施齐全,单价50644元/平米,315,| 2室1厅 | 62.2平米 | 西 | 其他,低楼层(共7层)  2008年建板楼  -,
新兴里 文明示范小区 双阳面 户型方正,单价39000元/平米,195,| 2室1厅 | 50平米 | 南 | 其他,高楼层(共6层)  1985年建板楼  -,
天汇雅苑 豪华装修 满两年 出行方便,单价61476元/平米,750,| 3室1厅 | 122平米 | 南 | 其他,中楼层(共39层)  2013年建板楼  -,
瑞景名郡 鞍山道地铁附近 精装复式,单价31879元/平米,160,| 2室1厅 | 50.19平米 | 西 | 精装,高楼层(共19层)  1990年建塔楼  -,
林东大楼 民园附近 三室一厅 环境优美,单价64762元/平米,580,| 3室0厅 | 89.56平米 | 南 北 | 其他,高楼层(共4层)  板楼  -,
诚基经贸中心 纯阴面两室 精装修 双地铁上盖 学区房,单价33339元/平米,210,| 2室2厅 | 62.99平米 | 北 | 精装,低楼层(共33层)  2008年建塔楼  -,
诚基经贸中心 阳面采光好黄金楼层,单价38236元/平米,260,| 2室2厅 | 68平米 | 南 | 其他,中楼层(共33层)  2008年建塔楼  -,
塞顿大厦 无浪费面积 配套齐全 户型方正,单价55556元/平米,1100,| 3室2厅 | 198平米 | 南 北 | 其他,低楼层(共32层)  1990年建板楼  -,
诚基中心 纯阳面 带车位 带装修,单价26471元/平米,180,| 1室1厅 | 68平米 | 南 | 其他,高楼层(共33层)  2008年建塔楼  -,
诚基经贸中心 2室1厅 180万,单价30000元/平米,180,| 2室1厅 | 60平米 | 西 | 简装,高楼层(共50层)  2008年建塔楼  -,
吉利花园 2室1厅 375万,单价53321元/平米,375,| 2室1厅 | 70.33平米 | 西 | 其他,中楼层(共32层)  2002年建板楼  -,
金发里 3室1厅 420万,单价36207元/平米,420,| 3室1厅 | 116平米 | 南 北 | 精装,中楼层(共7层)    -,
府上和平 2室1厅 430万,单价55954元/平米,430,| 2室1厅 | 76.85平米 | 南 西 | 其他,中楼层(共33层)  2015年建板楼  -,
森淼清华园 2室2厅 570万,单价47108元/平米,570,| 2室2厅 | 121平米 | 南 | 其他,中楼层(共22层)  2002年建板楼  -,
云琅新居 2室1厅 465万,单价42197元/平米,465,| 2室1厅 | 110.2平米 | 南 北 | 精装,低楼层(共15层)    -,
朗文名邸 2室2厅 600万,单价65574元/平米,600,| 2室2厅 | 91.5平米 | 南 | 其他,低楼层(共32层)  2011年建板楼  -,
长寿公寓 交通便利 采光无遮挡 配套齐全,单价34014元/平米,700,| 3室2厅 | 205.8平米 | 东南 | 其他,中楼层(共18层)  1999年建板楼  -,
树德楼 黄金楼层适合老人居住 公产房,单价60607元/平米,260,| 2室1厅 | 42.9平米 | 西 | 其他,低楼层(共6层)  1988年建板楼  -,
云琅大厦 非顶楼采光充足 适合办公商住两用,单价23000元/平米,358.8,| 4室1厅 | 156平米 | 东 | 其他,高楼层(共13层)  板楼  -,
益寿里 户型方正 采光充足 设施齐全 精装修,单价45091元/平米,248,| 2室1厅 | 55平米 | 南 | 其他,高楼层(共9层)  1997年建板楼  -,
寿安里 经典户型 大两室 小区安静 环境好,单价26511元/平米,158,| 2室1厅 | 59.6平米 | 西南 | 毛坯,高楼层(共6层)  1998年建板楼  -,
天津中心 精装两室 高端住宅 中高楼层,单价24960元/平米,312,| 2室1厅 | 125平米 | 北 | 精装,中楼层(共46层)  2009年建塔楼  -,
汤臣一品海河沿线 高端精装住宅 即买即住,单价45000元/平米,540,| 1室1厅 | 120平米 | 西北 | 其他,中楼层(共57层)  2015年建板楼  -,
益寿里 三室户型 南北通透 无遮挡 采光充足,单价44846元/平米,435,| 3室0厅 | 97平米 | 南 北 | 其他,高楼层(共9层)  1997年建板楼  -,
天新里 户型格局好 配套设施齐全 交通便利,单价31401元/平米,130,| 1室1厅 | 41.4平米 | 北 | 其他,高楼层(共7层)  1985年建板楼  -,
睦南道  带精装修  全明户型  采光好,单价39691元/平米,210,| 1室0厅 | 52.91平米 | 东南 西南 | 简装,低楼层(共3层)  1990年建板楼  -,
河沿里 昆明路学区房 南北通透 明厨明卫,单价30770元/平米,160,| 2室1厅 | 52平米 | 南 北 | 其他,高楼层(共6层)  1985年建板楼  -,
诚基中心 银角 视野采光无遮挡,单价29418元/平米,150,| 1室0厅 | 50.99平米 | 南 西 | 其他,中楼层(共50层)  2008年建塔楼  -,
河北路 紧邻五大道 交通便利 学区房,单价83334元/平米,650,| 1室1厅 | 78平米 | 西 | 简装,低楼层(共1层)  1993年建板楼  -,
诚基中心 金角户型 带露台 稀缺户型,单价31667元/平米,190,| 2室1厅 | 60平米 | 东南 | 精装,高楼层(共33层)  2008年建塔楼  -,
瑞竹大厦 经典复式 市中心 交通方便 非顶层,单价34690元/平米,208,| 2室0厅 | 59.96平米 | 东 北 | 其他,高楼层(共19层)  1990年建塔楼  -,
天津中心 南京路沿线 精装修 阳面采光好,单价26804元/平米,250,| 1室1厅 | 93.27平米 | 南 | 精装,中楼层(共46层)  2009年建塔楼  -,
襄阳道小区 实验铁片 环境优雅 优质户型,单价72414元/平米,210,| 2室0厅 | 29平米 | 南 | 其他,低楼层(共3层)  1987年建板楼  -,
碧云里 交通便利 户型方正 配套齐全,单价35027元/平米,200,| 2室1厅 | 57.1平米 | 西 | 其他,低楼层(共20层)  1988年建板楼  -,
嘉利中心 交通便利 中间楼层 付款方式灵活,单价15816元/平米,280,| 2室2厅 | 177.04平米 | 东 北 | 其他,中楼层(共30层)  2000年建塔楼  -,
诚基中心 耀华学片房 繁华地段 交通便利,单价30000元/平米,165,| 1室1厅 | 55平米 | 北 | 其他,低楼层(共33层)  2008年建塔楼  -,
学区房 府上和平毛坯房交通便利,单价59500元/平米,595,| 2室1厅 | 100平米 | 北 | 其他,低楼层(共33层)  2015年建板楼  -,
同庆后  地铁房  私产过两年 万全道学区,单价63266元/平米,310,| 2室1厅 | 49平米 | 东 西 | 其他,高楼层(共7层)  板楼  -,
港湾中心 海河沿线 景色优美 金角户型 采光充足,单价17997元/平米,215,| 2室1厅 | 119.47平米 | 东南 | 其他,低楼层(共28层)  板楼  -,
崇仁里小区  楼层好  采光佳  耀华学区,单价59968元/平米,185,| 1室0厅 | 30.85平米 | 南 | 其他,低楼层(共6层)  板楼  -,
香榭里 私产过两年 南北通透 大两室 采光和通风效果好,单价34785元/平米,525,| 2室2厅 | 150.93平米 | 南 北 | 其他,中楼层(共7层)  1997年建板楼  -,
宜昌南里 配套齐全 出行便利 生活方便,单价40350元/平米,268,| 2室1厅 | 66.42平米 | 南 北 | 其他,高楼层(共7层)  2000年建板楼  -,
气象台路 无遮挡 采光好 户型方正 临近地铁 交通便利,单价28211元/平米,145,| 2室1厅 | 51.4平米 | 东 西 | 简装,高楼层(共6层)  1984年建板楼  -,
长寿公寓 品质两居两厅 格局好 采光好,单价46512元/平米,580,| 2室2厅 | 124.7平米 | 东 南 西 | 精装,中楼层(共10层)  1999年建板楼  -,
卫华里 中间楼层 公产 一次性税费低,单价31373元/平米,160,| 2室1厅 | 51平米 | 北 | 其他,中楼层(共6层)  板楼  -,
港湾中心 临近海河 交通便利 临近海河 环境优美,单价17997元/平米,168,| 2室1厅 | 93.35平米 | 西 | 其他,低楼层(共28层)  板楼  -,
富顿大厦 南北通透 大三室 精装现房,单价42254元/平米,600,| 3室1厅 | 142平米 | 南 北 | 精装,高楼层(共26层)  2008年建板楼  -,
烟台道 小白楼地铁口 户型规整 二十中附小,单价37617元/平米,190,| 1室1厅 | 50.51平米 | 北 | 简装,高楼层(共7层)  1985年建板楼  -,
康乐里 开门脸 低楼层 设施齐全,单价35996元/平米,210,| 2室1厅 | 58.34平米 | 东 西 | 简装,低楼层(共6层)  1983年建板楼  -,
吉利花园 金角 双阳卧室 中楼层 电梯房,单价50506元/平米,400,| 2室1厅 | 79.2平米 | 东南 | 简装,中楼层(共32层)  2002年建板楼  -,
蒙古路 一楼两室  南北向 交通便利,单价60000元/平米,270,| 2室1厅 | 45平米 | 南 北 | 简装,低楼层(共5层)  板楼  -,
金茂广场 南北通透 户型好 交通便利环境优美,单价58711元/平米,550,| 2室1厅 | 93.68平米 | 南 北 | 精装,中楼层(共30层)  2007年建塔楼  -,
同发里 地铁沿线 南北通透 采光充足 无遮挡,单价28462元/平米,185,| 2室1厅 | 65平米 | 南 北 | 简装,高楼层(共7层)  1999年建板楼  -,
新欣里 黄金楼层 全明户型 非重点小学片,单价34667元/平米,260,| 3室1厅 | 75平米 | 南 北 | 简装,低楼层(共7层)  1984年建板楼  -,
庆有西里 两室可贷款 视野开阔 万全道小学片,单价50893元/平米,288,| 2室1厅 | 56.59平米 | 东北 | 简装,高楼层(共7层)  1997年建板楼  -,
诚基经贸中心 1室1厅 125万,单价20405元/平米,125,| 1室1厅 | 61.26平米 | 东 | 其他,中楼层(共50层)  2008年建塔楼  -,
爱建公寓 2室1厅 380万,单价46342元/平米,380,| 2室1厅 | 82平米 | 东南 西北 | 其他,中楼层(共16层)  2002年建板塔结合  -,
怀远里 2室1厅 228万,单价42223元/平米,228,| 2室1厅 | 54平米 | 北 | 其他,高楼层(共7层)  1993年建板楼  -,
裕德里 1室0厅 175万,单价77813元/平米,175,| 1室0厅 | 22.49平米 | 东南 | 其他,高楼层(共8层)  1985年建板楼  -,
福林里 2室1厅 315万,单价34288元/平米,315,| 2室1厅 | 91.87平米 | 南 北 | 其他,低楼层(共11层)  1996年建板楼  -,
京海公寓 2室1厅 385万,单价31202元/平米,385,| 2室1厅 | 123.39平米 | 南 北 | 简装,中楼层(共12层)  1998年建板楼  -,
诚基经贸中心 2室2厅 200万,单价31848元/平米,200,| 2室2厅 | 62.8平米 | 北 | 其他,低楼层(共33层)  2008年建塔楼  -,
天兴里 2室0厅 310万,单价63009元/平米,310,| 2室0厅 | 49.2平米 | 东南 | 其他,中楼层(共6层)  1979年建板楼  -,
大生里 南北通透 私产可贷款 采光好 生活出行便利,单价44266元/平米,220,| 2室0厅 | 49.7平米 | 南 北 | 简装,高楼层(共6层)  1998年建板楼  -,
文化村 2室1厅 335万,单价40854元/平米,335,| 2室1厅 | 82平米 | 南 北 | 其他,中楼层(共5层)  1980年建板楼  -,
金茂广场公寓 可落户口 采光充足 交通便捷,单价21215元/平米,130,| 1室0厅 | 61.28平米 | 南 | 其他,低楼层(共46层)  1990年建板楼  -,
吉利花园 中心小学片 楼层好 采光充足,单价65544元/平米,350,| 1室1厅 | 53.4平米 | 南 | 其他,中楼层(共32层)  2002年建板楼  -,
诚基中心 精装一居室 耀华学区 地铁房,单价27322元/平米,153,| 1室1厅 | 56平米 | 北 | 精装,低楼层(共33层)  2008年建塔楼  -,
诚基中心 68平复式户型 可落户过五年,单价37240元/平米,252,| 2室2厅 | 67.67平米 | 南 | 精装,低楼层(共34层)  2008年建塔楼  -,
香榭里 新星小学学区房 精装一室 诚意出售,单价21965元/平米,123,| 1室1厅 | 56平米 | 南 北 | 简装,高楼层(共7层)  1997年建板楼  -,
都会轩 大面积户型 东南金角 交通便利,单价48515元/平米,980,| 4室1厅 | 202平米 | 东南 | 其他,高楼层(共53层)  2012年建板楼  -,
新河里 南北通透 全明户型 交通便利 配套完善,单价41165元/平米,389,| 4室0厅 | 94.5平米 | 南 北 | 其他,低楼层(共5层)  1989年建板楼  -,
富顿大厦 精装三室 万全学区 采光充足,单价49153元/平米,580,| 2室3厅 | 118平米 | 东南 | 其他,低楼层(共30层)  2008年建板楼  -,
三乐里 中间楼层 电梯房 私产过五 视野开阔,单价38000元/平米,190,| 1室1厅 | 50平米 | 东 | 精装,中楼层(共24层)  1998年建板楼  -,
富顿大厦 私产房 采光充足 周边配套齐全,单价52748元/平米,480,| 2室2厅 | 91平米 | 东北 | 其他,低楼层(共30层)  2008年建板楼  -,
同发里 南北通透 黄金楼层 交通便利 户型方正,单价39231元/平米,255,| 2室1厅 | 65平米 | 南 北 | 其他,中楼层(共7层)  1999年建板楼  -,
振河里  落户方便 交通便利 配套齐全,单价33334元/平米,160,| 2室1厅 | 48平米 | 南 北 | 其他,中楼层(共7层)  1985年建板楼  -,
河沿里 黄金楼层 户型方正 昆明路学区,单价51137元/平米,225,| 2室1厅 | 44平米 | 东 西 | 其他,中楼层(共6层)  1985年建板楼  -,
诚基中心 耀华学片房 交通便利 繁华地带,单价41177元/平米,280,| 2室2厅 | 68平米 | 南 | 其他,中楼层(共33层)  2008年建塔楼  -,
同发里 全明户型 采光好 交通方便 配套齐全,单价28779元/平米,179,| 2室1厅 | 62.2平米 | 南 北 | 简装,高楼层(共7层)  1999年建板楼  -,
金茂广场 1室0厅 175万,单价28558元/平米,175,| 1室0厅 | 61.28平米 | 南 | 其他,低楼层(共46层)  1990年建板楼  -,
港湾中心 临近海河 交通便利 配套成熟,单价17997元/平米,215,| 2室1厅 | 119.47平米 | 西南 | 其他,低楼层(共28层)  板楼  -,
怀远里 楼层好 带装修 好业主,单价46454元/平米,260,| 2室1厅 | 55.97平米 | 西北 | 其他,高楼层(共7层)  1993年建板楼  -,
电台道 南北通透 采光好 视野无遮挡 户型方正,单价29474元/平米,168,| 2室1厅 | 57平米 | 南 北 | 简装,高楼层(共6层)  1980年建板楼  -,
金融街融御 毛坯房三室 南北通透 紧邻海河,单价52935元/平米,965,| 3室1厅 | 182.3平米 | 东 南 北 | 其他,中楼层(共27层)  2015年建板楼  -,
新疆路 配套完善  交通便利 是公产房,单价35413元/平米,159,| 1室1厅 | 44.9平米 | 东 | 简装,低楼层(共2层)  板楼  -,
市政里 中心小学学区 采光好 视野好 交通便利 配套全,单价54035元/平米,300,| 2室1厅 | 55.52平米 | 西 | 精装,高楼层(共6层)  1985年建板楼  -,
瑞竹大厦 采光好 无遮挡 配套齐全 生活方便,单价31915元/平米,150,| 2室1厅 | 47平米 | 北 | 其他,高楼层(共19层)  1990年建塔楼  -,
重庆道 五大道风景区 周边配套齐全 风景优美,单价49651元/平米,710,| 3室2厅 | 143平米 | 南 北 | 其他,低楼层(共3层)  板楼  -,
河北路 低楼层 交通便利 地段繁华,单价48388元/平米,300,| 2室1厅 | 62平米 | 南 北 | 其他,低楼层(共3层)  1993年建板楼  -,
嘉里中心 商住两用 投资居住均可 价位合适,单价18162元/平米,320,| 3室1厅 | 176.2平米 | 北 | 精装,低楼层(共30层)  2000年建塔楼  -,
诚基中心 纯阳面 耀华小学片 精装修,单价45295元/平米,308,| 2室2厅 | 68平米 | 南 | 其他,低楼层(共33层)  2008年建塔楼  -,
诚基经贸中心 学区房 交通便利 大产权,单价25000元/平米,150,| 1室0厅 | 60平米 | 北 | 简装,低楼层(共50层)  2008年建塔楼  -,
诚基经贸中心 中间楼层 无遮挡 采光好,单价24742元/平米,170,| 1室1厅 | 68.71平米 | 西 | 简装,高楼层(共50层)  2008年建塔楼  -,
金茂广场公寓 精装修 交通方便 临近地铁,单价15985元/平米,75,| 1室0厅 | 46.92平米 | 北 | 其他,高楼层(共46层)  1990年建板楼  -,
新文化花园新景居 1室0厅 220万,单价53659元/平米,220,| 1室0厅 | 41平米 | 西南 | 其他,高楼层(共30层)  2006年建板楼  -,
祈年大厦 1室1厅 320万,单价57503元/平米,320,| 1室1厅 | 55.65平米 | 东北 | 其他,中楼层(共32层)  200年建塔楼  -,
世纪都会轩 精装一居室 实验小学片 地铁房,单价65152元/平米,430,| 1室1厅 | 66平米 | 北 | 精装,低楼层(共53层)  2012年建板楼  -,
锦江里 黄金楼层 精装修一室 配套成熟,单价40435元/平米,93,| 1室0厅 | 23平米 | 西 | 精装,中楼层(共6层)  1992年建板楼  -,
信华楼 采光好 精装修  临近医院 地铁房,单价59091元/平米,130,| 1室0厅 | 22平米 | 东 | 简装,中楼层(共5层)  1988年建板楼  -,
