name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
海珠半岛 东南向 保养很好 安静不吵,单价32521元/平米,400,| 3室2厅 | 123平米 | 东南 | 精装,低楼层(共42层)  2006年建塔楼  -,
英豪花园 实用精致大一房 采光一流学位房,单价17576元/平米,58,| 1室1厅 | 33平米 | 北 | 简装,高楼层(共9层)  2005年建塔楼  -,
雅致花园高层两房 保养新净 送天台花园,单价16177元/平米,110,| 2室1厅 | 68平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
万华花园 地铁附近 小区安静 环境优雅,单价19848元/平米,130,| 2室1厅 | 65.5平米 | 东 | 简装,高楼层(共9层)  2005年建塔楼  -,
晓燕湾小区 精装修两房 交通便利,单价18572元/平米,130,| 2室1厅 | 70平米 | 东 | 简装,高楼层(共9层)  1999年建塔楼  -,
南洲花苑 C区实用两房 新婚首选,单价17292元/平米,83,| 2室1厅 | 48平米 | 北 | 简装,高楼层(共9层)  1993年建塔楼  -,
南洲花苑 温馨两房 方正实用 采光通风,单价16875元/平米,81,| 2室1厅 | 48平米 | 北 | 简装,高楼层(共9层)  1993年建塔楼  -,
保利红棉花园 方正三房 厅出阳台,单价23077元/平米,180,| 3室2厅 | 78平米 | 南 | 精装,中楼层(共7层)  2002年建塔楼  -,
二期楼王 电梯高层 优质三房,单价30098元/平米,310,| 3室2厅 | 103平米 | 北 | 精装,高楼层(共18层)  2000年建塔楼  -,
万华花园 证过五年 温馨两房,单价20162元/平米,125,| 2室2厅 | 62平米 | 北 | 其他,高楼层(共8层)  2005年建塔楼  -,
榕苑 中高层 间隔方正 采光充足,单价19643元/平米,110,| 2室1厅 | 56平米 | 西北 | 其他,中楼层(共8层)  1997年建塔楼  -,
南洲花园 宽大两房 开阳透风,单价13219元/平米,115,| 2室2厅 | 87平米 | 南 | 简装,高楼层(共9层)  1993年建塔楼  -,
保利红棉 实用一房 间隔方正,单价20000元/平米,100,| 1室1厅 | 50平米 | 西南 | 简装,低楼层(共9层)  1997年建塔楼  -,
实用4房 东南靓向,单价24265元/平米,330,| 4室2厅 | 136平米 | 东南 | 简装,中楼层(共28层)  2007年建塔楼  -,
南华花园 中层两房 视野开阔 格局方正,单价21613元/平米,175,| 2室2厅 | 80.97平米 | 南 | 其他,中楼层(共23层)  1998年建塔楼  -,
金雅苑 中层两房 一梯两户 装修保养好,单价33058元/平米,240,| 2室2厅 | 72.6平米 | 东 | 精装,低楼层(共9层)  2002年建塔楼  -,
江景小户型 新婚首选 可投资可自住,单价31344元/平米,210,| 2室2厅 | 67平米 | 北 | 简装,高楼层(共28层)  2010年建塔楼  -,
富力现代广场 西南向三房两厅,单价31624元/平米,370,| 3室2厅 | 117平米 | 西南 | 精装,低楼层(共19层)  2005年建塔楼  -,
侨诚花园地铁上盖户型方正全明设计温馨舒适,单价23334元/平米,140,| 2室2厅 | 60平米 | 西北 | 简装,中楼层(共9层)  1998年建塔楼  -,
东南向 穗花新村 抵买两房 有省一级学位,单价26072元/平米,146,| 2室2厅 | 56平米 | 东南 | 简装,中楼层(共9层)  1995年建塔楼  -,
南洲花苑 飞机户型方正两房 居家首选,单价16394元/平米,100,| 2室1厅 | 61平米 | 南 | 简装,高楼层(共9层)  1993年建塔楼  -,
晓港湾 地铁上盖 生活方便,单价15807元/平米,98,| 3室1厅 | 62平米 | 西南 | 简装,高楼层(共9层)  1999年建塔楼  -,
南洲花苑 证过5年 温馨两房 送大平台,单价12766元/平米,120,| 2室2厅 | 94平米 | 南 | 简装,高楼层(共9层)  1993年建塔楼  -,
保利红棉花园 超值两居室 保养好,单价15973元/平米,115,| 2室1厅 | 72平米 | 东 | 简装,高楼层(共9层)  1997年建塔楼  -,
金玫瑰苑 正规一房一厅 投资入住首选,单价24737元/平米,94,| 1室0厅 | 38平米 | 南 | 简装,低楼层(共27层)  1999年建塔楼  -,
晓港湾 温馨两房 地铁上盖,单价16667元/平米,110,| 2室2厅 | 66平米 | 北 | 简装,高楼层(共9层)  1999年建塔楼  -,
侨城花园 安静三房 厅出阳台，格局方正,单价16112元/平米,145,| 3室1厅 | 90平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
嘉仕花园 影月轩 方正实用 安静舒适,单价50000元/平米,400,| 2室2厅 | 80平米 | 南 | 精装,高楼层(共32层)  2003年建塔楼  -,
精致望江两房，证过五年,单价37500元/平米,270,| 2室2厅 | 72平米 | 东北 | 精装,低楼层(共33层)  2004年建塔楼  -,
南洲花苑 一房一厅 可以做两房 采光好,单价11490元/平米,54,| 1室1厅 | 47平米 | 西北 | 简装,高楼层(共9层)  1993年建塔楼  -,
南洲花苑 实用两房 采光通风,单价14844元/平米,95,| 2室2厅 | 64平米 | 北 | 简装,高楼层(共9层)  1993年建塔楼  -,
金碧花园三期 南向安静两房 一线江景,单价27711元/平米,230,| 2室2厅 | 83平米 | 南 | 简装,中楼层(共32层)  2000年建塔楼  -,
南洲花苑 证过五年 小户型一房一厅,单价16667元/平米,55,| 1室1厅 | 33平米 | 北 | 简装,高楼层(共9层)  1993年建塔楼  -,
嘉仕花园 间隔方正 保养好 实用两房,单价41667元/平米,300,| 2室2厅 | 72平米 | 西北 | 精装,低楼层(共33层)  2004年建塔楼  -,
富力现代广场 通风采光好 保养新净,单价34167元/平米,410,| 3室2厅 | 120平米 | 南 | 精装,低楼层(共24层)  2005年建塔楼  -,
保利百合花园 电梯高层复式 送天台花园,单价25774元/平米,500,| 5室2厅 | 194平米 | 西北 | 简装,高楼层(共11层)  2004年建塔楼  -,
高层两房 保养新净 通风采光一流,单价20000元/平米,100,| 2室1厅 | 50平米 | 东 | 简装,高楼层(共9层)  1997年建塔楼  -,
晓港湾 地铁上盖 证过五年 唯一物业,单价16596元/平米,78,| 2室1厅 | 47平米 | 西北 | 精装,高楼层(共9层)  1999年建塔楼  -,
海珠区闹市中的安静别墅 唯一放盘 稀缺,单价41233元/平米,950,| 5室2厅 | 230.4平米 | 南 | 精装,低楼层(共1层)  2000年建  -,
保利花园 电梯楼 三房一厅 非常实用,单价26607元/平米,265,| 3室2厅 | 99.6平米 | 南 | 简装,低楼层(共18层)  2000年建塔楼  -,
金碧花园 投资笋盘 地铁上盖 带学位,单价26786元/平米,75,| 1室1厅 | 28平米 | 东 | 简装,低楼层(共32层)  2000年建塔楼  -,
江南花园 高层精装南向两房 证过两年,单价32500元/平米,260,| 2室2厅 | 80平米 | 东北 | 精装,高楼层(共30层)  2009年建塔楼  -,
万华花园 中层近地铁 证过五年,单价20150元/平米,162,| 2室2厅 | 80.4平米 | 西南 | 简装,中楼层(共9层)  2005年建塔楼  -,
和辉花园 采光通风好 方正实用 证过两年,单价16667元/平米,100,| 2室1厅 | 60平米 | 北 | 简装,高楼层(共9层)  1999年建塔楼  -,
富景花园 精装一房一厅 投资首选,单价29429元/平米,103,| 1室1厅 | 35平米 | 南 | 简装,低楼层(共32层)  2003年建塔楼  -,
金玫瑰苑 精装修 厅直出阳台地铁口物业,单价26042元/平米,125,| 1室1厅 | 48平米 | 东 | 简装,高楼层(共27层)  1999年建塔楼  -,
富力千禧花园 园林小区 顶层复式,单价51471元/平米,350,| 3室2厅 | 68平米 | 东北 | 其他,高楼层(共18层)  2002年建塔楼  -,
时代廊桥 南向3房 花园中心,单价24562元/平米,280,| 3室2厅 | 114平米 | 南 | 精装,低楼层(共18层)  2004年建塔楼  -,
实用温馨单位 配套完善,单价21250元/平米,85,| 2室1厅 | 40平米 | 东 | 简装,低楼层(共9层)  1998年建塔楼  -,
英豪花园 精致装修 南向,单价19750元/平米,158,| 2室1厅 | 80平米 | 南 | 精装,高楼层(共9层)  2005年建塔楼  -,
南洲花苑 一房一厅 稀缺户型 干净舒适,单价15754元/平米,65,| 1室1厅 | 41.26平米 | 南 | 简装,中楼层(共9层)  1993年建塔楼  -,
晓港湾 东南向两房 带30方平台修改房评,单价16667元/平米,110,| 2室1厅 | 66平米 | 北 | 简装,高楼层(共9层)  1999年建塔楼  -,
南洲花苑 证过五年 精装实用两房,单价15117元/平米,65,| 2室1厅 | 43平米 | 东 | 简装,中楼层(共9层)  1993年建塔楼  -,
万华花园 安静望花园 户型好 带学位,单价21154元/平米,110,| 2室1厅 | 52平米 | 南 | 简装,低楼层(共9层)  2005年建塔楼  -,
金碧一期 实用两房 修保养好,单价22389元/平米,150,| 2室1厅 | 67平米 | 北 | 精装,低楼层(共22层)  2000年建塔楼  -,
侨诚花园 刚需上车首选 学区房,单价19768元/平米,170,| 3室2厅 | 86平米 | 北 | 其他,低楼层(共9层)  1998年建塔楼  -,
满堂红链家 楼梯复式单位 南向 通风好,单价21035元/平米,305,| 4室2厅 | 145平米 | 东南 | 精装,高楼层(共6层)  2000年建塔楼  -,
金碧湾 一楼带私家花园 双层复式,单价55945元/平米,800,| 6室3厅 | 143平米 | 南 | 精装,低楼层(共32层)  2007年建塔楼  -,
穗花新村 南向三房 有穗花学位,单价22381元/平米,141,| 3室2厅 | 63平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
保利红棉花园 高层两房 采光通风一流,单价18824元/平米,80,| 2室1厅 | 42.5平米 | 西 | 简装,高楼层(共9层)  1997年建塔楼  -,
双地铁交界 高层 东向 两房,单价27012元/平米,235,| 2室2厅 | 87平米 | 东 | 简装,中楼层(共30层)  1997年建塔楼  -,
锦丽居电梯三房 户型方正 拎包住,单价33238元/平米,290,| 3室2厅 | 87.25平米 | 南 | 其他,中楼层(共11层)  1999年建塔楼  -,
南洲花园 交通方便 格局方正,单价15625元/平米,100,| 2室1厅 | 64平米 | 南 | 简装,高楼层(共9层)  1993年建塔楼  -,
南田路 昌盛小区 正规1房1厅,单价16364元/平米,72,| 1室1厅 | 44平米 | 南 | 其他,高楼层(共9层)  2000年建塔楼  -,
富基广场 望江单位 温馨两房 格局方正,单价30953元/平米,260,| 2室1厅 | 84平米 | 北 | 其他,高楼层(共34层)  2005年建塔楼  -,
晓港湾 地铁上盖 实用1房 装修保养新净,单价17742元/平米,55,| 1室1厅 | 31平米 | 西南 | 简装,高楼层(共9层)  1999年建塔楼  -,
珠江御景 安静舒适 私家江景 交通便利,单价23000元/平米,460,| 4室2厅 | 200平米 | 南 | 精装,低楼层(共17层)  2008年建塔楼  -,
南华花园 自住投资均可,单价18310元/平米,130,| 2室1厅 | 71平米 | 东南 | 简装,高楼层(共9层)  1998年建塔楼  -,
南洲花苑 证过五年 小户型一房一厅,单价21380元/平米,62,| 1室1厅 | 29平米 | 北 | 简装,中楼层(共9层)  1993年建塔楼  -,
保利花园两房,单价26087元/平米,180,| 2室2厅 | 69平米 | 东北 | 精装,高楼层(共23层)  2000年建塔楼  -,
海珠半岛 江景单位 小区花园漂亮安静,单价30000元/平米,270,| 3室2厅 | 90平米 | 东南 | 简装,中楼层(共31层)  1997年建塔楼  -,
侨诚花园 精装三房 中高楼层 近地铁,单价21740元/平米,200,| 3室2厅 | 92平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
海天花苑 高层电梯两房 户型方正实用,单价20286元/平米,142,| 2室2厅 | 70平米 | 西南 | 简装,中楼层(共35层)  塔楼  -,
时代廊桥 南向三房 采光通风一流,单价24562元/平米,280,| 3室2厅 | 114平米 | 南 | 其他,高楼层(共18层)  2004年建塔楼  -,
万华花园 安静望花园 户型好 带学位,单价22538元/平米,135,| 2室1厅 | 59.9平米 | 东南 | 简装,中楼层(共9层)  1999年建塔楼  -,
江南花园 实用三房 望花园,单价26761元/平米,190,| 3室1厅 | 71平米 | 暂无数据 | 简装,低楼层(共9层)  2005年建塔楼  -,
昌盛小区 低层两房 间隔方正 交通便利,单价22449元/平米,110,| 2室1厅 | 49平米 | 东 | 其他,低楼层(共9层)  2000年建塔楼  -,
万华花园 厅出阳台 户型稀缺 低于市场价,单价15625元/平米,200,| 4室2厅 | 128平米 | 北 | 简装,高楼层(共8层)  2005年建塔楼  -,
明珠花园 中层大两房可改三房 全明户型,单价38236元/平米,390,| 2室2厅 | 102平米 | 西南 | 简装,中楼层(共32层)  1996年建塔楼  -,
益鹏翠苑 户型方正 南北对流 房大厅大,单价23712元/平米,230,| 3室2厅 | 97平米 | 东北 | 简装,高楼层(共16层)  2003年建塔楼  -,
金碧湾 望江单位 实用江景两房 采光通透,单价38637元/平米,255,| 2室2厅 | 66平米 | 西北 | 精装,高楼层(共32层)  2007年建塔楼  -,
亿海湾 3室2厅 355万,单价31416元/平米,355,| 3室2厅 | 113平米 | 东北 | 其他,中楼层(共32层)  2004年建塔楼  -,
保利花园 电梯高层 采光一流 南北对流,单价29488元/平米,230,| 2室2厅 | 78平米 | 南 | 简装,中楼层(共19层)  2000年建塔楼  -,
晓港湾 南向大两房 望花园 格局好,单价18287元/平米,143,| 2室1厅 | 78.2平米 | 南 | 其他,中楼层(共9层)  1999年建塔楼  -,
南洲花苑 精装单身公寓 证够两年,单价16970元/平米,56,| 1室0厅 | 33平米 | 北 | 简装,低楼层(共9层)  1993年建塔楼  -,
南洲花苑 步梯中层 温馨两房 证过两年,单价16738元/平米,107,| 2室2厅 | 63.93平米 | 西 | 简装,中楼层(共9层)  1993年建塔楼  -,
珠江广场 精致大四房房 户型方正,单价36843元/平米,560,| 4室2厅 | 152平米 | 南 | 精装,中楼层(共16层)  2000年建塔楼  -,
南洲名苑 格局方正 采光好 精致装修,单价20556元/平米,148,| 2室2厅 | 72平米 | 东南 | 精装,高楼层(共9层)  1997年建塔楼  -,
大院管理 南北对流 靠近庄头公园,单价16667元/平米,75,| 1室1厅 | 45平米 | 西北 | 简装,中楼层(共4层)  塔楼  -,
翔韵雅居 环境舒适两房 近鹭江地铁,单价35938元/平米,230,| 2室1厅 | 64平米 | 东 | 其他,中楼层(共18层)  2008年建塔楼  -,
晓港湾 小2房 实用面积高 采光好,单价21715元/平米,76,| 2室1厅 | 35平米 | 东 | 精装,中楼层(共9层)  1999年建塔楼  -,
大型社区南北通透一房，半飘窗设计望江景,单价30556元/平米,110,| 1室0厅 | 36平米 | 南 | 简装,高楼层(共32层)  2000年建塔楼  -,
晓港湾 地铁上盖 低层两房 投资自住皆宜,单价18572元/平米,65,| 2室1厅 | 35平米 | 南 | 简装,低楼层(共9层)  1999年建塔楼  -,
晓港湾 地铁上盖 正规一房一厅,单价19118元/平米,65,| 1室1厅 | 34平米 | 西南 | 简装,中楼层(共9层)  1999年建塔楼  -,
第三金碧花园 高层南向两房 装修保养好,单价30338元/平米,270,| 2室2厅 | 89平米 | 南 | 精装,高楼层(共32层)  2000年建塔楼  -,
鸣翠花园 温馨舒适小三房 楼层适中,单价22414元/平米,195,| 3室2厅 | 87平米 | 南 | 精装,中楼层(共6层)  2002年建塔楼  -,
富景花园 小户型 地铁旁 投资首选,单价23556元/平米,106,| 1室1厅 | 45平米 | 北 | 简装,低楼层(共32层)  2003年建塔楼  -,
第三金碧花园  南向三房 一线江景,单价30016元/平米,335,| 3室2厅 | 111.61平米 | 南 | 精装,高楼层(共26层)  2000年建塔楼  -,
兰亭御园 高层三房 超级笋盘,单价34678元/平米,430,| 3室2厅 | 124平米 | 西南 | 其他,高楼层(共30层)  2008年建塔楼  -,
金碧花园 电梯两房 南向望花园 地铁上盖,单价25715元/平米,180,| 2室1厅 | 70平米 | 南 | 简装,高楼层(共22层)  2000年建塔楼  -,
侨诚花园 东南向 正规一房 户型方正,单价23612元/平米,85,| 1室1厅 | 36平米 | 东南 | 精装,高楼层(共15层)  1998年建塔楼  -,
保利花园 楼王单位 保养新 装修一流,单价26702元/平米,510,| 5室2厅 | 191平米 | 南 | 精装,高楼层(共11层)  2000年建塔楼  -,
保利花园 高层通风采光好 南北对流,单价27565元/平米,215,| 2室2厅 | 78平米 | 东北 | 简装,中楼层(共23层)  2000年建塔楼  -,
保利花园 复式单位 保养好,单价19481元/平米,300,| 5室2厅 | 154平米 | 南 | 简装,高楼层(共7层)  2000年建塔楼  -,
金玫瑰苑 精装一房 格局方正,单价27500元/平米,110,| 1室1厅 | 40平米 | 东 | 简装,中楼层(共19层)  1999年建塔楼  -,
中信君庭  江景复式   南北对流,单价45127元/平米,1250,| 4室2厅 | 277平米 | 南 | 精装,高楼层(共33层)  2004年建塔楼  -,
晓城大厦 地铁上盖 实用2房 光线一流,单价24948元/平米,178,| 2室1厅 | 71.35平米 | 西北 | 精装,高楼层(共31层)  1999年建塔楼  -,
中顺领域公馆 西南向 实用四房 户型方正,单价25033元/平米,388,| 4室2厅 | 155平米 | 西南 | 简装,中楼层(共21层)  1999年建塔楼  -,
金玉堂 楼龄新 方正大体,单价24359元/平米,95,| 1室0厅 | 39平米 | 南 | 精装,低楼层(共27层)  1999年建塔楼  -,
第二金碧正规一房一厅 门口地铁开通在即,单价25000元/平米,70,| 1室1厅 | 28平米 | 东南 | 精装,中楼层(共33层)  2000年建塔楼  -,
金碧花园 实用两房 户型方正 采光一流,单价24920元/平米,170,| 2室2厅 | 68.22平米 | 西南 | 简装,中楼层(共28层)  2000年建塔楼  -,
保利红棉花园 送天台花园 间隔方正实用,单价17038元/平米,138,| 3室1厅 | 81平米 | 南 | 简装,高楼层(共9层)  1997年建塔楼  -,
南洲华苑 小户型一房 投资者的心头爱,单价16061元/平米,53,| 1室0厅 | 33平米 | 南 | 简装,高楼层(共9层)  1993年建塔楼  -,
晓港湾 一房一厅  地铁上盖 采光好,单价19375元/平米,62,| 1室1厅 | 32平米 | 西南 | 简装,高楼层(共9层)  1999年建塔楼  -,
雅致花园 小户型出售 保养新净,单价22500元/平米,99,| 1室1厅 | 44平米 | 东 | 简装,中楼层(共9层)  1998年建塔楼  -,
滨江东芭堤水岸高层东北望江宽敞四房主套,单价40442元/平米,550,| 4室2厅 | 136平米 | 东北 | 精装,高楼层(共32层)  2005年建塔楼  -,
光线非常好 近地铁,单价18130元/平米,100,| 2室1厅 | 55.16平米 | 西北 | 简装,高楼层(共9层)  1998年建塔楼  -,
保利花园 东南实用三房 电梯二期,单价27185元/平米,280,| 3室2厅 | 103平米 | 南 | 精装,低楼层(共11层)  2000年建塔楼  -,
和辉花园 南向两房 温馨舒适,单价16476元/平米,102,| 2室2厅 | 61.91平米 | 南 | 简装,高楼层(共9层)  1999年建塔楼  -,
保利花园 装修保养好 看房方便,单价30346元/平米,300,| 3室1厅 | 98.86平米 | 西北 | 简装,中楼层(共11层)  2000年建塔楼  -,
侨城花园 精装三房 近地铁 方正实用,单价16667元/平米,150,| 3室1厅 | 90平米 | 东北 | 简装,高楼层(共9层)  1998年建塔楼  -,
保利红棉花园 中层实用两房,单价19492元/平米,135,| 2室2厅 | 69.26平米 | 南 | 简装,高楼层(共9层)  1997年建塔楼  -,
瑞宝花园 南向两房 户型方正 全明屋,单价16389元/平米,118,| 2室1厅 | 72平米 | 南 | 精装,高楼层(共9层)  1997年建塔楼  -,
保利红棉花园 间隔方正实用,单价18731元/平米,118,| 2室1厅 | 63平米 | 西北 | 简装,高楼层(共9层)  1997年建塔楼  -,
晓港湾 东南向两房 带30方平台,单价22500元/平米,180,| 2室2厅 | 80平米 | 东南 | 简装,低楼层(共9层)  1999年建塔楼  -,
和辉花园 证过五年 温馨两房 新婚首选,单价17722元/平米,140,| 2室1厅 | 79平米 | 西 | 简装,低楼层(共12层)  1999年建塔楼  -,
保利花园 南向四房 保养装修新,单价30282元/平米,430,| 4室2厅 | 142平米 | 南 | 精装,低楼层(共19层)  2000年建塔楼  -,
东西对流 精致装修 复式单位,单价22034元/平米,260,| 4室2厅 | 118平米 | 东 | 精装,高楼层(共6层)  2000年建塔楼  -,
天鹅湾 超实用单位 朝向好 景观一流修改,单价42000元/平米,193.2,| 1室1厅 | 46平米 | 南 | 精装,中楼层(共31层)  2006年建塔楼  -,
南洲花苑 温馨两房 精装修,单价15000元/平米,96,| 2室1厅 | 64平米 | 西南 | 精装,高楼层(共9层)  1993年建塔楼  -,
泓景花园 实用三房 户型方正 装修豪华,单价43443元/平米,530,| 3室2厅 | 122平米 | 南 | 精装,低楼层(共32层)  2007年建塔楼  -,
海珠区工业大道北凤凰新村房屋出售,单价16552元/平米,96,| 2室2厅 | 58平米 | 东南 | 其他,高楼层(共9层)  2000年建塔楼  -,
保利花园 实用两房 南向二房,单价29211元/平米,222,| 2室2厅 | 76平米 | 西南 | 精装,中楼层(共6层)  2000年建塔楼  -,
金雅苑 4房带主套 有平台花园,单价23276元/平米,270,| 4室2厅 | 116平米 | 北 | 精装,低楼层(共10层)  1998年建塔楼  -,
南州花苑 两居室 采光装修好,单价17392元/平米,120,| 2室2厅 | 69平米 | 东南 | 其他,低楼层(共9层)  1993年建塔楼  -,
第三金碧 实用两房 采光通风好,单价29553元/平米,198,| 2室2厅 | 67平米 | 东 | 精装,高楼层(共32层)  2000年建塔楼  -,
南洲花苑 证过五年 温馨实用两房,单价14286元/平米,90,| 2室1厅 | 63平米 | 东北 | 简装,高楼层(共9层)  1993年建塔楼  -,
保利红棉花园 高层两房 采光通风一流,单价17000元/平米,102,| 2室2厅 | 60平米 | 南 | 其他,高楼层(共9层)  1997年建塔楼  -,
精准两房 豪华装修 布局实用 全新装修,单价19445元/平米,140,| 2室1厅 | 72平米 | 南 | 其他,高楼层(共9层)  1997年建塔楼  -,
保利花园 实用两房 装修保养新,单价28125元/平米,225,| 2室2厅 | 80平米 | 南 | 简装,低楼层(共11层)  2004年建塔楼  -,
海印南苑 东南向 两房77方放售,单价20130元/平米,155,| 2室1厅 | 77平米 | 东南 | 简装,低楼层(共28层)  2000年建塔楼  -,
保利花园 精装修 实用三房 南北通透,单价32356元/平米,320,| 3室2厅 | 98.9平米 | 北 | 其他,低楼层(共18层)  2000年建塔楼  -,
实用两房 业主诚意出售修改房评,单价20000元/平米,108,| 2室1厅 | 54平米 | 西 | 简装,中楼层(共9层)  1997年建塔楼  -,
南洲花园 证够两年 刚需首选,单价14635元/平米,60,| 1室1厅 | 41平米 | 西 | 简装,中楼层(共9层)  1993年建塔楼  -,
保利红棉花园 东向大两房 户型方正全明屋,单价17568元/平米,130,| 2室2厅 | 74平米 | 东 | 简装,高楼层(共9层)  1997年建塔楼  -,
南洲花苑 精装两房 证过两年 带大平台,单价19518元/平米,93,| 2室1厅 | 47.65平米 | 北 | 精装,低楼层(共9层)  1993年建塔楼  -,
富力千禧 带省级学位 南向可改三房,单价40230元/平米,350,| 2室2厅 | 87平米 | 南 | 精装,高楼层(共18层)  2002年建塔楼  -,
南华花园 小区管理 电梯南向三房 少有放,单价24075元/平米,195,| 3室2厅 | 81平米 | 东南 | 简装,高楼层(共23层)  1998年建塔楼  -,
方正南向实用两房,单价20371元/平米,110,| 2室2厅 | 54平米 | 南 | 简装,中楼层(共8层)  塔楼  -,
江南西嘉丽苑 实用两房 送20方平台,单价24591元/平米,150,| 2室1厅 | 61平米 | 暂无数据 | 其他,低楼层(共9层)  1998年建塔楼  -,
保利红棉花园 正规三房 采光好,单价16914元/平米,137,| 3室2厅 | 81平米 | 东北 | 简装,高楼层(共9层)  1997年建塔楼  -,
杏园小区 精装两房 省级学位,单价24546元/平米,135,| 2室1厅 | 55平米 | 东北 | 简装,高楼层(共8层)  1998年建塔楼  -,
保利红棉花园 正规两房 交通便利,单价20702元/平米,118,| 2室1厅 | 57平米 | 西北 | 简装,中楼层(共9层)  1997年建塔楼  -,
保利红棉花园 正规三房 总价低,单价16375元/平米,131,| 3室1厅 | 80平米 | 南 | 简装,高楼层(共9层)  1997年建塔楼  -,
天鹅湾 超实用单位 朝向好 景观一流修改,单价38236元/平米,260,| 2室1厅 | 68平米 | 南 | 简装,高楼层(共31层)  2006年建塔楼  -,
凤凰新城 老城区底层 环境安宁 舒适宜居,单价18033元/平米,110,| 2室1厅 | 61平米 | 东 | 简装,低楼层(共9层)  2000年建塔楼  -,
洪德路 实用三房 采光好,单价17847元/平米,116,| 3室1厅 | 65平米 | 南 | 其他,高楼层(共5层)  塔楼  -,
晓港湾 地铁上盖 南北通透 采光良好,单价16072元/平米,45,| 1室1厅 | 28平米 | 南 | 简装,高楼层(共9层)  1999年建塔楼  -,
翠城花园 省级学位 东南两房靓向 带花园,单价34267元/平米,300,| 2室1厅 | 87.55平米 | 东南 | 精装,低楼层(共33层)  2009年建塔楼  -,
南洲花苑 稀有三房 南向单位 保养新净,单价12500元/平米,110,| 3室2厅 | 88平米 | 南 | 简装,高楼层(共9层)  1993年建塔楼  -,
雅致花园 高层三房 东南靓向 证过五年,单价22369元/平米,170,| 3室1厅 | 76平米 | 东南 | 精装,高楼层(共9层)  1998年建塔楼  -,
穗发花园 南北对流,单价27312元/平米,200,| 2室2厅 | 73.23平米 | 南 | 简装,低楼层(共7层)  塔楼  -,
富力顺意花园 电梯高层洋房,单价30928元/平米,300,| 3室1厅 | 97平米 | 东南 | 精装,中楼层(共23层)  2005年建塔楼  -,
荔福路中层南向两房 户型方正 通风采光好,单价19000元/平米,108.3,| 2室1厅 | 57平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
保利红棉花园 房改房 送天台花园,单价19319元/平米,85,| 2室1厅 | 44平米 | 南 | 简装,高楼层(共9层)  1997年建塔楼  -,
保利红棉花园 方正两房 保养新净,单价17461元/平米,110,| 2室2厅 | 63平米 | 东北 | 简装,高楼层(共9层)  1997年建塔楼  -,
南洲花苑 证过两年 舒适两房 刚需首选,单价17693元/平米,115,| 2室1厅 | 65平米 | 东南 | 简装,中楼层(共9层)  1993年建塔楼  -,
实用温馨单位 配套完善,单价21297元/平米,115,| 2室1厅 | 54平米 | 东 | 其他,中楼层(共9层)  1998年建塔楼  -,
地铁物业两房,单价16902元/平米,120,| 2室1厅 | 71平米 | 东 | 简装,中楼层(共9层)  塔楼  -,
东晓路 晓港湾 地铁口物业 看房方便,单价21431元/平米,65,| 1室1厅 | 30.33平米 | 东 | 简装,中楼层(共9层)  1999年建塔楼  -,
南洲花苑 正南方向 方正两房 唯一物业,单价15625元/平米,100,| 2室2厅 | 64平米 | 南 | 简装,高楼层(共9层)  1993年建塔楼  -,
南州花苑 安静舒适望花园 楼下公交站,单价17188元/平米,110,| 2室1厅 | 64平米 | 南 | 简装,低楼层(共9层)  1993年建塔楼  -,
金碧花园一期 实用一房 可改两房使用,单价21875元/平米,105,| 2室1厅 | 48平米 | 南 | 其他,低楼层(共22层)  2000年建塔楼  -,
南洲花苑 地铁附近 小区安静 环境优雅,单价15518元/平米,135,| 2室2厅 | 87平米 | 南 | 精装,高楼层(共7层)  1993年建塔楼  -,
英豪花园 市中心房 交通方便 环境清静,单价26137元/平米,230,| 3室1厅 | 88平米 | 东北 | 精装,中楼层(共32层)  2005年建塔楼  -,
英豪花园  温馨干净 南北对流户型,单价28000元/平米,210,| 2室1厅 | 75平米 | 西南 | 精装,中楼层(共32层)  2005年建塔楼  -,
逸景翠园倚翠轩 4室2厅 300万,单价24194元/平米,300,| 4室2厅 | 124平米 | 东南 | 精装,低楼层(共28层)  2002年建塔楼  -,
富基广场 格局方正 江景单位 温馨两房,单价32291元/平米,286,| 2室2厅 | 88.57平米 | 东 | 其他,高楼层(共34层)  2006年建塔楼  -,
富景花园 实用大两房 交通便利,单价29269元/平米,240,| 2室2厅 | 82平米 | 东北 | 简装,中楼层(共32层)  2003年建塔楼  -,
晓港湾 中层2房 安静望花园 格局方正,单价17024元/平米,143,| 2室1厅 | 84平米 | 北 | 简装,中楼层(共9层)  1999年建塔楼  -,
广发新村 近地铁 全新装修 低楼层,单价22657元/平米,145,| 2室1厅 | 64平米 | 东北 | 其他,低楼层(共9层)  1997年建塔楼  -,
实用两房 业主诚意出,单价25807元/平米,160,| 2室1厅 | 62平米 | 南 | 简装,高楼层(共9层)  2003年建塔楼  -,
鸿新苑  小户型单位  投资自住可以,单价20000元/平米,90,| 1室1厅 | 45平米 | 南 | 简装,中楼层(共9层)  1999年建塔楼  -,
