name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
新安苑 实用两房 地铁口物业 下沙学位,单价13514元/平米,100,| 3室1厅 | 74平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
南向三房 豪华装修 可送家私 入住免装修,单价22106元/平米,210,| 3室2厅 | 95平米 | 南 | 精装,高楼层(共17层)  2004年建塔楼  -,
复古装修 电梯楼 小户型 地铁物业,单价18667元/平米,140,| 2室1厅 | 75平米 | 东北 | 简装,中楼层(共18层)  塔楼  -,
鹤林苑 证过两年 实用率高 小区配套齐全,单价13943元/平米,108,| 2室1厅 | 77.46平米 | 西北 | 简装,低楼层(共9层)  2000年建塔楼  -,
怡园小区 省一级学位房,单价19765元/平米,168,| 3室1厅 | 85平米 | 南 | 简装,中楼层(共8层)  1992年建塔楼  -,
港湾路小区 精装实用三房,单价13889元/平米,100,| 3室1厅 | 72平米 | 东 | 其他,高楼层(共8层)  1995年建塔楼  -,
荔园小区 实用3房 高楼层,单价16717元/平米,145,| 3室2厅 | 86.74平米 | 南 | 精装,高楼层(共8层)  1995年建塔楼  -,
位置优越 旺中带静 优质两房,单价11719元/平米,75,| 2室1厅 | 64平米 | 南 | 简装,高楼层(共6层)  塔楼  -,
怡园小区 温馨装修3房 学位户口无占用,单价21000元/平米,168,| 2室1厅 | 80平米 | 南 | 简装,高楼层(共8层)  1992年建塔楼  -,
边检生活区 带荔园小学 简单装修,单价16019元/平米,140,| 3室1厅 | 87.4平米 | 南 | 简装,低楼层(共6层)  塔楼  -,
新世纪花园 实用高层3房 怡园学位,单价12227元/平米,118,| 3室2厅 | 96.51平米 | 北 | 简装,高楼层(共9层)  塔楼  -,
三角楼 双地铁站物业 证过两年,单价13077元/平米,85,| 3室1厅 | 65平米 | 北 | 简装,低楼层(共6层)  塔楼  -,
石化大院 户型方正 南北通透 精装修,单价14217元/平米,118,| 3室1厅 | 83平米 | 南 | 精装,高楼层(共6层)  1985年建塔楼  -,
荔园小区 总价平宜 带学位 交通便利,单价14706元/平米,100,| 2室1厅 | 68平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
泰景东城华庭 公寓 可注册办公 复式精装,单价20670元/平米,105,| 1室1厅 | 50.8平米 | 南 | 精装,高楼层(共8层)  2006年建塔楼  -,
港湾东一街 简装修一房一厅 怡园学位,单价18605元/平米,80,| 1室1厅 | 43平米 | 南 | 简装,中楼层(共8层)  塔楼  -,
石化大院 南北对流 省级学位 地铁口物业,单价12099元/平米,98,| 3室1厅 | 81平米 | 南 | 精装,高楼层(共8层)  1987年建塔楼  -,
怡园小区，省级怡园学位，高层通风采光好,单价17436元/平米,136,| 3室1厅 | 78平米 | 南 | 简装,高楼层(共8层)  1992年建塔楼  -,
骏鸿苑  地铁口少有三房,单价15477元/平米,130,| 3室2厅 | 84平米 | 南 | 简装,低楼层(共7层)  塔楼  -,
石化生活区 格局方正 实用两房,单价14063元/平米,90,| 2室1厅 | 64平米 | 南 | 其他,中楼层(共6层)  1984年建塔楼  -,
银丰小区 配套完善 带双学位,单价15138元/平米,165,| 3室2厅 | 109平米 | 北 | 简装,高楼层(共9层)  1999年建塔楼  -,
乐苑小区 家电齐全 近地铁 交通方便,单价14400元/平米,72,| 1室1厅 | 50平米 | 南 | 精装,高楼层(共8层)  塔楼  -,
石化大院 南北通透 近地铁 超值1房,单价13889元/平米,50,| 1室1厅 | 36平米 | 东南 | 简装,高楼层(共6层)  1976年建塔楼  -,
石化生活区 豪装两房 中楼层 拎包入住,单价13847元/平米,90,| 2室2厅 | 65平米 | 南 | 精装,中楼层(共6层)  1984年建塔楼  -,
金丽园 黄金楼层 省级学位 配套成熟,单价15000元/平米,105,| 2室2厅 | 70平米 | 北 | 简装,高楼层(共9层)  塔楼  -,
石化生活区地铁周 带省级学位 送超大阳台,单价16492元/平米,94,| 3室1厅 | 57平米 | 南 | 精装,低楼层(共8层)  1987年建塔楼  -,
丰乐小区 省重点下沙学位 南向两房,单价17067元/平米,128,| 2室1厅 | 75平米 | 南 | 简装,中楼层(共8层)  1990年建塔楼  -,
文船生活区 刚需两房 总价低,单价11459元/平米,55,| 2室1厅 | 48平米 | 南 | 简装,高楼层(共6层)  1999年建塔楼  -,
【满堂红链家】精致两房 交通便利,单价16327元/平米,160,| 2室1厅 | 98平米 | 西南 | 简装,中楼层(共30层)  塔楼  -,
满堂红链家银丰花园 精装三房带平台,单价11035元/平米,128,| 3室2厅 | 116平米 | 南 | 简装,高楼层(共8层)  1999年建塔楼  -,
红山派出所宿舍 实用大两房 南北对流,单价15477元/平米,130,| 2室2厅 | 84平米 | 南 | 简装,低楼层(共9层)  塔楼  -,
东城华庭 精装三房 电梯洋房,单价24194元/平米,300,| 3室2厅 | 124平米 | 南 | 其他,中楼层(共27层)  2012年建塔楼  -,
金丽园 精致三房 格局方正,单价18327元/平米,138,| 3室2厅 | 75.3平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
荔香花园 精装房 带省级荔园学位,单价15854元/平米,130,| 3室1厅 | 82平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
石化生活区 地铁口中层1房 省一级学位,单价12778元/平米,46,| 1室1厅 | 36平米 | 暂无数据 | 其他,中楼层(共6层)  1976年建塔楼  -,
东港花园 南向 精装两房,单价20586元/平米,152,| 2室2厅 | 73.84平米 | 南 | 精装,中楼层(共11层)  塔楼  -,
港湾三村 南向两房 精装修近地铁,单价14584元/平米,70,| 2室1厅 | 48平米 | 南 | 精装,中楼层(共5层)  1995年建塔楼  -,
框架结构 13号线沿线物业,单价10773元/平米,70,| 2室2厅 | 64.98平米 | 南 | 其他,高楼层(共7层)  塔楼  -,
沙浦远洋宿舍 省级学位房 可用公积金贷款,单价9630元/平米,78,| 3室1厅 | 81平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
金碧世纪花园 精装商铺 商住两用,单价28948元/平米,110,| 1室1厅 | 38平米 | 东北 | 简装,低楼层(共17层)  2004年建塔楼  -,
东苑小区 入读名校 省一级学位,单价20834元/平米,200,| 3室2厅 | 96平米 | 东北 | 简装,中楼层(共17层)  2000年建塔楼  -,
东苑小区 三房 近地铁 带省级学位,单价19418元/平米,200,| 3室2厅 | 103平米 | 东 | 简装,低楼层(共17层)  2000年建塔楼  -,
鸿森大夏 北向望花园 电梯笋房 诚售,单价11291元/平米,105,| 3室1厅 | 93平米 | 北 | 简装,中楼层(共12层)  塔楼  -,
新港生活区 地铁上盖 配套齐全 交通方便,单价10625元/平米,68,| 3室1厅 | 64平米 | 南 | 其他,高楼层(共5层)  塔楼  -,
蟹山远洋宿舍 低总价 证够两年 入读名校,单价14000元/平米,105,| 3室2厅 | 75平米 | 东 | 简装,中楼层(共5层)  塔楼  -,
省级荔园学位，周边措施完善,单价13208元/平米,70,| 2室1厅 | 53平米 | 暂无数据 | 其他,高楼层(共6层)  塔楼  -,
鹤林苑 证过两年 实用率高 小区配套齐全,单价14820元/平米,115,| 2室1厅 | 77.6平米 | 北 | 简装,中楼层(共9层)  2000年建塔楼  -,
荔园小区 真实笋盘 带省一级学位,单价14329元/平米,96,| 2室1厅 | 67平米 | 南 | 简装,高楼层(共8层)  1993年建塔楼  -,
新景楼 地铁上盖 南北对流 入读名校,单价11729元/平米,95,| 2室2厅 | 81平米 | 北 | 简装,高楼层(共9层)  塔楼  -,
省一级怡园学区 全新装修南向小三房,单价16667元/平米,180,| 3室2厅 | 108平米 | 南 | 其他,高楼层(共8层)  1992年建塔楼  -,
省重点学位，黄金楼层，性价高,单价17969元/平米,230,| 4室2厅 | 128平米 | 南 | 精装,中楼层(共8层)  1992年建塔楼  -,
墩美小区 中层三房 业主自住 价格优惠,单价9211元/平米,70,| 2室2厅 | 76平米 | 北 | 其他,中楼层(共9层)  塔楼  -,
新景楼 地铁口大两房 省级下沙学位,单价14445元/平米,130,| 2室2厅 | 90平米 | 东南 | 简装,高楼层(共9层)  塔楼  -,
丰乐小区 实用三房 方正实用,单价14773元/平米,130,| 3室2厅 | 88平米 | 南 | 简装,高楼层(共8层)  1990年建塔楼  -,
荔香花园 带省级荔园学位,单价14055元/平米,130,| 3室2厅 | 92.5平米 | 北 | 精装,高楼层(共9层)  塔楼  -,
省级学位 南向两房 装修保养好,单价15807元/平米,98,| 2室2厅 | 62平米 | 东北 | 简装,高楼层(共9层)  1995年建塔楼  -,
金碧世纪花园 园景望泳池  小区配套成熟,单价20834元/平米,150,| 4室2厅 | 72平米 | 北 | 精装,低楼层(共17层)  2004年建塔楼  -,
装修不错两房 带荔园学位 低楼层,单价12587元/平米,73,| 2室1厅 | 58平米 | 南 | 简装,中楼层(共5层)  塔楼  -,
天虹花园 配套成熟 交通便利,单价13208元/平米,70,| 2室2厅 | 53平米 | 东 | 简装,高楼层(共9层)  塔楼  -,
鸿森大厦 正房型楼层价出售 客厅宽敞大气,单价10870元/平米,200,| 5室2厅 | 184平米 | 北 | 其他,高楼层(共12层)  塔楼  -,
天虹花园 配套成熟 交通便利 近地铁,单价17000元/平米,95.01,| 1室1厅 | 55.89平米 | 西南 | 其他,中楼层(共9层)  塔楼  -,
黄埔花园 南向大两房 格局方正,单价26154元/平米,238,| 2室2厅 | 91平米 | 南 | 精装,高楼层(共18层)  2011年建塔楼  -,
房子装修很好，改为3房了,单价16924元/平米,110,| 3室1厅 | 65平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
省电力一局 精致三房 南北朝向,单价10774元/平米,85,| 3室2厅 | 78.9平米 | 南 | 其他,高楼层(共7层)  塔楼  -,
银丰花园 中层两房 南北对流,单价14521元/平米,120,| 2室2厅 | 82.64平米 | 北 | 简装,中楼层(共9层)  1999年建塔楼  -,
红荔小区 高楼层 南北通透 采光好,单价10060元/平米,85,| 3室2厅 | 84.5平米 | 南 | 简装,高楼层(共7层)  塔楼  -,
金碧世纪花园 楼王位置采光好 方便看房修,单价21918元/平米,160,| 2室1厅 | 73平米 | 东北 | 精装,低楼层(共32层)  2004年建塔楼  -,
省一级下沙学区 丰乐小区实用1房可改2房,单价15687元/平米,80,| 1室1厅 | 51平米 | 东 | 简装,高楼层(共8层)  1990年建塔楼  -,
位置优越 旺中带静 优质两房,单价14063元/平米,90,| 2室2厅 | 64平米 | 南 | 简装,高楼层(共6层)  塔楼  -,
荔香花园 南北对流 正规3房,单价15169元/平米,135,| 3室2厅 | 89平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
乙烯大院 南北对流 带学位 总价低,单价15790元/平米,120,| 3室1厅 | 76平米 | 东 | 简装,低楼层(共8层)  1998年建塔楼  -,
丰乐小区 南向黄金楼层,单价16632元/平米,110,| 2室1厅 | 66.14平米 | 南 | 简装,高楼层(共8层)  1990年建塔楼  -,
港湾路靓装两房 交通方便  证过两年,单价14167元/平米,85,| 2室1厅 | 60平米 | 南 | 简装,高楼层(共8层)  塔楼  -,
丰乐小区 黄埔核心地位 配套成熟,单价15190元/平米,120,| 2室1厅 | 79平米 | 南 | 简装,高楼层(共8层)  1990年建塔楼  -,
港湾西三街 中层温馨两房 简单装修,单价15385元/平米,100,| 2室2厅 | 65平米 | 南 | 简装,高楼层(共7层)  塔楼  -,
黄船生活区 南北向正规两房采光好,单价10154元/平米,66,| 2室1厅 | 65平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
红山派出所宿舍 中层两房 格局方正,单价15585元/平米,138,| 3室2厅 | 88.55平米 | 暂无数据 | 毛坯,中楼层(共8层)  塔楼  -,
黄埔新村 BRT旁实用中层电梯3房,单价13918元/平米,135,| 2室1厅 | 97平米 | 南 | 精装,中楼层(共9层)  1970年建塔楼  -,
温馨两房 带精装修带平台花园,单价14286元/平米,110,| 2室1厅 | 77平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
鸿森大夏 电梯三房 公交站旁,单价12048元/平米,153,| 3室2厅 | 127平米 | 北 | 其他,中楼层(共12层)  塔楼  -,
港湾东一街 省一级学位 BRT+市场,单价15847元/平米,103,| 2室1厅 | 65平米 | 南 | 简装,中楼层(共6层)  1995年建塔楼  -,
东城华庭公寓 豪华装修 家电齐全商住2用,单价23138元/平米,118,| 1室1厅 | 51平米 | 东 | 精装,高楼层(共8层)  2006年建塔楼  -,
新景楼 地铁口实用中层2房 下沙学位,单价15625元/平米,125,| 2室1厅 | 80平米 | 北 | 简装,中楼层(共9层)  塔楼  -,
惊爆价！文冲商贸大厦 格局方正 热销3室,单价12712元/平米,150,| 3室2厅 | 118平米 | 暂无数据 | 其他,中楼层(共8层)  塔楼  -,
三村远洋宿舍 南向三房 采光充足,单价15117元/平米,130,| 3室2厅 | 86平米 | 东南 | 其他,高楼层(共8层)  塔楼  -,
精品大两房 未来13号线,单价9803元/平米,62,| 2室1厅 | 63.25平米 | 南 | 其他,高楼层(共7层)  塔楼  -,
文船西区 大户型 地铁沿线,单价11169元/平米,86,| 3室2厅 | 77平米 | 南 | 简装,低楼层(共6层)  1999年建塔楼  -,
金逸雅居 实用三房 未来地铁13号上盖,单价25000元/平米,270,| 3室2厅 | 108平米 | 东北 | 其他,中楼层(共16层)  2006年建塔楼  -,
万科金色悦府 精装南向三房 交通便利,单价25000元/平米,250,| 3室2厅 | 100平米 | 南 | 其他,低楼层(共31层)  塔楼  -,
三村远洋宿舍 南向二房 采光充足,单价17648元/平米,90,| 2室1厅 | 51平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
三村远洋舒适保养好 楼层低 过五唯一,单价27273元/平米,150,| 2室1厅 | 55平米 | 东南 | 其他,低楼层(共7层)  塔楼  -,
大沙西 方正3房 交通方便 采光通风一流,单价22223元/平米,200,| 3室2厅 | 90平米 | 南 | 简装,低楼层(共8层)  塔楼  -,
石化生活区 通光采光好,单价13847元/平米,72,| 2室1厅 | 52平米 | 南 | 其他,中楼层(共5层)  1976年建塔楼  -,
金碧领秀国际豪华南向3房 风景独一无二,单价33835元/平米,450,| 3室2厅 | 133平米 | 南 | 精装,高楼层(共33层)  2007年建塔楼  -,
金碧世纪花园 中高楼层 景观好,单价22308元/平米,145,| 2室2厅 | 65平米 | 北 | 简装,高楼层(共32层)  2004年建塔楼  -,
银丰花园 精装修实用大两房 临近地铁,单价12047元/平米,115,| 2室2厅 | 95.46平米 | 南 | 简装,高楼层(共9层)  1999年建塔楼  -,
怡港花园，精装南向大三房，户型方正,单价16991元/平米,175,| 3室2厅 | 103平米 | 南 | 精装,高楼层(共9层)  1999年建塔楼  -,
怡园小区 省级学位 性价比最高的一套,单价20770元/平米,135,| 2室2厅 | 65平米 | 东 | 简装,低楼层(共8层)  1992年建塔楼  -,
海关大院 电梯三房 怡园东学位,单价18381元/平米,193,| 3室2厅 | 105平米 | 南 | 精装,高楼层(共30层)  塔楼  -,
黄埔花园 南向大三房 满两年 唯一住房,单价28295元/平米,350,| 3室2厅 | 123.7平米 | 南 | 精装,高楼层(共18层)  2011年建塔楼  -,
东港花园 小户型 东向采光好,单价21235元/平米,85,| 1室1厅 | 40.03平米 | 东 | 精装,中楼层(共10层)  塔楼  -,
大沙东157号大院精装两房 地铁口,单价13091元/平米,72,| 2室1厅 | 55平米 | 东南 | 简装,高楼层(共6层)  塔楼  -,
金逸雅居漂亮三房 省级学位 地铁口,单价26066元/平米,318,| 3室2厅 | 122平米 | 东南 | 简装,中楼层(共17层)  2006年建塔楼  -,
乙烯大院 3房近地铁 装修保养好 学位房,单价14375元/平米,138,| 3室1厅 | 96平米 | 南 | 简装,低楼层(共8层)  1998年建塔楼  -,
石化生活区 地铁上盖 简单装修 证过五年,单价15323元/平米,95,| 2室1厅 | 62平米 | 南 | 简装,中楼层(共8层)  1987年建塔楼  -,
万科城市花园 地铁口双学位 精装中楼层,单价23334元/平米,175,| 2室2厅 | 75平米 | 西北 | 精装,中楼层(共11层)  2003年建塔楼  -,
荔景园 高层南向 带荔园学位 方正3房,单价13889元/平米,125,| 3室2厅 | 90平米 | 南 | 精装,高楼层(共9层)  塔楼  -,
乙烯稀有户型厅直出阳台,单价13543元/平米,125,| 3室2厅 | 92.3平米 | 暂无数据 | 简装,高楼层(共8层)  1998年建塔楼  -,
天虹花园 南向两房 景观花园 装修保养好,单价17696元/平米,98,| 2室1厅 | 55.38平米 | 南 | 精装,低楼层(共9层)  1998年建塔楼  -,
地处繁华地段 规划地铁口,单价15000元/平米,144,| 3室1厅 | 96平米 | 西南 | 简装,中楼层(共9层)  1970年建塔楼  -,
粮食局宿舍 地铁口5分钟 精装两房,单价15385元/平米,80,| 2室2厅 | 52平米 | 南 | 毛坯,中楼层(共9层)  塔楼  -,
金丽园 南向大两房 精装诚意出售,单价15976元/平米,131,| 2室2厅 | 82平米 | 南 | 精装,高楼层(共9层)  塔楼  -,
怡园小区 精装两房 黄金楼层,单价19125元/平米,153,| 2室2厅 | 80平米 | 西北 | 精装,中楼层(共8层)  1992年建塔楼  -,
怡园小区 带省级怡园总校 温馨婚房两房,单价18735元/平米,148,| 2室2厅 | 79平米 | 南 | 简装,中楼层(共8层)  1992年建塔楼  -,
金碧领秀国际，南向大三房，格局方正,单价25000元/平米,335,| 3室2厅 | 134平米 | 南 | 精装,低楼层(共33层)  2007年建塔楼  -,
骏鸿花园，精装复式，南北对流,单价13889元/平米,250,| 4室2厅 | 180平米 | 南 | 简装,高楼层(共6层)  塔楼  -,
石化生活区 地铁物业豪装两房 免重税,单价11905元/平米,100,| 2室1厅 | 84平米 | 南 | 精装,高楼层(共5层)  1976年建塔楼  -,
石化大院 户型方正 框架二房,单价14063元/平米,90,| 2室1厅 | 64平米 | 南 | 其他,高楼层(共8层)  1987年建塔楼  -,
石化生活区 中装 干净大方,单价13948元/平米,53,| 1室1厅 | 38平米 | 南 | 简装,低楼层(共6层)  1976年建塔楼  -,
金碧领秀国际 豪华南向4房 风景独一无二,单价42707元/平米,568,| 4室2厅 | 133平米 | 南 | 精装,高楼层(共33层)  2007年建塔楼  -,
石化生活区 地铁五号线 投资盘 不靠路边,单价17895元/平米,68,| 1室1厅 | 38平米 | 南 | 简装,中楼层(共6层)  1976年建塔楼  -,
港湾一村 实用两房 交通方便 省级学位,单价17038元/平米,92,| 2室1厅 | 54平米 | 南 | 其他,高楼层(共6层)  1995年建塔楼  -,
怡园小区 带省级学位三房 近地铁,单价17046元/平米,150,| 3室1厅 | 88平米 | 南 | 精装,高楼层(共8层)  1992年建塔楼  -,
石化生活区 5号线一房一厅 中楼层,单价13940元/平米,46,| 1室1厅 | 33平米 | 南 | 简装,中楼层(共5层)  1976年建塔楼  -,
荔香花园 精装三房 名校学位 证足两,单价14607元/平米,130,| 3室1厅 | 89平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
文船生活区 采光通风好 南北通透,单价14068元/平米,83,| 2室2厅 | 59平米 | 南 | 简装,高楼层(共8层)  1999年建塔楼  -,
墩美小区 中层实用两房 带学位 价格笋,单价8442元/平米,65,| 2室2厅 | 77平米 | 西南 | 简装,高楼层(共9层)  塔楼  -,
港湾路小区 框架两房 黄金楼层 全新装修,单价19105元/平米,128,| 2室1厅 | 67平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
新安苑 精装大两房 保养新净,单价15169元/平米,135,| 2室1厅 | 89平米 | 东 | 其他,高楼层(共9层)  1998年建塔楼  -,
港湾路环卫局宿舍 南北对流 框架结构,单价13710元/平米,85,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
港湾三村 采光好 楼层低 适合家庭入住,单价14584元/平米,70,| 2室1厅 | 48平米 | 南 | 简装,中楼层(共4层)  塔楼  -,
荔园小区 带学位 交通便利,单价15316元/平米,112,| 2室2厅 | 73.13平米 | 南 | 其他,高楼层(共9层)  2006年建塔楼  -,
荔景园 入读荔园小学 南北对流 房大厅大,单价15152元/平米,155,| 3室2厅 | 102.3平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
荔香花园 2房两厅 带荔园学位,单价28572元/平米,200,| 2室1厅 | 70平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
荔园小区 省级学位房 实用两房可改三房,单价15672元/平米,105,| 2室2厅 | 67平米 | 暂无数据 | 简装,高楼层(共8层)  1993年建塔楼  -,
东城华庭商住两用复式公寓 可注册,单价28000元/平米,140,| 1室1厅 | 50平米 | 南 | 其他,高楼层(共8层)  2006年建塔楼  -,
机关村 实用2房 地铁口物业 荔园学位,单价14738元/平米,102,| 2室2厅 | 69.21平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
海员路 新净2房 通风采光一流,单价16456元/平米,130,| 2室2厅 | 79平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
长洲岛旅游度假区 黄埔军械修理厂宿舍,单价17059元/平米,145,| 3室2厅 | 85平米 | 东南 | 简装,中楼层(共8层)  塔楼  -,
小户型正规一房 总价低 投资自住首选,单价7170元/平米,38,| 1室1厅 | 53平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
祥辉广场 中装中层 电梯四房 地铁沿线,单价12481元/平米,130,| 4室1厅 | 104.16平米 | 南 | 简装,低楼层(共13层)  塔楼  -,
天虹花园 精装修两房 格局方正,单价17544元/平米,100,| 2室1厅 | 57平米 | 东南 | 简装,高楼层(共9层)  塔楼  -,
普晖村 大三房 采光好 保养装修好,单价9660元/平米,85,| 3室2厅 | 88平米 | 东 | 其他,高楼层(共9层)  塔楼  -,
珠冶小区 实用两房 户型方正 采光好,单价10527元/平米,80,| 2室1厅 | 76平米 | 南 | 简装,低楼层(共8层)  塔楼  -,
荔香花园 东南向精装大四房 带省级学位,单价18182元/平米,230,| 4室2厅 | 126.5平米 | 东南 | 精装,中楼层(共9层)  塔楼  -,
繁华中心地段 地铁口甲级写字楼 宜商宜住,单价21277元/平米,200,| 2室2厅 | 94平米 | 西 | 简装,中楼层(共30层)  塔楼  -,
银丰花园 中间楼层 交通便利,单价16000元/平米,204.8,| 3室2厅 | 128平米 | 东 | 其他,中楼层(共9层)  1999年建塔楼  -,
高层刚需三房 带省级荔园学位,单价15385元/平米,120,| 3室1厅 | 78平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
墩美小区 高层3房 公积金贷款 投资首选,单价8824元/平米,75,| 3室2厅 | 85平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
省电力一局,南北对流,通风采光良好,单价10500元/平米,95,| 3室2厅 | 90.48平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
怡园小区 入读名校 靓装三房 南北对流,单价14881元/平米,125,| 2室2厅 | 84平米 | 东 | 简装,高楼层(共8层)  1992年建塔楼  -,
东城国际大厦 商住皆宜 地铁上盖 投资升,单价18948元/平米,180,| 2室1厅 | 95平米 | 暂无数据 | 毛坯,高楼层(共30层)  塔楼  -,
黄埔火电生活区 框架两房 未来13号地铁,单价11949元/平米,92,| 2室1厅 | 77平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
港湾路616号大院 西北向两房 格局方正,单价13433元/平米,90,| 2室1厅 | 67平米 | 暂无数据 | 简装,高楼层(共9层)  塔楼  -,
小区环境优雅 保养好 即买即入住,单价15000元/平米,135,| 3室2厅 | 90平米 | 暂无数据 | 其他,低楼层(共6层)  塔楼  -,
荔园学位 产权清晰 精装三房 格局方正,单价17526元/平米,170,| 3室2厅 | 97平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
新世纪花园 黄金楼层 户型方正 通风良好,单价13062元/平米,128,| 3室2厅 | 98平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
大沙东交警队楼上 下沙学位,单价15663元/平米,130,| 3室0厅 | 83平米 | 暂无数据 | 其他,中楼层(共9层)  塔楼  -,
黄金地段 交通方便 实用大两房 配套齐全,单价15493元/平米,110,| 2室2厅 | 71平米 | 暂无数据 | 其他,中楼层(共8层)  塔楼  -,
天虹花园 高层两房 采光通风一流,单价15687元/平米,80,| 2室1厅 | 51平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
东城华庭 精装东南四房 交通便利,单价22545元/平米,330,| 4室2厅 | 146.38平米 | 东南 | 精装,高楼层(共27层)  2012年建塔楼  -,
南向两房 中楼层 交通便利 配套成熟,单价15790元/平米,120,| 2室2厅 | 76平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
新安苑 省级下沙学位 近地铁 业主诚心出,单价14535元/平米,125,| 2室2厅 | 86平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
黄船生活区 南北向正规两房 采光好房,单价15585元/平米,120,| 2室1厅 | 77平米 | 东南 | 其他,中楼层(共7层)  塔楼  -,
金碧世纪花园 南向三房 南北通透 采光好,单价21583元/平米,215,| 3室2厅 | 99.62平米 | 南 | 简装,高楼层(共17层)  2004年建塔楼  -,
天虹花园 精装小户型 证过两年,单价14424元/平米,75,| 2室1厅 | 52平米 | 北 | 简装,高楼层(共9层)  塔楼  -,
金隆园 电梯两房 带省级学位 交通生活,单价19737元/平米,150,| 2室1厅 | 76平米 | 北 | 简装,中楼层(共18层)  塔楼  -,
三村远洋宿舍 稀缺南向小三房 采光超好,单价14706元/平米,100,| 3室1厅 | 68平米 | 南 | 毛坯,高楼层(共7层)  塔楼  -,
金碧世纪花园 实用2房 户型方正,单价22572元/平米,158,| 2室1厅 | 70平米 | 南 | 其他,中楼层(共17层)  2004年建塔楼  -,
新安苑 实用两方房 南北对流 地铁上盖,单价16112元/平米,116,| 2室2厅 | 72平米 | 东 | 其他,中楼层(共9层)  1998年建塔楼  -,
怡港花园,采光通风非常好,交通出行方便.,单价21476元/平米,262,| 3室2厅 | 122平米 | 东北 | 精装,中楼层(共11层)  1999年建塔楼  -,
新安苑 地铁上盖 新装两房 带学位,单价15313元/平米,98,| 2室2厅 | 64平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
框架两房 送前后超大花园 证满五年,单价15080元/平米,95,| 2室1厅 | 63平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
荔景园 入读荔园小学 南北对流 房大厅大,单价15910元/平米,160,| 3室2厅 | 100.57平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
悦涛雅苑，精装4房，地铁口省级怡园学位,单价21930元/平米,250,| 4室2厅 | 114平米 | 东南 | 简装,高楼层(共13层)  2000年建塔楼  -,
港湾四村 交通方便 南北对流 新装修,单价16539元/平米,90,| 2室1厅 | 54.42平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
南北对流采光通风好户型方入读荔园学位,单价15203元/平米,95,| 2室2厅 | 62.49平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
东城国际 精美装修公寓,单价18750元/平米,120,| 1室0厅 | 64平米 | 西 | 简装,高楼层(共30层)  塔楼  -,
港湾四村 交通方便 过五唯一,单价19792元/平米,95,| 2室1厅 | 48平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
宝夏花园 全新未入住 南向两房 安静舒适,单价15000元/平米,120,| 2室2厅 | 80平米 | 南 | 其他,中楼层(共22层)  塔楼  -,
石化生活区 黄金楼层 稀缺户型 地铁上盖,单价14000元/平米,56,| 1室1厅 | 40平米 | 南 | 其他,中楼层(共5层)  1976年建塔楼  -,
石化生活区 低楼层 一房一厅,单价14103元/平米,55,| 1室1厅 | 39平米 | 南 | 其他,低楼层(共5层)  1976年建塔楼  -,
珠冶小区 环境幽静 低层两房 南北对流,单价10639元/平米,75,| 2室1厅 | 70.5平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
石化生活区 地铁五号线 投资盘,单价11464元/平米,47,| 1室1厅 | 41平米 | 南 | 其他,中楼层(共5层)  1976年建塔楼  -,
海员路安静小区 框架南向两房 荔园学位,单价12500元/平米,90,| 3室1厅 | 72平米 | 东南 | 其他,高楼层(共7层)  塔楼  -,
港湾四村 总价低 带学位,单价15477元/平米,65,| 1室1厅 | 42平米 | 南 | 其他,高楼层(共5层)  塔楼  -,
