name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
浪琴屿花园，南二外学位，客厅高5.4米，7房5卫4阳台,单价63690元/平米,1800,| 7室2厅 | 282.62平米 | 南 北 | 精装,中楼层(共7层)  2001年建板塔结合  -,
科技园片区彩虹居三房 步梯房实用率高,单价47369元/平米,450,| 3室2厅 | 95平米 | 南 | 简装,中楼层(共8层)  2000年建板塔结合  -,
万象新园 高楼层 视野开阔 正规三房 方正实用,单价59449元/平米,520,| 3室2厅 | 87.47平米 | 西南 | 精装,高楼层(共33层)  2000年建板塔结合  -,
房子满五年唯一红本在手，双实验学位。,单价58554元/平米,460,| 2室2厅 | 78.56平米 | 南 | 精装,中楼层(共8层)  1996年建板塔结合  -,
临近前海自贸区，心语家园，满五唯一，东南向黄金楼层,单价63000元/平米,378,| 2室1厅 | 60平米 | 东南 | 其他,高楼层(共19层)  2002年建塔楼  -,
华联花园 精装两房 三百万左右刚需投资首选,单价56452元/平米,350,| 2室2厅 | 62平米 | 东南 | 其他,低楼层(共10层)  1995年建板楼  -,
科技园桑达苑三房两厅业南外总部学位,单价73514元/平米,680,| 3室2厅 | 92.5平米 | 南 | 精装,中楼层(共7层)  1996年建板塔结合  -,
京光海景花园  精装大2房  满五唯一,单价55790元/平米,530,| 2室2厅 | 95平米 | 东北 | 精装,低楼层(共32层)  2007年建塔楼  -,
阳光花地苑 两居室 满五  红本在手,单价69855元/平米,450,| 2室2厅 | 64.42平米 | 西北 | 其他,高楼层(共27层)  板塔结合  -,
光彩新世纪 南山中心区地铁口两房精装出售,单价64384元/平米,470,| 2室2厅 | 73平米 | 北 | 简装,低楼层(共24层)  2004年建板塔结合  -,
蔚蓝海岸南山4期 大2居 客厅出阳台 学位房,单价91981元/平米,601,| 2室2厅 | 65.34平米 | 北 | 精装,高楼层(共17层)  2003年建塔楼  -,
华彩花园  双学位  高层视野开阔,单价47097元/平米,730,| 4室2厅 | 155平米 | 东南 | 精装,高楼层(共30层)  1994年建板塔结合  -,
南粤明珠（海洋之心） 优质三房 方便看房,单价65409元/平米,780,| 3室1厅 | 119.25平米 | 东南 | 简装,低楼层(共32层)  2002年建塔楼  -,
中信海阔天空 精装打3房 南北通透 带学位 急售,单价90077元/平米,1180,| 3室2厅 | 131平米 | 南 | 精装,中楼层(共31层)  2003年建塔楼  -,
中海阳光玫瑰园  54平两房  西南朝向,单价76999元/平米,395,| 2室1厅 | 51.3平米 | 西南 | 精装,低楼层(共17层)  2009年建塔楼  -,
2房加储物间，业主诚心出售,单价63048元/平米,475,| 2室2厅 | 75.34平米 | 南 | 简装,中楼层(共6层)  1988年建板塔结合  -,
阳光荔景 诚心出售 另赠送10平 学位空置 税费少过户快,单价77900元/平米,1000,| 4室2厅 | 128.37平米 | 东 西 | 简装,高楼层(共11层)  2009年建板楼  -,
波托菲诺天鹅堡 二期3房南北向,单价78220元/平米,1300,| 3室2厅 | 166.2平米 | 南 | 简装,低楼层(共31层)  2002年建板塔结合  -,
中海阳光玫瑰园 正规48平大两房 带精装修,单价71088元/平米,342,| 2室1厅 | 48.11平米 | 西 西北 | 精装,低楼层(共17层)  2009年建塔楼  -,
创世纪滨海花园优质三房，带学府中、小学位,单价64706元/平米,660,| 3室2厅 | 102平米 | 东 | 简装,低楼层(共16层)  2001年建板塔结合  -,
锦绣花园二期大三房 户型方正 景观好 安静,单价84746元/平米,1500,| 3室2厅 | 177平米 | 东南 | 精装,高楼层(共28层)  2001年建板塔结合  -,
学林雅院小区 带学府中小学双学位,单价90362元/平米,750,| 3室1厅 | 83平米 | 东南 | 其他,高楼层(共7层)  2001年建板塔结合  -,
中海深圳湾畔花园 满五唯一 大四房 楼王位置,单价72501元/平米,1000,| 4室2厅 | 137.93平米 | 南 | 精装,低楼层(共33层)  2003年建塔楼  -,
星海五期花园小区满五唯一红本在手居家投资首选,单价71933元/平米,428,| 2室1厅 | 59.5平米 | 西北 | 简装,高楼层(共32层)  2006年建板塔结合  -,
雅仕荔景苑精装两房业主诚心出售,单价67165元/平米,450,| 2室1厅 | 67平米 | 北 | 精装,高楼层(共31层)  2002年建板塔结合  -,
英达钰龙园  厅出阳台正规两房　满五唯一　无双税,单价67925元/平米,414,| 2室1厅 | 60.95平米 | 西北 | 精装,高楼层(共31层)  2004年建塔楼  -,
鼎太风华七期小户型，紧邻前海自贸区,单价72245元/平米,430,| 2室1厅 | 59.52平米 | 西 | 精装,高楼层(共11层)  2008年建板塔结合  -,
常兴广场地铁口物业南北通透大三房满五唯一业主自,单价48303元/平米,508,| 3室2厅 | 105.17平米 | 南 | 简装,高楼层(共29层)  2003年建板塔结合  -,
南头 钰龙园 低总价一房一厅 听出阳台 满五唯一,单价67373元/平米,280,| 1室1厅 | 41.56平米 | 西北 | 简装,高楼层(共30层)  2009年建板塔结合  -,
半岛城邦二期，海景豪宅，精装修,单价83947元/平米,1300,| 3室2厅 | 154.86平米 | 南 | 其他,低楼层(共48层)  2009年建板塔结合  -,
南山中心双地铁居间，康乐大厦高层3房，视野广采光佳,单价48437元/平米,415,| 3室2厅 | 85.68平米 | 西北 | 精装,高楼层(共28层)  板塔结合  -,
文竹园南北三房 满五唯一 学位房,单价69319元/平米,610,| 3室2厅 | 88平米 | 南 | 其他,低楼层(共7层)  1998年建板塔结合  -,
美丽湾国际公寓 精装2房交通便利业主诚心卖,单价69768元/平米,300,| 2室1厅 | 43平米 | 东 | 精装,中楼层(共14层)  2006年建板塔结合  -,
半岛城邦一期 精装修 三房 西南向 看海景,单价103306元/平米,1250,| 3室2厅 | 121平米 | 西南 | 精装,中楼层(共27层)  2006年建板塔结合  -,
钰龙园 厅出阳台 朝南小两房 稀缺房源,单价70931元/平米,305,| 2室1厅 | 43平米 | 南 | 精装,低楼层(共30层)  2009年建板塔结合  -,
前海自贸区鼎太风华四期正规四房带双实验学位,单价87436元/平米,817,| 4室1厅 | 93.44平米 | 西 | 其他,中楼层(共18层)  2004年建板楼  -,
栖游记高层三房采光好，视野好，诚心卖！,单价79286元/平米,666,| 3室1厅 | 84平米 | 东 北 | 精装,高楼层(共33层)  2013年建板塔结合  -,
君汇新天  3栋  一梯一户  客厅正出大阳台  南向,单价94513元/平米,1650,| 4室2厅 | 174.58平米 | 南 | 毛坯,中楼层(共21层)  2009年建塔楼  -,
招商桃花园 通风采光好，满五年，带学位！,单价79698元/平米,570,| 2室1厅 | 71.52平米 | 南 北 | 精装,中楼层(共18层)  板塔结合  -,
满五唯一，双实验学位,单价97042元/平米,820,| 3室2厅 | 84.5平米 | 南 | 精装,高楼层(共11层)  2011年建板塔结合  -,
世纪村 朝南三房 三面采光,单价68853元/平米,1260,| 3室2厅 | 183平米 | 南 北 | 精装,低楼层(共29层)  2004年建塔楼  -,
纯水岸七期 南北通透三房 小区中心位 安静,单价82858元/平米,1450,| 3室2厅 | 175平米 | 南 | 精装,低楼层(共28层)  2008年建板塔结合  -,
中山公园对面小三房 安静不吵舒适,单价68766元/平米,570,| 3室2厅 | 82.89平米 | 南 | 简装,低楼层(共11层)  2008年建板塔结合  -,
青青山庄独栋别墅 稀有资源 业主诚心出售,单价128359元/平米,4300,| 6室4厅 | 335平米 | 南 北 | 简装,低楼层(共1层)  1999年建  -,
阳光花地苑 带学位  赠送阳台5平米,单价71966元/平米,450,| 2室2厅 | 62.53平米 | 西 | 精装,中楼层(共27层)  板塔结合  -,
华侨城四海公寓一室一厅,单价69513元/平米,285,| 1室1厅 | 41平米 | 西 | 精装,高楼层(共33层)  2008年建板塔结合  -,
观海台 满五唯一 南二外学位 户型方正两房,单价96460元/平米,790,| 2室2厅 | 81.9平米 | 东 西 | 精装,低楼层(共18层)  2002年建板塔结合  -,
恒立听海带南外学位小三房高赠送,单价132353元/平米,900,| 3室2厅 | 68平米 | 西北 | 精装,低楼层(共18层)  2005年建板塔结合  -,
观海台花园 满五唯一 南二外 后海地铁站,单价98614元/平米,960,| 3室2厅 | 97.35平米 | 东 西 | 简装,低楼层(共11层)  2002年建板楼  -,
红树湾二改一房  诚心在售,单价122449元/平米,1200,| 2室2厅 | 98平米 | 北 | 精装,低楼层(共32层)  2005年建板楼  -,
蔚蓝海岸2期优质三房，满五唯一户型方正,单价80074元/平米,960,| 3室2厅 | 119.89平米 | 东北 | 简装,中楼层(共29层)  2003年建塔楼  -,
桑达苑 精品雅致三房 南外文华总部学位,单价70527元/平米,670,| 3室2厅 | 95平米 | 南 北 | 精装,中楼层(共7层)  1996年建板塔结合  -,
英达钰龙园 东南三房 89平 满五唯一 厅出阳台,单价67978元/平米,605,| 3室1厅 | 89平米 | 东南 | 精装,高楼层(共31层)  2004年建塔楼  -,
深蓝季节一房一厅满五唯一租金高户型方正,单价70519元/平米,260,| 1室1厅 | 36.87平米 | 西 | 其他,高楼层(共32层)  2006年建塔楼  -,
华彩花园  阳光三居 看房方便,单价53685元/平米,510,| 3室1厅 | 95平米 | 西南 | 精装,低楼层(共30层)  1994年建板塔结合  -,
麒麟花园超值三房 居家求学首选！,单价76435元/平米,855,| 3室2厅 | 111.86平米 | 东南 | 简装,中楼层(共16层)  板塔结合  -,
阳光棕榈园，满五唯一红本在手，业主诚售,单价63648元/平米,489,| 2室2厅 | 76.83平米 | 东南 | 精装,高楼层(共6层)  2003年建板塔结合  -,
鼎太风华四期  学位房  满五且唯一,单价81563元/平米,660,| 2室2厅 | 80.92平米 | 西 | 精装,高楼层(共18层)  2004年建板楼  -,
直降30万  棕榈园3房  满五年唯一  楼层好,单价64647元/平米,640,| 3室2厅 | 99平米 | 西南 | 精装,低楼层(共6层)  2003年建板塔结合  -,
诺德假日花园  新出笋盘 48㎡ 客厅出阳台 满五唯一,单价77981元/平米,380,| 2室1厅 | 48.73平米 | 西南 | 其他,中楼层(共29层)  2009年建板塔结合  -,
荔枝苑经典两房  满五唯一红本在手,单价61993元/平米,450,| 2室1厅 | 72.59平米 | 东南 | 简装,低楼层(共7层)  1990年建板塔结合  -,
南山前海电梯房太子山庄精装三房带双实验学位,单价68000元/平米,680,| 3室2厅 | 100平米 | 南 西南 | 精装,低楼层(共15层)  1996年建板塔结合  -,
南山前海 星海名城六期 精装四房 稀缺户型 满五年,单价67742元/平米,1050,| 4室2厅 | 155平米 | 南 | 精装,低楼层(共26层)  1998年建板塔结合  -,
绿海名都南向三房满五年红本中间楼层,单价66982元/平米,710,| 3室2厅 | 106平米 | 西南 西北 | 简装,中楼层(共17层)  2004年建板塔结合  -,
星海名城五期 采光充足，视野好，红本在手,单价71802元/平米,275,| 1室0厅 | 38.3平米 | 南 北 | 其他,高楼层(共32层)  2006年建板塔结合  -,
雍景湾花园式小区，观景高层大四房。,单价107007元/平米,1680,| 5室2厅 | 157平米 | 南 | 精装,高楼层(共31层)  2012年建板塔结合  -,
雍景湾东西双向观景房，可改5房。,单价107007元/平米,1680,| 5室2厅 | 157平米 | 南 | 精装,高楼层(共31层)  2012年建板塔结合  -,
星海名城三期 无营业税三房出售 看花园安静,单价64342元/平米,830,| 4室2厅 | 129平米 | 西北 | 精装,高楼层(共28层)  2004年建板塔结合  -,
鲸山觐海 开发商装修 采光充足 格局合理,单价81684元/平米,1650,| 4室2厅 | 202平米 | 南 | 精装,中楼层(共24层)  2014年建板塔结合  -,
桂庙路阳光里雅居精装两房 满两年诚心出售,单价86445元/平米,389,| 2室2厅 | 45平米 | 东 | 其他,低楼层(共31层)  2012年建板塔结合  -,
双地铁口物业 总价低 投资回报高 南北通透,单价48334元/平米,145,| 1室0厅 | 30平米 | 南 北 | 简装,高楼层(共8层)  2003年建板塔结合  -,
老街新寓 单身公寓 满五唯一 南向税少,单价57143元/平米,200,| 1室0厅 | 35平米 | 东南 | 简装,高楼层(共7层)  1988年建板塔结合  -,
前海自贸区旁两房！满五年，带实验学位。,单价54512元/平米,380,| 2室2厅 | 69.71平米 | 南 | 其他,高楼层(共15层)  2002年建塔楼  -,
泛海拉菲花园一期   74平3房1卫  东南向,单价79730元/平米,590,| 3室2厅 | 74平米 | 东南 | 精装,高楼层(共20层)  2009年建板塔结合  -,
花果山，满五年无税小两居室，看房方便,单价66087元/平米,380,| 2室1厅 | 57.5平米 | 南 北 | 简装,高楼层(共6层)  1996年建板塔结合  -,
世界花园香山居 电梯小高层 闹中取静 带独立花园,单价66052元/平米,830,| 3室2厅 | 125.66平米 | 北 | 精装,中楼层(共8层)  1997年建塔楼  -,
桂园小区  满五年唯一税少，南北通透中楼层,单价59260元/平米,480,| 3室2厅 | 81平米 | 南 | 精装,低楼层(共7层)  1994年建板塔结合  -,
税费少，红本在手，近地铁 有学位,单价58696元/平米,540,| 3室2厅 | 92平米 | 南 | 精装,中楼层(共8层)  2003年建板塔结合  -,
海珠城精致三房、采光充足、正对花园,单价52381元/平米,550,| 3室1厅 | 105平米 | 东南 | 简装,高楼层(共22层)  1995年建塔楼  -,
四季丽晶满五唯一，税费少，购房成本低！,单价76740元/平米,353,| 2室1厅 | 46平米 | 南 | 精装,低楼层(共30层)  2011年建板塔结合  -,
汇宾广场，未来的地铁口物业，环境不错,单价50000元/平米,650,| 3室2厅 | 130平米 | 东南 | 其他,中楼层(共32层)  2002年建板塔结合  -,
世纪假日广场实用大三房 满五年,单价54422元/平米,800,| 3室2厅 | 147平米 | 南 | 简装,高楼层(共34层)  2009年建板塔结合  -,
科技园科苑学里文华学位电梯房出售,单价90910元/平米,1100,| 3室2厅 | 121平米 | 南 北 | 精装,高楼层(共15层)  2004年建板塔结合  -,
华侨城首地容御 豪装复式 大五房,单价77076元/平米,1400,| 3室1厅 | 181.64平米 | 东南 | 精装,高楼层(共32层)  2011年建板塔结合  -,
英达钰龙园   朝南精装2房 满五唯一 红本在手,单价65442元/平米,445,| 2室2厅 | 68平米 | 西南 | 精装,高楼层(共32层)  2004年建塔楼  -,
招北小区 南北通透三房  住家安静,单价65000元/平米,585,| 3室1厅 | 90平米 | 南 北 | 其他,中楼层(共6层)  1986年建板塔结合  -,
现代城梦想家园 满五年 红本在手 精装修,单价61905元/平米,260,| 1室1厅 | 42平米 | 西 | 其他,高楼层(共29层)  2003年建板塔结合  -,
汇滨广场 精装3房 地铁物业 带双学位,单价50000元/平米,650,| 3室2厅 | 130平米 | 南 | 精装,低楼层(共32层)  2002年建板塔结合  -,
半岛花园B区 南北3房 双学位,单价60353元/平米,490,| 4室1厅 | 81.19平米 | 南 | 精装,高楼层(共7层)  1996年建板塔结合  -,
港湾花园 南向三房 满五年唯一  诚售,单价57211元/平米,630,| 3室2厅 | 110.12平米 | 南 | 简装,中楼层(共10层)  1997年建板塔结合  -,
荔林春晓稀缺3+1户型 不临街位置,单价80621元/平米,1040,| 4室1厅 | 129平米 | 东南 | 精装,高楼层(共21层)  2003年建板塔结合  -,
大三房，低密度板楼，满五唯一，地铁学区房,单价68000元/平米,680,| 3室2厅 | 100平米 | 东北 | 简装,中楼层(共9层)  2001年建板塔结合  -,
米兰2季精装修两房，南向无遮挡，无税,单价65973元/平米,475,| 2室2厅 | 72平米 | 南 | 精装,中楼层(共18层)  2006年建板塔结合  -,
现代城梦想家园看花园精品一房 无遮挡,单价62791元/平米,270,| 1室1厅 | 43平米 | 东北 | 其他,中楼层(共29层)  2003年建板塔结合  -,
望海汇景苑，满五年唯一，三房，诚意出售。,单价65657元/平米,650,| 3室2厅 | 99平米 | 南 | 简装,高楼层(共20层)  2003年建板塔结合  -,
山水情家园  双实验学位 满五唯一,单价68628元/平米,700,| 3室2厅 | 102平米 | 南 北 | 其他,中楼层(共8层)  2001年建板塔结合  -,
龙城花园标准三房，满两年，业主自住,单价55556元/平米,600,| 3室2厅 | 108平米 | 南 | 精装,低楼层(共7层)  1986年建板楼  -,
阳光棕榈园，经典3+1，南北通透,单价66596元/平米,750,| 4室1厅 | 112.62平米 | 南 北 | 精装,中楼层(共6层)  2002年建板楼  -,
阳光带一期，热带园林风情大三房,单价102754元/平米,1418,| 3室2厅 | 138平米 | 南 | 精装,高楼层(共29层)  2002年建板塔结合  -,
豪方悠然居三房两厅 满五唯一,单价70931元/平米,610,| 3室1厅 | 86平米 | 北 | 简装,中楼层(共25层)  2004年建板塔结合  -,
中海深圳湾畔花园精装修业主急售,单价67095元/平米,785,| 3室2厅 | 117平米 | 东南 | 精装,低楼层(共32层)  2003年建塔楼  -,
南山脚下，汉京山复式3房，无营业税，诚售,单价78804元/平米,690,| 3室2厅 | 87.56平米 | 东南 | 精装,高楼层(共33层)  2010年建板塔结合  -,
海昌大厦 精装修 72平3居 近地铁 看房方便,单价52778元/平米,380,| 3室2厅 | 72平米 | 南 | 简装,中楼层(共7层)  1988年建板塔结合  -,
缤纷假日豪园稀缺通透户型新地铁口物业,单价63910元/平米,850,| 3室2厅 | 133平米 | 西 | 精装,高楼层(共18层)  2001年建板塔结合  -,
星海三期 满五年唯一 精装修 首付220万,单价67764元/平米,729,| 3室2厅 | 107.58平米 | 东北 | 简装,低楼层(共18层)  2004年建板塔结合  -,
招东小区 满五唯一税少 带学位,单价50633元/平米,400,| 2室2厅 | 79平米 | 东 | 精装,高楼层(共9层)  1987年建板塔结合  -,
华侨城世界花园精装三房 朝南税少 地段繁华,单价63158元/平米,720,| 3室2厅 | 114平米 | 南 | 精装,中楼层(共7层)  1996年建板塔结合  -,
南山蛇口振兴小区精装大两房 中楼层带学位,单价61646元/平米,505,| 2室2厅 | 81.92平米 | 南 | 精装,低楼层(共8层)  1992年建板塔结合  -,
海岸城商圈，地铁口物业，经典三房！,单价68540元/平米,610,| 3室1厅 | 89平米 | 西北 | 精装,中楼层(共25层)  2002年建板塔结合  -,
祥祺苑 闹中取静 温馨三房 红本在手 少税,单价58511元/平米,550,| 3室2厅 | 94平米 | 南 | 精装,高楼层(共6层)  1997年建板塔结合  -,
招东小区两房，南向无遮挡，随时看房,单价59471元/平米,465,| 2室2厅 | 78.19平米 | 南 北 | 简装,高楼层(共9层)  1987年建板塔结合  -,
桂园小区 户型方正  楼层好 学区房,单价65433元/平米,530,| 3室2厅 | 81平米 | 东南 | 精装,中楼层(共7层)  1994年建板塔结合  -,
深圳湾花园 经典户型红本在手，诚售！,单价64000元/平米,800,| 3室2厅 | 125平米 | 南 | 精装,高楼层(共6层)  1996年建板塔结合  -,
新街口花园 经典小两房 红本无税 诚售,单价58363元/平米,350,| 2室1厅 | 59.97平米 | 北 | 简装,中楼层(共16层)  2004年建板塔结合  -,
城市山林精装三房,单价90567元/平米,960,| 3室2厅 | 106平米 | 南 | 精装,高楼层(共31层)  2009年建板塔结合  -,
榆园小区 3房2厅 红本满五年 双学位,单价64045元/平米,570,| 3室2厅 | 89平米 | 南 | 精装,低楼层(共7层)  1997年建板塔结合  -,
凯宁阁 三房 居家好选择,单价50685元/平米,370,| 2室2厅 | 73平米 | 南 北 | 简装,高楼层(共7层)  1999年建板楼  -,
大陆庄园  地铁口  花园式 前海区地段,单价50000元/平米,600,| 3室2厅 | 120平米 | 西南 西 | 精装,高楼层(共16层)  2001年建板塔结合  -,
海尚国际  高楼层 视野开阔  采光好,单价56000元/平米,588,| 3室2厅 | 105平米 | 南 | 简装,中楼层(共31层)  2004年建塔楼  -,
中旅广场 高层景观好 视野开阔 学位可用,单价69492元/平米,820,| 3室2厅 | 118平米 | 西南 | 精装,中楼层(共34层)  1997年建板塔结合  -,
前海自贸 瑞景华庭  学区房,单价59017元/平米,360,| 2室1厅 | 61平米 | 南 | 简装,中楼层(共15层)  2002年建塔楼  -,
前海自贸  阳光花地苑 满五 唯一 两居,单价71235元/平米,445,| 2室1厅 | 62.47平米 | 东北 | 其他,高楼层(共27层)  板塔结合  -,
南山中心区 海印长城 正南向三房 红本在手 无税,单价78427元/平米,698,| 3室2厅 | 89平米 | 南 | 精装,低楼层(共15层)  2002年建板塔结合  -,
鼎太风华六期  满五且唯一 红本在手 大两居,单价83015元/平米,650,| 2室2厅 | 78.3平米 | 东南 | 精装,高楼层(共24层)  2004年建板塔结合  -,
海尚国际，户型方正，满五年唯一，高楼层，可看海景。,单价54513元/平米,447,| 2室2厅 | 82平米 | 西南 | 简装,中楼层(共31层)  2004年建塔楼  -,
栖游记 高层观海景 精装修 满2年税费少,单价77932元/平米,452,| 2室1厅 | 58平米 | 东南 | 精装,高楼层(共33层)  2013年建板塔结合  -,
世界花园 安静好房 业主诚心出售,单价54795元/平米,800,| 4室2厅 | 146平米 | 东南 | 精装,中楼层(共23层)  2002年建板塔结合  -,
南山一品 2012年社区 复式 送精装修 采光效果佳,单价92969元/平米,595,| 4室2厅 | 64平米 | 东 | 精装,低楼层(共17层)  2011年建板塔结合  -,
祥祺花园三房朝南 满五唯一 低楼层,单价57312元/平米,535,| 4室2厅 | 93.35平米 | 南 | 精装,低楼层(共6层)  1997年建板塔结合  -,
前海金岸 地铁口1房1厅 配套成熟 交通便利 红本在手,单价67074元/平米,275,| 1室1厅 | 41平米 | 西北 | 简装,低楼层(共28层)  2006年建塔楼  -,
现代城华庭 2室2厅 500万,单价51547元/平米,500,| 2室2厅 | 97平米 | 西南 | 其他,低楼层(共30层)  2004年建板塔结合  -,
前海自贸区 经典小三房 园区中心 学位未用,单价85366元/平米,700,| 3室2厅 | 82平米 | 东 | 简装,中楼层(共18层)  2004年建板楼  -,
海月花园三期 精装三房 满五年 红本在手 随时看房,单价84255元/平米,960,| 3室2厅 | 113.94平米 | 南 | 精装,低楼层(共24层)  2005年建板塔结合  -,
颐安阅海复式，精装，红本在手，满2年。,单价120503元/平米,720,| 2室2厅 | 59.75平米 | 南 | 精装,低楼层(共25层)  2009年建板楼  -,
前海自贸区专卖南山双实验学位 南北通透户型 中间楼层,单价79167元/平米,760,| 3室2厅 | 96平米 | 东南 | 精装,低楼层(共11层)  2004年建板塔结合  -,
南山南头钰龙园 正规三房 厅出阳台  全南向,单价62922元/平米,560,| 3室2厅 | 89平米 | 东南 南 西南 | 精装,中楼层(共31层)  2004年建塔楼  -,
漾日湾畔南向两房 满五唯一税费少 南二外学位,单价100000元/平米,890,| 2室2厅 | 89平米 | 南 | 精装,中楼层(共32层)  2003年建板塔结合  -,
龙坤居  大两房  户型方正 全采光,单价52174元/平米,360,| 2室2厅 | 69平米 | 北 | 其他,中楼层(共8层)  2000年建板塔结合  -,
钜建大厦两房，香港业主，本在手，诚心卖,单价48631元/平米,355,| 2室2厅 | 73平米 | 北 | 简装,低楼层(共24层)  1994年建塔楼  -,
南北通透 厅出阳台 实用面积大 北师大学位,单价70910元/平米,780,| 3室2厅 | 110平米 | 南 北 | 精装,低楼层(共7层)  2002年建板塔结合  -,
金竹园北座 4楼 正南北三房 户型方正！,单价57018元/平米,650,| 3室1厅 | 114平米 | 南 | 简装,中楼层(共9层)  1989年建塔楼  -,
世纪村三期王府，高尔夫景海景一览无余,单价74540元/平米,1660,| 3室2厅 | 222.7平米 | 西南 | 精装,中楼层(共29层)  2003年建塔楼  -,
海岸城商圈 南山中心区 海珠城 大三房  居家装修,单价55446元/平米,560,| 3室2厅 | 101平米 | 东南 | 其他,高楼层(共22层)  1995年建塔楼  -,
南山前海 新德家园 满五年唯一 地铁物业,单价67533元/平米,520,| 2室2厅 | 77平米 | 北 | 精装,中楼层(共28层)  2006年建塔楼  -,
花园城一期精装三房 户型方正 红本无税 看房方便,单价76830元/平米,630,| 3室2厅 | 82平米 | 东 | 精装,低楼层(共11层)  2000年建板塔结合  -,
南水小区大两房，满五年，红本在手,单价52440元/平米,430,| 2室1厅 | 82平米 | 南 | 简装,中楼层(共7层)  1990年建板塔结合  -,
南水小区南北通透两房，满五年，红本在手,单价52440元/平米,430,| 2室1厅 | 82平米 | 南 北 | 简装,中楼层(共7层)  1990年建板塔结合  -,
汇宾广场 红本在手 东南朝向 地铁物业,单价49495元/平米,490,| 3室1厅 | 99平米 | 西南 | 精装,高楼层(共32层)  2002年建板塔结合  -,
翠薇园小区 红本唯一，南北通透，视野好！,单价67693元/平米,440,| 2室2厅 | 65平米 | 南 北 | 简装,高楼层(共7层)  1991年建板楼  -,
恒立听海大三房，满五年，带南外学位。,单价127119元/平米,1500,| 3室2厅 | 118平米 | 南 | 其他,中楼层(共18层)  2005年建板塔结合  -,
漾日湾畔精装修南二外学位地铁3房满五唯一,单价99392元/平米,980,| 3室1厅 | 98.6平米 | 东北 | 精装,高楼层(共30层)  2003年建板塔结合  -,
美丽湾国际公寓两房，业主诚心出售，看房方便,单价61017元/平米,360,| 2室2厅 | 59平米 | 西南 | 精装,中楼层(共14层)  2006年建塔楼  -,
京光海景两房，南向，通风采光良好，业主诚心出售,单价53049元/平米,516,| 2室2厅 | 97.27平米 | 南 | 简装,低楼层(共32层)  1998年建塔楼  -,
汇雅苑经济适用3+1房，安静舒适，东西通透，采光佳！,单价70277元/平米,610,| 3室1厅 | 86.8平米 | 东南 | 简装,中楼层(共7层)  1998年建板塔结合  -,
鼎太风华七期 温馨两房 前后看花园安静,单价74295元/平米,500,| 2室1厅 | 67.3平米 | 北 | 简装,中楼层(共11层)  2008年建板塔结合  -,
阳光花地苑 1居室 朝南 满五且唯一,单价71536元/平米,288,| 1室1厅 | 40.26平米 | 南 | 其他,中楼层(共27层)  板塔结合  -,
大陆庄园2房出售，安静花园小区无双税！,单价62500元/平米,350,| 1室2厅 | 56平米 | 东北 | 精装,高楼层(共16层)  2001年建板塔结合  -,
榆园小区 学位房 东西通,单价58888元/平米,540,| 3室2厅 | 91.7平米 | 东 西 | 简装,高楼层(共7层)  1997年建板塔结合  -,
蛇口统建楼 南北通透三房 中间楼层 满两年,单价54456元/平米,550,| 3室1厅 | 101平米 | 南 | 精装,中楼层(共8层)  板塔结合  -,
石云阁 南北三房 满五唯一 看房随时,单价52885元/平米,550,| 3室2厅 | 104平米 | 南 | 其他,中楼层(共8层)    -,
鼎太风华七期紧邻前海自贸区带双实验学位,单价77618元/平米,550,| 2室1厅 | 70.86平米 | 东南 | 简装,中楼层(共11层)  2008年建板塔结合  -,
兰溪谷国际公寓 单价低 满五年 业主诚售,单价81945元/平米,590,| 1室2厅 | 72平米 | 南 北 | 精装,低楼层(共31层)  2011年建塔楼  -,
金色海琴苑 经典三房户型 满五唯一 业主诚售,单价65910元/平米,580,| 3室2厅 | 88平米 | 东北 | 精装,低楼层(共18层)  2005年建板塔结合  -,
百富大厦精装1房带阳台 产权满5年紧邻来福士广场,单价64474元/平米,245,| 1室1厅 | 38平米 | 东南 | 精装,中楼层(共24层)  2004年建板塔结合  -,
满五年唯一红本在手，居家装修3+1房，星海名城二期,单价62091元/平米,720,| 3室2厅 | 115.96平米 | 西南 | 简装,低楼层(共16层)  2002年建板塔结合  -,
万豪月半山 精装三房  赠送20平,单价80000元/平米,360,| 2室2厅 | 45平米 | 南 | 精装,中楼层(共17层)  2011年建塔楼  -,
南山中心南光花园大两房紧邻来福士商圈,单价52565元/平米,410,| 2室1厅 | 78平米 | 东南 | 其他,中楼层(共8层)  1994年建板楼  -,
蛇口源华综合楼：红本在手，有学位,单价61446元/平米,510,| 3室2厅 | 83平米 | 东南 | 简装,中楼层(共8层)  1996年建板塔结合  -,
汇宾广场 南山脚下环境好 满五年,单价53734元/平米,403,| 2室2厅 | 75平米 | 北 | 精装,低楼层(共32层)  2002年建板塔结合  -,
世纪假日广场小户型，精装修，地铁口，好房,单价71933元/平米,326,| 1室1厅 | 45.32平米 | 东 | 精装,中楼层(共34层)  2009年建板塔结合  -,
海湾花园 通透三房 满五唯一,单价59323元/平米,700,| 3室1厅 | 118平米 | 南 | 精装,低楼层(共6层)  1986年建板塔结合  -,
缘来居 正南两居 低楼层 免税,单价53847元/平米,420,| 2室1厅 | 78平米 | 南 | 精装,低楼层(共15层)  2006年建板塔结合  -,
翠薇园 满五唯一  南北通透 看房方便,单价68377元/平米,400,| 2室1厅 | 58.5平米 | 南 北 | 精装,高楼层(共7层)  1991年建板楼  -,
