name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
金宇花园 南北对流 格局方正 低楼层,单价15493元/平米,110,| 2室1厅 | 71平米 | 南 | 简装,低楼层(共9层)  1996年建塔楼  -,
文昌南路 实用三房 地段好,单价16130元/平米,100,| 3室1厅 | 62平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
茶滘新村 地铁沿线 入读名校 成熟小区,单价14493元/平米,100,| 3室1厅 | 69平米 | 南 | 其他,高楼层(共8层)  1985年建塔楼  -,
龙津西路 南向 实用三房间隔 证够二年,单价16837元/平米,165,| 3室1厅 | 98平米 | 南 | 其他,高楼层(共9层)  1999年建塔楼  -,
实用温馨单位 配套完善,单价13815元/平米,100,| 2室1厅 | 72.39平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
老西关地段 实用三房 价钱笋,单价22143元/平米,77.5,| 1室1厅 | 35平米 | 北 | 其他,中楼层(共9层)  塔楼  -,
贵贤上品 西关地头 楼龄新净 高层单位,单价18572元/平米,130,| 1室0厅 | 70平米 | 东 | 其他,高楼层(共35层)  2013年建塔楼  -,
实用两房 可改3房 带小平台 近地铁,单价17544元/平米,100,| 2室2厅 | 57平米 | 东南 | 其他,低楼层(共7层)  1990年建塔楼  -,
荔港南湾 刚需两房 名校学位,单价25975元/平米,200,| 2室2厅 | 77平米 | 南 | 简装,中楼层(共25层)  1999年建塔楼  -,
陆居路 精装修两房 精装修 望珠江,单价17648元/平米,120,| 2室1厅 | 68平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
荔港南湾A区 3室2厅 245万,单价23114元/平米,245,| 3室2厅 | 106平米 | 东南 | 其他,高楼层(共25层)  1999年建塔楼  -,
富力环市西苑大三房 北向望花园,单价35000元/平米,322,| 3室2厅 | 92平米 | 东北 | 其他,高楼层(共14层)  2000年建塔楼  -,
万科柏悦湾 南向望花园 市场罕见户型,单价28805元/平米,265,| 3室2厅 | 92平米 | 西南 | 精装,中楼层(共23层)  2010年建塔楼  -,
鸿图苑 精装两房 证够五年 交通便捷,单价20485元/平米,120,| 2室1厅 | 58.58平米 | 南 | 简装,低楼层(共9层)  1995年建塔楼  -,
桥东万和苑 电梯两房77方 中靓楼层,单价20780元/平米,160,| 2室2厅 | 77平米 | 北 | 其他,低楼层(共12层)  2000年建塔楼  -,
金奴大厦 楼龄新 大两房 采光足,单价19231元/平米,125,| 2室1厅 | 65平米 | 南 | 简装,高楼层(共9层)  1996年建塔楼  -,
南岸路 高层东南向实用两房,单价17362元/平米,125,| 2室1厅 | 72平米 | 南 | 其他,高楼层(共9层)  1988年建塔楼  -,
中铁荔湾国际城 南向两房 中层电梯,单价24391元/平米,200,| 2室2厅 | 82平米 | 南 | 其他,中楼层(共32层)  2015年建塔楼  -,
西湾苑 地铁西村站 协和学位精选,单价16366元/平米,170,| 3室2厅 | 103.88平米 | 东 | 其他,中楼层(共9层)  1980年建塔楼  -,
珠岛花园 一房一厅 东向看花园,单价13637元/平米,60,| 1室1厅 | 44平米 | 东 | 其他,高楼层(共9层)  1995年建塔楼  -,
伟腾阁 通风采光好 周遍配套完善,单价11806元/平米,85,| 2室1厅 | 72平米 | 南 | 其他,高楼层(共10层)  1997年建塔楼  -,
红棉苑北区 地铁沿线 电梯洋房 入读名校,单价26761元/平米,190,| 2室1厅 | 71平米 | 西南 | 其他,高楼层(共11层)  2000年建塔楼  -,
桨栏路小区 低总价四室 通风光猛,单价15069元/平米,110,| 4室1厅 | 73平米 | 东南 | 其他,高楼层(共8层)  塔楼  -,
荔湾广场 荔泰阁 临近上下九步行街,单价16843元/平米,160,| 3室1厅 | 95平米 | 暂无数据 | 其他,低楼层(共30层)  2000年建塔楼  -,
茶景阁 交通方便 配套完善,单价10906元/平米,112,| 3室2厅 | 102.7平米 | 西 | 毛坯,高楼层(共9层)  1998年建塔楼  -,
汇城花园 复式4房 清水装修 自由做主,单价17334元/平米,260,| 4室2厅 | 150平米 | 东南 | 其他,高楼层(共6层)  2000年建塔楼  -,
宝华豪庭 高楼层才光好 及精装修,单价36112元/平米,130,| 1室0厅 | 36平米 | 西 | 简装,高楼层(共31层)  2000年建塔楼  -,
半电梯楼 实用两房 交通便利,单价16072元/平米,135,| 2室1厅 | 84平米 | 北 | 其他,高楼层(共9层)  塔楼  -,
华业里 低楼层实用3房 一手房改房,单价29546元/平米,130,| 3室1厅 | 44平米 | 北 | 其他,低楼层(共6层)  塔楼  -,
周门街小区 中层物业 南北对流,单价17705元/平米,108,| 2室2厅 | 61平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
荔枝湾上盖 全明屋 龙津学位房 西南靓向,单价29057元/平米,308,| 3室2厅 | 106平米 | 西南 | 其他,高楼层(共24层)  1998年建塔楼  -,
房改精选 实用面积多 方正两房,单价13013元/平米,108,| 2室2厅 | 83平米 | 东南 | 简装,高楼层(共9层)  1997年建塔楼  -,
知道园小区 地铁上盖 生活便利 格式方正,单价15625元/平米,100,| 2室1厅 | 64平米 | 南 | 其他,中楼层(共6层)  1999年建塔楼  -,
珠岛花园 一房一厅 通风采光非常好,单价16868元/平米,70,| 1室1厅 | 41.5平米 | 西北 | 其他,高楼层(共9层)  1995年建塔楼  -,
和平新村低层大三房 带学位 采光好,单价23685元/平米,180,| 3室1厅 | 76平米 | 南 | 其他,低楼层(共9层)  1998年建塔楼  -,
路劲隽泷湾 精致两房 正望花园 免重税修,单价25000元/平米,200,| 2室1厅 | 80平米 | 南 | 其他,高楼层(共16层)  2013年建塔楼  -,
名汇大厦 黄金地段 商业繁华 格局合理,单价27263元/平米,238,| 2室2厅 | 87.3平米 | 西 | 其他,中楼层(共32层)  2002年建塔楼  -,
厚福苑 近地铁 乐贤坊小学学位,单价29412元/平米,180,| 2室1厅 | 61.2平米 | 南 | 其他,中楼层(共9层)  1998年建塔楼  -,
西堤二马路 电梯两房 地铁上盖,单价34723元/平米,250,| 3室1厅 | 72平米 | 北 | 精装,高楼层(共16层)  塔楼  -,
宝华豪庭 精装电梯3房 南向 通透采光好,单价30000元/平米,270,| 3室2厅 | 90平米 | 南 | 精装,中楼层(共31层)  2000年建塔楼  -,
文辰阁电梯原装2房 精致装修 证够2年,单价19231元/平米,150,| 2室1厅 | 78平米 | 南 | 其他,中楼层(共11层)  2004年建塔楼  -,
入读省级名校 乐贤坊小学 孩子学习的更好,单价17392元/平米,80,| 2室1厅 | 46平米 | 西 | 简装,高楼层(共6层)  塔楼  -,
荔景华庭 明亮三居 东南靓向,单价23864元/平米,210,| 3室2厅 | 88平米 | 东南 | 其他,中楼层(共15层)  2011年建塔楼  -,
位于荔湾区宝华路,单价28314元/平米,235,| 2室2厅 | 83平米 | 南 | 其他,高楼层(共26层)  2003年建塔楼  -,
桥中花园 海运阁，经济实惠两房,单价11700元/平米,42,| 2室1厅 | 35.9平米 | 北 | 其他,高楼层(共9层)  2000年建塔楼  -,
龙津西路简装大三房交通便利配套齐全,单价16794元/平米,150,| 3室2厅 | 89.32平米 | 暂无数据 | 其他,高楼层(共9层)  塔楼  -,
东鹏花园 5分钟地铁生活圈 置业必选,单价21312元/平米,130,| 2室1厅 | 61平米 | 暂无数据 | 简装,低楼层(共6层)  塔楼  -,
荔港南湾 高层望花园 位置安静 居住舒适,单价22059元/平米,225,| 4室2厅 | 102平米 | 南 | 其他,高楼层(共28层)  2008年建塔楼  -,
保利塞纳维拉 高级住宅小区 环境优美,单价18422元/平米,175,| 3室1厅 | 95平米 | 北 | 其他,低楼层(共18层)  2015年建塔楼  -,
满堂红链家 格局方正 地铁一号线,单价15358元/平米,86,| 2室1厅 | 56平米 | 暂无数据 | 其他,中楼层(共6层)  1999年建塔楼  -,
珠岛花园 实用一房 南向采光好,单价14286元/平米,50,| 1室1厅 | 35平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
业主诚心出售 实用三房,单价18889元/平米,153,| 3室1厅 | 81平米 | 东北 | 其他,低楼层(共20层)  塔楼  -,
芳村花园 实用两房 地铁沿线 读重点小学,单价19880元/平米,165,| 2室1厅 | 83平米 | 西北 | 简装,中楼层(共28层)  1999年建塔楼  -,
万科柏悦湾 南北对流 实用三室 高层采光,单价29788元/平米,280,| 3室2厅 | 94平米 | 北 | 其他,高楼层(共34层)  2005年建塔楼  -,
芳村大道西大鹏花园 电梯大三房 101方,单价18515元/平米,187,| 3室2厅 | 101平米 | 东南 | 其他,中楼层(共9层)  1999年建塔楼  -,
新世界逸彩庭园 东南向望花园 出行方便,单价24039元/平米,250,| 3室1厅 | 104平米 | 南 | 简装,低楼层(共18层)  2007年建塔楼  -,
西关老城区 生活便利 总价低,单价17124元/平米,125,| 3室1厅 | 73平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
实用三房  通风采光极佳  近地铁,单价18691元/平米,157,| 3室2厅 | 84平米 | 东北 | 其他,低楼层(共9层)  塔楼  -,
南北对流 全明屋 省一级学位 户型方正,单价36000元/平米,360,| 3室1厅 | 100平米 | 南 | 简装,高楼层(共5层)  塔楼  -,
康乃馨苑 地铁就在家门口 双南户型,单价21646元/平米,150,| 2室2厅 | 69.3平米 | 南 | 简装,中楼层(共9层)  2000年建塔楼  -,
荔港南湾 实用三房 采光通风好,单价27223元/平米,245,| 3室2厅 | 90平米 | 西北 | 其他,低楼层(共34层)  2008年建塔楼  -,
逢源轩 楼龄新 间隔肆正 全明屋修改房评,单价34811元/平米,550,| 4室2厅 | 158平米 | 南 | 其他,高楼层(共32层)  2008年建塔楼  -,
保利公园九里 全新未住 成熟配套,单价25610元/平米,210,| 2室2厅 | 82平米 | 西南 | 其他,低楼层(共32层)  2014年建塔楼  -,
金兰苑 高层观景好房 价钱实惠 总价底,单价12069元/平米,70,| 2室1厅 | 58平米 | 西 | 其他,高楼层(共9层)  2001年建塔楼  -,
保利公园九里 低层精装两室 成熟配套,单价24147元/平米,198,| 2室1厅 | 82平米 | 东南 | 其他,低楼层(共15层)  2014年建塔楼  -,
大鹏花园 电梯式三房 带精装修 免税费,单价19091元/平米,210,| 3室2厅 | 110平米 | 南 | 精装,高楼层(共9层)  1999年建塔楼  -,
恒荔湾畔 开发商装修 带省一级学位,单价30400元/平米,228,| 2室1厅 | 75平米 | 西北 | 精装,低楼层(共31层)  2008年建塔楼  -,
白兰大厦 电梯高层三房 精装实用,单价17392元/平米,160,| 3室2厅 | 92平米 | 北 | 其他,中楼层(共22层)  2001年建塔楼  -,
金宇花园 36栋 南北对流 配套设施齐全,单价13961元/平米,38,| 1室1厅 | 27.22平米 | 东南 | 简装,高楼层(共9层)  1998年建塔楼  -,
珠岛花园 东西对流 一线江景 通风采光好,单价19659元/平米,230,| 4室2厅 | 117平米 | 东 | 简装,高楼层(共17层)  1995年建塔楼  -,
翠竹苑二期 地铁沿线 入读名校,单价22951元/平米,280,| 3室2厅 | 122平米 | 东北 | 简装,高楼层(共24层)  2007年建塔楼  -,
东浚荔景苑 入读西关外语学校 大房大厅,单价30000元/平米,336,| 3室2厅 | 112平米 | 东北 | 其他,中楼层(共37层)  1998年建塔楼  -,
新光城市广场 市心地铁上盖 证够两年,单价32143元/平米,450,| 4室2厅 | 140平米 | 西北 | 精装,中楼层(共31层)  2003年建塔楼  -,
罕有三房南向户型 带主套 户型好,单价23838元/平米,205,| 3室2厅 | 86平米 | 东北 | 精装,中楼层(共34层)  2008年建塔楼  -,
世纪广场 带省级乐贤坊学位,单价26272元/平米,310,| 3室2厅 | 118平米 | 东南 | 简装,中楼层(共33层)  1999年建塔楼  -,
珠岛花园 3房2厅 高层望江,单价20482元/平米,170,| 3室2厅 | 83平米 | 西北 | 其他,高楼层(共23层)  1999年建塔楼  -,
双地铁金道花园高层电梯大三房业主放卖,单价16667元/平米,170,| 3室2厅 | 102平米 | 西北 | 简装,高楼层(共22层)  2000年建塔楼  -,
荔港南湾 精致三房 厅出阳台,单价24000元/平米,240,| 3室2厅 | 100平米 | 北 | 其他,高楼层(共28层)  2008年建塔楼  -,
豆腐亩三房笋价出售,单价21053元/平米,160,| 3室1厅 | 76平米 | 暂无数据 | 其他,低楼层(共9层)  塔楼  -,
乐怡居 地铁上盖 地铁洋房小区配套停车场,单价17812元/平米,203,| 2室2厅 | 113.97平米 | 东南 | 精装,中楼层(共35层)  1996年建塔楼  -,
文辰阁 近地铁 精选电梯小三房 随时看,单价18902元/平米,172,| 3室2厅 | 91平米 | 北 | 毛坯,高楼层(共11层)  2004年建塔楼  -,
新世界逸彩庭园 地铁5号线 全新未入住,单价27369元/平米,312,| 3室2厅 | 114平米 | 西 | 精装,高楼层(共21层)  2007年建塔楼  -,
珠岛花园 电梯江景三房 豪华复式 急售,单价17949元/平米,210,| 3室2厅 | 117平米 | 东 | 其他,中楼层(共17层)  1995年建塔楼  -,
保利公园九里 电梯高层精装三室 成熟配套,单价23685元/平米,225,| 3室2厅 | 95平米 | 暂无数据 | 其他,高楼层(共32层)  2014年建塔楼  -,
金兰苑 电梯三房 配套完善 交通便利,单价16040元/平米,162,| 3室2厅 | 101平米 | 东北 | 其他,高楼层(共22层)  2001年建塔楼  -,
贵贤上品 超值三房 东南靓向 间隔实用,单价44000元/平米,400.4,| 3室2厅 | 91平米 | 南 | 简装,高楼层(共32层)  2013年建塔楼  -,
金兰大厦  地铁沿线  电梯高层,单价16832元/平米,170,| 3室2厅 | 101平米 | 南 | 其他,高楼层(共22层)  2001年建塔楼  -,
龙津商贸大厦 学区房 入读名校,单价24343元/平米,185,| 2室2厅 | 76平米 | 西北 | 简装,中楼层(共25层)  2000年建塔楼  -,
新世界逸彩庭园 地铁5号线 东南靓向,单价20513元/平米,320,| 4室2厅 | 156平米 | 东南 | 精装,高楼层(共18层)  2007年建塔楼  -,
荔江美筑 家的感觉 爱的体验 梦的追求,单价26230元/平米,240,| 3室2厅 | 91.5平米 | 北 | 精装,低楼层(共14层)  2005年建塔楼  -,
正规3房  诚心出售,单价22772元/平米,189,| 3室2厅 | 83平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
文昌南 东南西三面单边 实用两房,单价20162元/平米,125,| 2室1厅 | 62平米 | 东南 | 其他,高楼层(共5层)  塔楼  -,
金宇花园 中层小户型单位 实用温馨,单价15210元/平米,48,| 1室1厅 | 31.56平米 | 南 | 其他,中楼层(共9层)  1996年建塔楼  -,
芳村大道东 两房两厅 精装修保养好 格局,单价12364元/平米,85,| 2室1厅 | 68.75平米 | 东 | 其他,高楼层(共8层)  塔楼  -,
周门小区 实用一房间隔 证够二年,单价18889元/平米,85,| 1室1厅 | 45平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
桃源小区中层三房 通风光猛 厅出阳台,单价24001元/平米,194.33,| 3室2厅 | 80.97平米 | 西南 | 简装,中楼层(共9层)  1991年建塔楼  -,
新世界逸彩庭园 东南靓向望园景花园,单价25375元/平米,203,| 3室2厅 | 80平米 | 东南 | 简装,中楼层(共7层)  2007年建塔楼  -,
中市珠园 格局方正 步行地铁8分钟,单价10880元/平米,80,| 3室1厅 | 73.53平米 | 北 | 其他,中楼层(共4层)  塔楼  -,
金道花园 广钢新城旁 双地铁 交通方便,单价18056元/平米,130,| 2室2厅 | 72平米 | 东南 | 其他,低楼层(共9层)  塔楼  -,
万兴苑 房改精品 实用两房,单价16830元/平米,138,| 2室1厅 | 82平米 | 东南 | 其他,中楼层(共9层)  2000年建塔楼  -,
芳村花园 实用两房 地铁沿线 读重点小学,单价20834元/平米,200,| 2室1厅 | 96平米 | 南 | 其他,低楼层(共28层)  1999年建塔楼  -,
芳泰花园 小户型 低层单位 安静舒适,单价18140元/平米,78,| 1室1厅 | 43平米 | 南 | 简装,中楼层(共9层)  1995年建塔楼  -,
兰兴苑 一梯四户 中高层东南靓向 近公园,单价17055元/平米,85,| 1室1厅 | 49.84平米 | 南 | 其他,中楼层(共9层)  1990年建塔楼  -,
龙湾广场 间隔实用 地铁沿线,单价15000元/平米,105,| 3室1厅 | 70平米 | 东北 | 简装,高楼层(共6层)  1999年建塔楼  -,
荔港南湾 厅出大阳台 采光通风好,单价22303元/平米,310,| 3室2厅 | 139平米 | 西 | 其他,中楼层(共28层)  2008年建塔楼  -,
本套房子间隔方正实用 采光好 管理完善,单价11207元/平米,65,| 2室1厅 | 58平米 | 西 | 其他,中楼层(共9层)  塔楼  -,
交通便利 间隔实用 光线一流,单价16550元/平米,129,| 2室2厅 | 77.95平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
荔情居 2室1厅 210万,单价33334元/平米,210,| 2室1厅 | 63平米 | 北 | 简装,低楼层(共22层)  2004年建塔楼  -,
荔尚国际 高端住宅 地铁上盖 证够两年,单价31542元/平米,220,| 2室1厅 | 69.75平米 | 北 | 其他,中楼层(共17层)  2008年建塔楼  -,
周门小区 东南向单边 方正三房过五不唯一,单价22353元/平米,190,| 3室1厅 | 85平米 | 东南 | 其他,低楼层(共9层)  1998年建塔楼  -,
宏天楼 精致一房 地铁沿线,单价17242元/平米,70,| 1室1厅 | 40.6平米 | 南 | 其他,高楼层(共9层)  2000年建塔楼  -,
信联路 洲头咀隧道 公安房改 中层两房,单价17742元/平米,110,| 2室1厅 | 62平米 | 东北 | 其他,中楼层(共9层)  塔楼  -,
桥东小区 超值两房 刚需首选,单价17199元/平米,76,| 2室1厅 | 44.19平米 | 东北 | 其他,中楼层(共9层)  1995年建塔楼  -,
和平西路 低层两房 配套完善,单价16778元/平米,58,| 2室1厅 | 34.57平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
纯正两房 厅出阳台 南北对流,单价14364元/平米,79,| 2室1厅 | 55平米 | 北 | 其他,高楼层(共9层)  1996年建塔楼  -,
东安苑 三房两厅  布局大方,单价13810元/平米,145,| 3室2厅 | 105平米 | 南 | 简装,中楼层(共9层)  1995年建塔楼  -,
珠岛花园 一房一厅 过5唯一,单价16667元/平米,75,| 1室1厅 | 45平米 | 西 | 精装,低楼层(共9层)  1995年建塔楼  -,
正规一房一厅 东南靓向,单价30345元/平米,88,| 1室1厅 | 29平米 | 东南 | 其他,中楼层(共15层)  2011年建塔楼  -,
金道花园 方正一房一厅 带装修 即买即住,单价18287元/平米,76,| 1室1厅 | 41.56平米 | 北 | 精装,低楼层(共9层)  2000年建塔楼  -,
中山八路核心商圈实用两房,单价17778元/平米,80,| 2室1厅 | 45平米 | 南 | 简装,高楼层(共6层)  塔楼  -,
荔尚国际 正规两房,单价33334元/平米,250,| 2室1厅 | 75平米 | 北 | 其他,中楼层(共17层)  2008年建塔楼  -,
教师新村 高层大两房 南向采光好,单价11310元/平米,95,| 2室1厅 | 84平米 | 南 | 其他,高楼层(共9层)  1998年建塔楼  -,
鹤翔里 大院管理 中层两房 临近地铁,单价16936元/平米,105,| 2室1厅 | 62平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
万科金色荔苑 新领域 临近地铁,单价23256元/平米,100,| 1室0厅 | 43平米 | 北 | 其他,高楼层(共32层)  2006年建塔楼  -,
电梯两房可改三房 方正实用 送平台花园,单价19872元/平米,155,| 2室2厅 | 78平米 | 北 | 其他,低楼层(共10层)  1997年建塔楼  -,
龙津东路 独栋私房 两层半超高实用,单价20696元/平米,238,| 6室2厅 | 115平米 | 南 | 其他,低楼层(共1层)  塔楼  -,
乐怡居 花地湾地铁站旁边 精装电梯两房,单价18702元/平米,125,| 2室2厅 | 66.84平米 | 西北 | 其他,低楼层(共31层)  1996年建塔楼  -,
芳村大道 大鹏花园 电梯3房,单价19864元/平米,145,| 3室1厅 | 73平米 | 南 | 简装,中楼层(共10层)  1999年建塔楼  -,
东安苑 三房两厅 布局大方,单价11905元/平米,125,| 3室2厅 | 105平米 | 东南 | 简装,高楼层(共9层)  1995年建塔楼  -,
芳丽苑 省级学位 地铁上盖 交通方便,单价18073元/平米,150,| 2室1厅 | 83平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
芳泰花园 高层二房 间隔方正,单价12400元/平米,62,| 2室1厅 | 50平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
和平西路方正两房单位 交通方便,单价17982元/平米,98,| 2室1厅 | 54.5平米 | 西北 | 其他,高楼层(共8层)  塔楼  -,
桥东小区 五芳苑 三房两厅,单价11729元/平米,95,| 4室2厅 | 81平米 | 东南 | 其他,高楼层(共9层)  2000年建塔楼  -,
世纪广场 地铁沿线上盖 精装三房,单价30000元/平米,508.53,| 3室2厅 | 169.51平米 | 南 | 精装,高楼层(共28层)  1999年建塔楼  -,
怡康苑 地铁上盖电梯房 南北对流 好户型,单价19102元/平米,170,| 2室1厅 | 89平米 | 东南 | 其他,中楼层(共30层)  2000年建塔楼  -,
城启十三行 间隔方正 交通便利 置业首选,单价27185元/平米,280,| 3室1厅 | 103平米 | 北 | 其他,高楼层(共25层)  2000年建塔楼  -,
出售 121万 电梯 黄金地段,单价24539元/平米,121,| 1室0厅 | 49.31平米 | 西 | 其他,高楼层(共15层)  2011年建塔楼  -,
华丽苑  正规两房 配套完善,单价14706元/平米,100,| 2室1厅 | 68平米 | 东 | 其他,中楼层(共9层)  1996年建塔楼  -,
流花路 流花湖畔 低层二楼 实用三房,单价17764元/平米,135,| 3室1厅 | 76平米 | 南 | 精装,低楼层(共7层)  塔楼  -,
金宇花园 东南向 实用一房 格局方正,单价13044元/平米,60,| 1室1厅 | 46平米 | 北 | 其他,中楼层(共9层)  1998年建塔楼  -,
珠岛花园11栋 3室2厅 150万,单价16667元/平米,150,| 3室2厅 | 90平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
周门北路 实用小二房 精致户型,单价13787元/平米,45,| 2室1厅 | 32.64平米 | 东 | 精装,高楼层(共9层)  1998年建塔楼  -,
安定首约 老城区配套 环境一流,单价15910元/平米,70,| 2室1厅 | 44平米 | 北 | 其他,中楼层(共7层)  塔楼  -,
万和苑 低层细积 价格实惠 老人安居首选,单价17895元/平米,68,| 1室1厅 | 38平米 | 东南 | 简装,低楼层(共9层)  2000年建塔楼  -,
桥东小区 万盛街 低层小户型高效实用,单价16618元/平米,67,| 1室1厅 | 40.32平米 | 北 | 简装,低楼层(共9层)  1995年建塔楼  -,
穗芳阁 间隔方正 总价便宜 少有放盘,单价14604元/平米,65,| 1室1厅 | 44.51平米 | 南 | 其他,高楼层(共9层)  1996年建塔楼  -,
乐怡居 地铁上盖 电梯两房 配套成熟,单价18798元/平米,172,| 2室1厅 | 91.5平米 | 西北 | 其他,中楼层(共35层)  1996年建塔楼  -,
乐怡居 地铁沿线 东南向 电梯中低层,单价21297元/平米,230,| 3室2厅 | 108平米 | 东南 | 简装,低楼层(共31层)  1996年建塔楼  -,
逸彩庭园 地铁上盖 封闭小区 实用3房,单价25455元/平米,280,| 3室1厅 | 110平米 | 西南 | 精装,高楼层(共18层)  2007年建塔楼  -,
贵贤上品 楼龄新 带省一级学位 地铁上盖,单价43649元/平米,670,| 4室2厅 | 153.5平米 | 南 | 精装,低楼层(共32层)  2013年建塔楼  -,
东浚荔景苑 实用三房两厅,单价23009元/平米,260,| 3室2厅 | 113平米 | 东南 | 简装,高楼层(共43层)  1998年建塔楼  -,
珠岛花园 高层电梯 实用四房,单价22858元/平米,240,| 4室2厅 | 105平米 | 东 | 其他,中楼层(共23层)  1999年建塔楼  -,
汇城花园 园景单位 证够五年 方正实用,单价17334元/平米,130,| 2室1厅 | 75平米 | 北 | 其他,高楼层(共6层)  2000年建塔楼  -,
恒荔湾畔 无敌一线江景 近地铁 省级学位,单价30631元/平米,680,| 7室2厅 | 222平米 | 东北 | 毛坯,高楼层(共31层)  2008年建塔楼  -,
文昌南路宝华南 两房一厅 精装修保养好,单价22259元/平米,138,| 2室1厅 | 62平米 | 南 | 其他,中楼层(共5层)  塔楼  -,
隽泷湾 东北向望花 正规实用大房 精装修,单价22968元/平米,209,| 2室2厅 | 91平米 | 东北 | 其他,中楼层(共13层)  2013年建塔楼  -,
光复北路桃园小区 精装实用大两房可改三房,单价21941元/平米,180,| 2室2厅 | 82.04平米 | 西北 | 其他,中楼层(共9层)  1991年建塔楼  -,
广雅路小区 精致两房 带学位 交通配套完,单价15630元/平米,115,| 2室2厅 | 73.58平米 | 东南 | 其他,高楼层(共8层)  塔楼  -,
桥东大厦 间隔方正 朝向一流,单价19322元/平米,160,| 2室1厅 | 82.81平米 | 东北 | 其他,高楼层(共23层)  1996年建塔楼  -,
荔湾路 实用大三房 配套成熟 出行方便,单价18948元/平米,180,| 3室2厅 | 95平米 | 南 | 其他,中楼层(共8层)  2000年建塔楼  -,
大同路精致一房 投资笋盘,单价24781元/平米,82,| 1室1厅 | 33.09平米 | 南 | 简装,低楼层(共6层)  塔楼  -,
交通方便 间隔方正 实用两房 地铁上盖,单价11725元/平米,68,| 2室1厅 | 58平米 | 东 | 精装,高楼层(共9层)  1988年建塔楼  -,
中山七路低层豪装两房即住,单价25272元/平米,128,| 2室1厅 | 50.65平米 | 西南 | 毛坯,中楼层(共8层)  塔楼  -,
黄沙大道 对流通风佳 户型方正 空间感强,单价24781元/平米,200,| 2室1厅 | 80.71平米 | 东北 | 简装,高楼层(共28层)  塔楼  -,
芳村大道西 中层实用三房 新婚首选 免税,单价15663元/平米,130,| 3室2厅 | 83平米 | 暂无数据 | 其他,高楼层(共9层)  1988年建塔楼  -,
证过5年 成熟社区 交通便利,单价17797元/平米,210,| 3室2厅 | 118平米 | 东南 | 简装,中楼层(共22层)  2001年建塔楼  -,
丛桂新街 临近地铁 实用两房 南北通透,单价21455元/平米,118,| 2室1厅 | 55平米 | 西南 | 其他,中楼层(共9层)  塔楼  -,
富力广场 实用四房 双阳台东南向,单价32000元/平米,560,| 4室2厅 | 175平米 | 东南 | 精装,高楼层(共23层)  2005年建塔楼  -,
芳园居 精装3+1 满5唯一 省级学位,单价14829元/平米,124,| 3室2厅 | 83.62平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
小康人家 精装大2房 南北对流 花园,单价20787元/平米,185,| 2室2厅 | 89平米 | 暂无数据 | 其他,低楼层(共18层)  2002年建塔楼  -,
实用温馨单位 配套完善,单价36087元/平米,415,| 3室1厅 | 115平米 | 东南 | 其他,低楼层(共27层)  2007年建塔楼  -,
珠岛花园 南北对流 实用四房 随时约睇,单价20371元/平米,220,| 3室2厅 | 108平米 | 北 | 精装,低楼层(共23层)  1999年建塔楼  -,
龙湾广场 地铁上盖 厅大气派,单价15437元/平米,230,| 4室2厅 | 149平米 | 暂无数据 | 其他,高楼层(共15层)  1999年建塔楼  -,
万科柏悦湾 南向实用三房 通风采光好,单价29082元/平米,285,| 3室2厅 | 98平米 | 南 | 其他,中楼层(共18层)  2010年建塔楼  -,
黄沙大道 精装两房 地铁沿线上盖,单价15863元/平米,92,| 2室1厅 | 58平米 | 东南 | 其他,中楼层(共7层)  塔楼  -,
万科柏悦湾 两室两厅 户型方正实用 南北,单价35000元/平米,280,| 2室2厅 | 80平米 | 暂无数据 | 其他,高楼层(共34层)  2005年建塔楼  -,
粤电花园 大院管理 南向望花园,单价20834元/平米,150,| 2室2厅 | 72平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
周门小区 高层一房一厅 格局方正,单价15264元/平米,58,| 1室1厅 | 38平米 | 南 | 毛坯,高楼层(共9层)  1998年建塔楼  -,
温馨时尚 两房一厅实用房,单价16863元/平米,86,| 2室1厅 | 51平米 | 东北 | 简装,中楼层(共7层)  塔楼  -,
万科柏悦湾 南向三房 通风采光好,单价32489元/平米,295,| 3室2厅 | 90.8平米 | 西南 | 其他,中楼层(共23层)  2010年建塔楼  -,
路劲隽泷湾 精致三房 正望花园 免重税,单价27778元/平米,250,| 3室2厅 | 90平米 | 东南 | 其他,高楼层(共15层)  2013年建塔楼  -,
