name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
苏堤东里  私产满五唯一  南北通透  采光好,单价23826元/平米,173,| 2室1厅 | 72.61平米 | 南 北 | 简装,高楼层(共6层)  1996年建板楼  -,
彩虹花园 超大两室 采光好 无噪音 价位合适,单价22223元/平米,370,| 2室1厅 | 166.5平米 | 南 北 | 简装,中楼层(共9层)  1999年建板楼  -,
聚英里两室小户型 南开中心小学学区房 稀缺,单价32507元/平米,190,| 2室1厅 | 58.45平米 | 南 北 | 精装,中楼层(共7层)  1980年建板楼  -,
龙富园 南北通透两居室 采光好 诚心出售,单价26926元/平米,280,| 2室1厅 | 103.99平米 | 南 北 | 精装,低楼层(共7层)  1999年建板楼  -,
程华里 中心位置H户型三室 赠送100平米阁楼,单价23283元/平米,305,| 3室2厅 | 131平米 | 南 北 | 其他,高楼层(共6层)  2002年建板楼  -,
光湖里 2室1厅 215万,单价32700元/平米,215,| 2室1厅 | 65.75平米 | 南 北 | 其他,中楼层(共6层)  1986年建板楼  -,
川北里 2室1厅 170万,单价21602元/平米,170,| 2室1厅 | 78.7平米 | 南 北 | 其他,高楼层(共6层)  1996年建板楼  -,
莲安里 2室1厅 270万,单价28261元/平米,270,| 2室1厅 | 95.54平米 | 南 北 | 其他,中楼层(共6层)  1999年建板楼  -,
长华里 3室1厅 315万,单价31579元/平米,315,| 3室1厅 | 99.75平米 | 南 | 其他,低楼层(共6层)  1999年建板楼  -,
富力城天康园 2室2厅 560万,单价51466元/平米,560,| 2室2厅 | 108.81平米 | 南 北 | 其他,低楼层(共32层)  2008年建板楼  -,
风荷新园 3室2厅 595万,单价39720元/平米,595,| 3室2厅 | 149.8平米 | 南 北 | 其他,低楼层(共7层)  2003年建板楼  -,
地华里 2室1厅 288万,单价30304元/平米,288,| 2室1厅 | 95.04平米 | 南 北 | 其他,低楼层(共6层)  1999年建板楼  -,
龙亭家园 2室2厅 445万,单价50569元/平米,445,| 2室2厅 | 88平米 | 西南 | 其他,低楼层(共26层)  2008年建板楼  -,
燕园里 2室1厅 173万,单价28834元/平米,173,| 2室1厅 | 60平米 | 南 北 | 其他,高楼层(共6层)  1997年建板楼  -,
水上观景豪宅，黄金楼层,直观水上公园！,单价39544元/平米,600,| 3室2厅 | 151.73平米 | 南 西 北 | 精装,高楼层(共11层)  2000年建板楼  -,
鹤园南里 2室1厅 110万,单价19643元/平米,110,| 2室1厅 | 56平米 | 南 北 | 其他,高楼层(共6层)  1995年建板楼  -,
红磡公寓 带电梯 经典跃层 南北通透,单价25522元/平米,450,| 2室3厅 | 176.32平米 | 南 北 | 其他,中楼层(共18层)  2001年建板楼  -,
馨达园 私产过两年 采光好 东南金角,单价24050元/平米,525,| 4室2厅 | 218.3平米 | 东南 | 其他,高楼层(共9层)  2000年建板楼  -,
麦迪逊 黄金复式  婚房装修 上下复式,单价33084元/平米,300,| 3室2厅 | 90.68平米 | 南 北 | 简装,低楼层(共18层)  2005年建板楼  -,
凤翔里 3室0厅 185万,单价36247元/平米,185,| 3室0厅 | 51.04平米 | 东 西 | 其他,高楼层(共6层)  1987年建板楼  -,
翠湖温泉 精装修 南北通透 中间楼层,单价29269元/平米,600,| 3室2厅 | 205平米 | 南 北 | 其他,中楼层(共20层)  2000年建板楼  -,
瑞丽园 南北通透格局 小区中心位置,单价25140元/平米,450,| 4室1厅 | 179平米 | 南 北 | 其他,高楼层(共5层)  2004年建板楼  -,
迎水东里 南北通透 交通便利 周边设施完善,单价21460元/平米,125,| 2室1厅 | 58.25平米 | 南 北 | 其他,高楼层(共6层)  1983年建板楼  -,
安华里 2室1厅 235万,单价34237元/平米,235,| 2室1厅 | 68.64平米 | 南 北 | 其他,高楼层(共6层)  1997年建板楼  -,
金环里 1室1厅 135万,单价28440元/平米,135,| 1室1厅 | 47.47平米 | 南 | 精装,低楼层(共6层)  1996年建板楼  -,
颂禹里 3室1厅 255万,单价27592元/平米,255,| 3室1厅 | 92.42平米 | 东南 | 其他,高楼层(共6层)  1992年建板楼  -,
锋泛国际 2室1厅 280万,单价26815元/平米,280,| 2室1厅 | 104.42平米 | 东 南 | 其他,高楼层(共18层)  2006年建板楼  -,
莲安里 2室1厅 245万,单价28787元/平米,245,| 2室1厅 | 85.11平米 | 南 北 | 其他,中楼层(共6层)  1999年建板楼  -,
华宁南里 3室1厅 185万,单价23658元/平米,185,| 3室1厅 | 78.2平米 | 南 北 | 其他,低楼层(共8层)  1982年建板楼  -,
时代奥城 正规三室 黄金地段 出行方便,单价28667元/平米,430,| 4室2厅 | 150平米 | 南 北 | 精装,高楼层(共24层)  2005年建板楼  -,
欣苑公寓 带车库车位 地铁房 改善 水上小学,单价27693元/平米,720,| 3室3厅 | 260平米 | 东 南 北 | 精装,低楼层(共5层)  2000年建板楼  -,
书香园 临地铁 学区改善房 精装修 满五年,单价34712元/平米,660,| 3室3厅 | 190.14平米 | 南 北 | 其他,高楼层(共13层)  2001年建板楼  -,
时代奥城 绝版豪宅 送地下室 一楼带院！,单价51619元/平米,1000,| 4室2厅 | 193.73平米 | 南 北 | 其他,低楼层(共27层)  2005年建板楼  -,
晨熙公寓  阳光充足 出行交通便利 黄金地段,单价32920元/平米,530,| 3室2厅 | 161平米 | 东南 | 其他,低楼层(共6层)  2000年建板楼  -,
盛津园 独栋别墅 奢华尊贵 拎包入住 带车位,单价49123元/平米,2800,| 9室3厅 | 570平米 | 南 北 | 精装,低楼层(共1层)  2007年建板楼  -,
翠薇园 水上品质小区 正规3室 有车位,单价35857元/平米,540,| 3室2厅 | 150.6平米 | 南 北 | 其他,低楼层(共8层)  2000年建板楼  -,
儒园公寓 顶楼跃层 采光好 南北通透 小高层,单价35533元/平米,780,| 4室2厅 | 219.52平米 | 南 北 | 其他,低楼层(共3层)  2000年建板楼  -,
招商钻石山 精装四室 环境优美 居住舒适,单价36112元/平米,650,| 3室2厅 | 180平米 | 南 北 | 其他,中楼层(共42层)  2014年建板楼  -,
钻石山 三期大户型  采光不错,单价28213元/平米,700,| 4室2厅 | 248.12平米 | 南 北 | 其他,高楼层(共42层)  2014年建板楼  -,
仁爱好景 大产权 可居住可办公 适合投资,单价32189元/平米,750,| 5室3厅 | 233平米 | 南 北 | 其他,低楼层(共3层)  2006年建  -,
欣苑公寓 小区配套成熟 出行便利 少有户型,单价18434元/平米,400,| 2室2厅 | 217平米 | 南 北 | 其他,中楼层(共7层)  2000年建板楼  -,
时代奥城 送200平小院 南北通透 免装修,单价43353元/平米,750,| 4室3厅 | 173平米 | 南 北 | 简装,低楼层(共24层)  2005年建板楼  -,
龙亭家园公寓 高楼层 精装修 视野开阔,单价23972元/平米,338,| 5室2厅 | 141平米 | 西南 | 精装,高楼层(共20层)  2008年建塔楼  -,
宝龙湾家园满五唯一重点学区交通方便,单价39900元/平米,285,| 1室1厅 | 71.43平米 | 南 | 其他,低楼层(共18层)  2007年建板楼  -,
宇翔园 2室2厅 200万,单价22754元/平米,200,| 2室2厅 | 87.9平米 | 东 西 | 其他,中楼层(共7层)  1998年建板楼  -,
晋丰大厦 2室1厅 320万,单价45071元/平米,320,| 2室1厅 | 71平米 | 西北 | 其他,中楼层(共16层)  2010年建塔楼  -,
同合里 1室1厅 150万,单价39599元/平米,150,| 1室1厅 | 37.88平米 | 南 | 其他,中楼层(共5层)    -,
平陆东里 2室1厅 130万,单价22299元/平米,130,| 2室1厅 | 58.3平米 | 东 西 | 其他,高楼层(共6层)  1990年建板楼  -,
晋丰大厦 2室1厅 380万,单价49351元/平米,380,| 2室1厅 | 77平米 | 南 北 | 其他,低楼层(共16层)  2010年建塔楼  -,
玉泉北里 1室1厅 157万,单价27540元/平米,157,| 1室1厅 | 57.01平米 | 东 | 其他,低楼层(共6层)  2000年建板楼  -,
凯兴天宝公寓 3室2厅 380万,单价27738元/平米,380,| 3室2厅 | 137平米 | 南 北 | 其他,高楼层(共6层)  2000年建板楼  -,
南江西里 2室1厅 162万,单价26871元/平米,162,| 2室1厅 | 60.29平米 | 南 北 | 其他,中楼层(共5层)  1984年建板楼  -,
重信公寓 3室1厅 270万,单价26471元/平米,270,| 3室1厅 | 102平米 | 南 北 | 其他,高楼层(共6层)  1998年建板楼  -,
久华里 2室1厅 340万,单价37829元/平米,340,| 2室1厅 | 89.88平米 | 南 北 | 其他,低楼层(共6层)  2002年建板楼  -,
九州国际 2室1厅 420万,单价42858元/平米,420,| 2室1厅 | 98平米 | 南 | 其他,低楼层(共34层)  2010年建板楼  -,
淦江东里 2室1厅 120万,单价30770元/平米,120,| 2室1厅 | 39平米 | 南 北 | 其他,中楼层(共5层)  1997年建板楼  -,
俊城浅水湾 2室2厅 283万,单价31151元/平米,283,| 2室2厅 | 90.85平米 | 南 北 | 其他,高楼层(共11层)  2004年建板楼  -,
庆达园 3室3厅 330万,单价47143元/平米,330,| 3室3厅 | 70平米 | 南 | 其他,高楼层(共5层)    -,
奥城公寓 3室2厅 620万,单价23485元/平米,620,| 3室2厅 | 264平米 | 南 | 其他,低楼层(共30层)  2008年建板楼  -,
天泰花园 3室2厅 360万,单价29188元/平米,360,| 3室2厅 | 123.34平米 | 南 北 | 其他,高楼层(共6层)  2000年建板楼  -,
金福南里 2室1厅 100万,单价18689元/平米,100,| 2室1厅 | 53.51平米 | 南 北 | 其他,高楼层(共6层)  1995年建板楼  -,
林苑西里 2室1厅 160万,单价27587元/平米,160,| 2室1厅 | 58平米 | 南 北 | 其他,中楼层(共6层)  1998年建板楼  -,
怀仁里 2室2厅 398万,单价32358元/平米,398,| 2室2厅 | 123平米 | 南 北 | 其他,低楼层(共7层)  1995年建板楼  -,
祥平园 4室2厅 350万,单价24375元/平米,350,| 4室2厅 | 143.59平米 | 东 西 | 其他,高楼层(共6层)  1992年建板楼  -,
翠湖温泉花园 2室2厅 265万,单价20952元/平米,265,| 2室2厅 | 126.48平米 | 东 | 其他,低楼层(共10层)  2000年建板楼  -,
满五唯一 精装 观园三期 南北通透 业主急售,单价25741元/平米,278,| 2室2厅 | 108平米 | 南 北 | 其他,高楼层(共7层)  1999年建板楼  -,
天环里 2室1厅 140万,单价22765元/平米,140,| 2室1厅 | 61.5平米 | 东南 | 其他,高楼层(共7层)  1988年建板楼  -,
阳光晶典 2室2厅 490万,单价46227元/平米,490,| 2室2厅 | 106平米 | 西南 | 其他,中楼层(共33层)  2014年建板楼  -,
招商钻石山 2室1厅 405万,单价46149元/平米,405,| 2室1厅 | 87.76平米 | 南 | 其他,低楼层(共43层)  2014年建板楼  -,
招商钻石山 2室2厅 380万,单价42861元/平米,380,| 2室2厅 | 88.66平米 | 南 | 其他,中楼层(共43层)  2014年建板楼  -,
金厦里 1室1厅 150万,单价25051元/平米,150,| 1室1厅 | 59.88平米 | 南 | 其他,高楼层(共10层)  1995年建板楼  -,
迎水西里 2室1厅 205万,单价36348元/平米,205,| 2室1厅 | 56.4平米 | 南 北 | 其他,低楼层(共6层)  1984年建板楼  -,
永基花园私产房 采光好楼层好 居家首选,单价18572元/平米,130,| 2室1厅 | 70平米 | 东南 | 简装,高楼层(共30层)  1997年建板楼  -,
日华里 2室1厅 325万,单价33718元/平米,325,| 2室1厅 | 96.39平米 | 南 北 | 其他,高楼层(共6层)  1999年建板楼  -,
如意大厦 朝东跃层两居 采光很好 精装修,单价40977元/平米,240,| 2室1厅 | 58.57平米 | 东 | 其他,中楼层(共23层)  2007年建板楼  -,
华育里  黄金地段 配套成熟  临近地铁,单价23183元/平米,185,| 2室1厅 | 79.8平米 | 东 | 其他,低楼层(共7层)  1994年建板楼  -,
瑞丽园 南北通透 采光无遮挡 交通便利,单价36414元/平米,400,| 2室2厅 | 109.85平米 | 南 北 | 其他,中楼层(共11层)  2005年建板楼  -,
金福里 一楼H户型 高出房率 南北通透 成熟商圈,单价25204元/平米,310,| 2室1厅 | 123平米 | 南 北 | 其他,低楼层(共6层)  1988年建板楼  -,
宜君西里 黄金楼层 交通便利 采光充足,单价22223元/平米,200,| 2室2厅 | 90平米 | 南 | 简装,中楼层(共6层)  1999年建板楼  -,
福宏里 南北通透 私产可贷款 交通便利,单价26924元/平米,245,| 2室1厅 | 91平米 | 南 北 | 简装,高楼层(共6层)  1994年建板楼  -,
馨达园 精装一室 黄金楼层 采光霸道 很舒适,单价26862元/平米,210,| 1室2厅 | 78.18平米 | 南 | 简装,高楼层(共7层)  2000年建板楼  -,
兴云里  东西通透大两室  中楼层 视野采光好,单价25000元/平米,300,| 2室1厅 | 120平米 | 西 东 | 精装,低楼层(共12层)  2001年建板楼  -,
煦园新居 精装一室 阳面  前排采光无遮挡,单价50532元/平米,285,| 1室1厅 | 56.4平米 | 西南 | 精装,低楼层(共21层)  2007年建板楼  -,
飞云东里 次顶层 交通便利 采光充足,单价27164元/平米,172,| 2室1厅 | 63.32平米 | 西 | 简装,高楼层(共6层)  199年建板楼  -,
云阳东里 门脸房 位置好 交通便利 采光好,单价27500元/平米,275,| 2室1厅 | 100平米 | 南 | 简装,低楼层(共6层)  1990年建板楼  -,
金合园 2室2厅 215万,单价22815元/平米,215,| 2室2厅 | 94.24平米 | 南 西 | 精装,中楼层(共7层)  1999年建板楼  -,
绮华里 正式跃层 赠送100平 精装修带电梯三室,单价29836元/平米,590,| 3室1厅 | 197.75平米 | 南 北 | 其他,高楼层(共9层)  2002年建板楼  -,
金合园 2室2厅 220万,单价25668元/平米,220,| 2室2厅 | 85.71平米 | 南 | 其他,中楼层(共7层)  1999年建板楼  -,
昌宁南里 2室1厅 135万,单价20950元/平米,135,| 2室1厅 | 64.44平米 | 南 | 其他,高楼层(共6层)  1990年建板楼  -,
碧华里 位置好 双阳带阁楼 视野好景观居,单价24354元/平米,340,| 4室3厅 | 139.61平米 | 南 北 | 其他,高楼层(共6层)  1998年建板楼  -,
仁爱康景园，过五有二套，一楼带卧室，前后院，豪华装,单价30346元/平米,735,| 5室2厅 | 242.21平米 | 南 北 | 其他,低楼层(共3层)  2006年建  -,
大园新居 2室1厅 180万,单价21026元/平米,180,| 2室1厅 | 85.61平米 | 东南 | 其他,低楼层(共28层)  1999年建板楼  -,
林苑东里  企业产后期税低  采光好   交通便利,单价13750元/平米,110,| 3室1厅 | 80平米 | 南 北 | 其他,高楼层(共7层)  1999年建板楼  -,
云阳东里 1室1厅 85万,单价21304元/平米,85,| 1室1厅 | 39.9平米 | 南 | 简装,高楼层(共6层)  1990年建板楼  -,
城厢家园 鼓楼别墅 中营学区 随时看房,单价39927元/平米,1368,| 4室3厅 | 342.63平米 | 南 北 | 毛坯,低楼层(共3层)  2010年建  -,
光湖里 楼层好  精装修 周围配套设施齐全,单价17143元/平米,66,| 1室1厅 | 38.5平米 | 南 | 其他,高楼层(共6层)  1986年建板楼  -,
安华里 2室1厅 176万,单价29314元/平米,176,| 2室1厅 | 60.04平米 | 南 西 | 其他,高楼层(共6层)  1997年建板楼  -,
星座园 3室2厅 490万,单价36710元/平米,490,| 3室2厅 | 133.48平米 | 南 北 | 其他,中楼层(共11层)  2000年建板楼  -,
地处产业园区，出门华苑地铁站，周围配套齐全,单价13125元/平米,105,| 2室1厅 | 80平米 | 东 南 | 其他,中楼层(共18层)  2005年建板楼  -,
梧桐公馆顺宁里 标准三居 带2个车位和储藏室,单价46905元/平米,800,| 3室2厅 | 170.56平米 | 南 北 | 精装,高楼层(共7层)  2013年建板楼  -,
天霖园南北通透3室 观小区花园 视野开阔,单价54397元/平米,920,| 3室2厅 | 169.13平米 | 南 北 | 其他,低楼层(共28层)  2007年建板楼  -,
华苑居华里 一楼 采光充足 带小院,单价38695元/平米,255,| 2室1厅 | 65.9平米 | 南 北 | 其他,低楼层(共6层)  1997年建板楼  -,
尚佳新苑 精装两室 中间楼层 采光好 配套齐全,单价49429元/平米,415,| 2室1厅 | 83.96平米 | 西北 | 其他,中楼层(共30层)  2007年建板楼  -,
麦迪逊  电梯房  地铁房  采光好  诚心卖,单价14722元/平米,175,| 2室1厅 | 118.87平米 | 南 北 | 精装,高楼层(共18层)  2005年建板楼  -,
竹华里 3室1厅 320万,单价27228元/平米,320,| 3室1厅 | 117.53平米 | 南 北 | 其他,中楼层(共11层)  2003年建板楼  -,
静德花园 送60万装修 楼王四居室 学区房,单价45051元/平米,740,| 4室2厅 | 164.26平米 | 南 北 | 精装,中楼层(共30层)  2008年建板楼  -,
桂荷园 3室2厅 560万,单价42508元/平米,560,| 3室2厅 | 131.74平米 | 南 北 | 精装,低楼层(共9层)  2005年建板楼  -,
阳光壹佰北园 交通便利 配套设施齐全,单价14954元/平米,160,| 1室1厅 | 107平米 | 东 西 | 精装,高楼层(共11层)  1990年建板楼  -,
金合园 2室1厅 215万,单价23919元/平米,215,| 2室1厅 | 89.89平米 | 东南 西北 | 其他,低楼层(共7层)  1999年建板楼  -,
浩天天娇源 3室2厅 672万,单价40015元/平米,672,| 3室2厅 | 167.94平米 | 南 北 | 其他,高楼层(共15层)  2004年建板楼  -,
郁园里 2室1厅 120万,单价20175元/平米,120,| 2室1厅 | 59.48平米 | 南 北 | 其他,高楼层(共6层)  1996年建板楼  -,
宝龙湾家园 2室2厅 370万,单价35239元/平米,370,| 2室2厅 | 105平米 | 南 | 其他,高楼层(共26层)  2007年建板楼  -,
三潭东里 交通便利 采光良好  学区房,单价19494元/平米,60,| 1室1厅 | 30.78平米 | 南 | 其他,高楼层(共7层)  1990年建板楼  -,
金夏里 出行方便 配套完善 地铁房,单价31335元/平米,360,| 2室2厅 | 114.89平米 | 南 北 | 其他,低楼层(共6层)  1995年建板楼  -,
宁乐里 3室1厅 280万,单价35999元/平米,280,| 3室1厅 | 77.78平米 | 南 北 | 简装,低楼层(共6层)  1990年建板楼  -,
熙汇广场一室 东南向 精装修 诚心卖,单价11964元/平米,65.8,| 1室0厅 | 55平米 | 南 | 精装,高楼层(共29层)  2016年建板楼  -,
康定里 不到顶  东南金角 诚意出售 方便看,单价13000元/平米,78,| 2室1厅 | 60平米 | 东 南 西 | 其他,高楼层(共6层)  1984年建板楼  -,
时代奥城【中间楼层，过五年，有二套】【随时签合同】,单价27676元/平米,750,| 3室2厅 | 271平米 | 南 北 | 其他,中楼层(共30层)  2005年建板楼  -,
月环里 交通便利 配套齐全 私产房,单价16023元/平米,95,| 2室1厅 | 59.29平米 | 西 | 其他,高楼层(共7层)  1988年建板楼  -,
金厦里 2室1厅 167万,单价22426元/平米,167,| 2室1厅 | 74.47平米 | 南 北 | 其他,高楼层(共8层)  1995年建板楼  -,
一街区难得好房 诚意出售 中楼层 采光视野极佳,单价42177元/平米,620,| 3室2厅 | 147平米 | 西南 | 其他,中楼层(共31层)  2008年建板楼  -,
飞云东里 1室1厅 105万,单价21455元/平米,105,| 1室1厅 | 48.94平米 | 西 | 简装,高楼层(共6层)  1995年建板楼  -,
市中心 铜锣湾花园 自盖两室 房型正 实用,单价41667元/平米,650,| 3室2厅 | 156平米 | 东南 北 | 精装,低楼层(共20层)  2004年建板楼  -,
怀安西里 2室1厅 290万,单价27121元/平米,290,| 2室1厅 | 106.93平米 | 东北 | 简装,中楼层(共6层)  1995年建板楼  -,
禧顺花园 南北通透 跃层 交通便利 视野开阔,单价20798元/平米,410,| 3室2厅 | 197.14平米 | 南 北 | 精装,高楼层(共6层)  2001年建板楼  -,
紫来花园 黄金地段 采光充足 私产房 带电梯,单价28572元/平米,260,| 2室1厅 | 91平米 | 东北 | 精装,中楼层(共25层)  2000年建板楼  -,
泊江东里黄金楼层 位置好 南北通透,单价23810元/平米,100,| 1室1厅 | 42平米 | 南 北 | 简装,低楼层(共6层)  1987年建板楼  -,
宜川北里 中间楼层 临近地铁 交通便利,单价23195元/平米,105,| 1室1厅 | 45.27平米 | 南 | 精装,低楼层(共7层)  1995年建板楼  -,
天环里 交通便利 视野宽阔 周边配套完善,单价18948元/平米,72,| 2室1厅 | 38平米 | 东 北 | 简装,高楼层(共7层)  1988年建板楼  -,
昌宁南里 2室1厅 142万,单价25151元/平米,142,| 2室1厅 | 56.46平米 | 南 北 | 其他,高楼层(共5层)  1990年建板楼  -,
会泽园 2室1厅 240万,单价27650元/平米,240,| 2室1厅 | 86.8平米 | 南 北 | 其他,低楼层(共6层)  2000年建板楼  -,
宜宾东里 2室1厅 105万,单价24765元/平米,105,| 2室1厅 | 42.4平米 | 南 | 其他,高楼层(共6层)  1983年建板楼  -,
格调春天花园 2室2厅 500万,单价49530元/平米,500,| 2室2厅 | 100.95平米 | 南 | 其他,中楼层(共18层)  2007年建板楼  -,
紫来花园 2室1厅 210万,单价18261元/平米,210,| 2室1厅 | 115平米 | 东 南 | 其他,中楼层(共25层)  2000年建板楼  -,
奥城大五室  单价低   税费少  黄金楼层  改善房,单价30796元/平米,800,| 5室2厅 | 259.78平米 | 南 | 其他,低楼层(共27层)  2005年建板楼  -,
竹华里 跃层四室 空中平墅 改善首选,单价20009元/平米,280,| 4室2厅 | 139.94平米 | 南 北 | 其他,高楼层(共6层)  2003年建板楼  -,
金典花园 3室1厅 550万,单价41168元/平米,550,| 3室1厅 | 133.6平米 | 南 北 | 其他,低楼层(共6层)  2002年建板楼  -,
彩虹花园 商业办公 低楼层 交通便利,单价13000元/平米,780,| 8室3厅 | 600平米 | 东 南 西 北 | 其他,低楼层(共9层)  1999年建板楼  -,
禧顺花园 私产房 跃层 可选用改善生活,单价20000元/平米,350,| 4室2厅 | 175平米 | 南 北 | 简装,高楼层(共6层)  2001年建板楼  -,
天华里 2室2厅 255万,单价33139元/平米,255,| 2室2厅 | 76.95平米 | 南 北 | 精装,高楼层(共6层)  1998年建板楼  -,
泾水园 1室1厅 196万,单价32132元/平米,196,| 1室1厅 | 61平米 | 西南 | 其他,高楼层(共6层)  2005年建板楼  -,
翠园里  南北通透 重点学区房 地铁房,单价23400元/平米,390,| 3室2厅 | 166.67平米 | 南 北 | 其他,高楼层(共6层)  2002年建板楼  -,
欣苑公寓 稀缺跃层 临近地铁 稀缺洋房,单价18966元/平米,550,| 3室2厅 | 290平米 | 南 北 | 简装,低楼层(共7层)  2000年建板楼  -,
凯立天香家园 五马路学区房 紧邻长虹公园,单价29825元/平米,340,| 3室2厅 | 114平米 | 南 北 | 其他,高楼层(共6层)  2000年建板楼  -,
龙亭家园 前排无挡 稀缺一楼 金角三室,单价40625元/平米,520,| 3室2厅 | 128平米 | 东南 | 精装,低楼层(共25层)  2008年建板楼  -,
泾水园 两室 南北通透 黄金楼层 老人首选,单价34187元/平米,350,| 2室1厅 | 102.38平米 | 南 北 | 其他,低楼层(共6层)  2005年建板楼  -,
美丽心殿 电梯洋房 看房随时 南北通透,单价23507元/平米,260,| 2室1厅 | 110.61平米 | 南 北 | 其他,中楼层(共20层)  2000年建板楼  -,
盈江西里 户型好 黄金地段 采光霸道,单价12659元/平米,100,| 2室1厅 | 79平米 | 南 北 | 其他,高楼层(共6层)  1999年建板楼  -,
水蓝花园  次顶层房    南北通透   精装修,单价23967元/平米,350,| 3室2厅 | 146.04平米 | 南 北 | 其他,高楼层(共6层)  2000年建板楼  -,
金地里 三室 采光好 通风佳,单价26667元/平米,280,| 3室2厅 | 105平米 | 南 北 | 其他,中楼层(共6层)  1998年建板楼  -,
深蓝公寓 南北通透 高楼层 采光良好,单价20350元/平米,340,| 4室2厅 | 167.08平米 | 南 北 | 简装,高楼层(共7层)  1997年建板楼  -,
华苑竹华里 3室H户型跃层 南北通透 落地窗,单价23410元/平米,450,| 5室1厅 | 192.23平米 | 南 北 | 其他,高楼层(共11层)  2003年建板楼  -,
桂荷园 楼王位置 私产可贷款 电梯房,单价40000元/平米,530,| 3室2厅 | 132.5平米 | 南 北 | 其他,中楼层(共9层)  2005年建板楼  -,
园荫北里 3室1厅 152万,单价18096元/平米,152,| 3室1厅 | 84平米 | 南 北 | 其他,中楼层(共7层)  1983年建板楼  -,
儒园公寓 南北通透格局 中营学区 配套成熟,单价35455元/平米,780,| 4室2厅 | 220平米 | 南 北 | 其他,高楼层(共4层)  2000年建板楼  -,
老城厢 好地段 交通购物方便 诚意卖房,单价24664元/平米,550,| 4室2厅 | 223平米 | 南 北 | 其他,高楼层(共22层)  1996年建板楼  -,
仁爱濠景庄园 双拼别墅 300平院  超值急售,单价40969元/平米,2200,| 8室6厅 | 537平米 | 南 北 | 其他,低楼层(共3层)  2006年建  -,
黄金二楼，能够贷款，地铁房，在水上村这是唯一。,单价29788元/平米,140,| 2室0厅 | 47平米 | 南 | 其他,中楼层(共5层)  1985年建板楼  -,
金庄公寓 稀有正式跃层 私产过五年带车库 银角户型,单价21304元/平米,500,| 4室2厅 | 234.7平米 | 南 西 北 | 其他,高楼层(共4层)  2001年建板楼  -,
时代奥城 观水上全景 银角三室 诚心出售,单价33970元/平米,890,| 3室2厅 | 262平米 | 南 北 | 其他,中楼层(共24层)  2005年建板楼  -,
龙亭家园 精装一室 低楼层 中营学区,单价42450元/平米,262,| 1室1厅 | 61.72平米 | 西北 | 精装,低楼层(共30层)  2008年建板楼  -,
富力城天越园  精装三室 南北通透 地铁房,单价41301元/平米,630,| 3室2厅 | 152.54平米 | 南 北 | 简装,高楼层(共24层)  2007年建板楼  -,
仁恒海河 高端小区 装修豪华 海河岸边,单价59616元/平米,310,| 1室1厅 | 52平米 | 东 | 其他,高楼层(共23层)  2012年建板楼  -,
纽约公寓又名海益国际 朝复康路 视野很棒 创业者首选,单价8784元/平米,65,| 1室0厅 | 74平米 | 北 | 其他,中楼层(共16层)  2013年建板楼  -,
翰雅园 3室2厅 450万,单价38081元/平米,450,| 3室2厅 | 118.17平米 | 南 北 | 其他,中楼层(共6层)  2006年建板楼  -,
金厦里 1室1厅 150万,单价25051元/平米,150,| 1室1厅 | 59.88平米 | 南 | 其他,高楼层(共10层)  1995年建板楼  -,
红磡花园 2室2厅 310万,单价36258元/平米,310,| 2室2厅 | 85.5平米 | 南 北 | 其他,高楼层(共7层)  2001年建板楼  -,
长宁里 黄金楼层 长治里学区房 钥匙房,单价24061元/平米,160,| 2室1厅 | 66.5平米 | 南 北 | 简装,中楼层(共5层)  1982年建板楼  -,
义兴里 企业产产权 阳面一楼 大一居室,单价28948元/平米,110,| 1室1厅 | 38平米 | 南 | 简装,低楼层(共7层)  1994年建板楼  -,
颂禹里经典一居 五马路学区房 稀缺楼层,单价37648元/平米,128,| 2室1厅 | 34平米 | 东南 | 其他,中楼层(共6层)  1992年建板楼  -,
奥城公寓 低楼层 民水民电 靠近商业街,单价11734元/平米,88,| 2室1厅 | 75平米 | 东北 | 其他,低楼层(共29层)  2005年建板楼  -,
凤园南里 1室0厅 46万,单价15334元/平米,46,| 1室0厅 | 30平米 | 南 | 其他,低楼层(共6层)  1986年建板楼  -,
临江里 2室1厅 115万,单价21297元/平米,115,| 2室1厅 | 54平米 | 东 南 北 | 精装,中楼层(共5层)  1985年建板楼  -,
泊江东里 公产房 低楼层 中环附近一室,单价21905元/平米,92,| 1室1厅 | 42平米 | 南 | 简装,低楼层(共6层)  1987年建板楼  -,
宁乐里  临水上 中楼层 户型格局,单价27058元/平米,168,| 2室1厅 | 62.09平米 | 西南 | 简装,中楼层(共6层)  1990年建板楼  -,
光湖里 一室楼层低 企业产需一次性购买,单价22414元/平米,65,| 1室1厅 | 29平米 | 北 | 其他,中楼层(共7层)  1986年建板楼  -,
凯兴天宝公寓 2室1厅 339万,单价29059元/平米,339,| 2室1厅 | 116.66平米 | 南 北 | 简装,高楼层(共6层)  2000年建板楼  -,
荷兰墅 精装修 环境优美 配套设施齐全,单价39479元/平米,1000,| 4室3厅 | 253.3平米 | 南 | 其他,低楼层(共3层)  2005年建  -,
鑫茂科技园 大面积办公 诚心出售 单价低,单价7227元/平米,430,| 9室1厅 | 595平米 | 西南 | 其他,高楼层(共6层)  2000年建板楼  -,
