name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
翠湖山庄 实用三房 环境优美 配套成熟,单价32405元/平米,335,| 3室2厅 | 103.38平米 | 北 | 简装,中楼层(共31层)  1999年建塔楼  -,
华景新城四期 东向两房 改善首选,单价32559元/平米,280,| 2室2厅 | 86平米 | 东 | 精装,低楼层(共9层)  2009年建塔楼  -,
骏景花园 精品三房 格局方正 户型实用,单价33334元/平米,390,| 3室2厅 | 117平米 | 西北 | 简装,高楼层(共24层)  2006年建板楼  -,
领峰 W公寓 一房一厅 租金高投资首选,单价54879元/平米,450,| 1室1厅 | 82平米 | 南 | 精装,中楼层(共42层)  2009年建塔楼  -,
金海花园安静小三房,单价42500元/平米,340,| 3室2厅 | 80平米 | 东北 | 简装,中楼层(共10层)  2002年建塔楼  -,
棠德花园 正规小两房 看房方便,单价18750元/平米,105,| 2室2厅 | 56平米 | 西 | 简装,中楼层(共10层)  1997年建塔楼  -,
天河北 祥兴大厦 南向两房 带龙口西学位,单价31819元/平米,210,| 2室1厅 | 66平米 | 南 | 精装,中楼层(共23层)  1996年建塔楼  -,
历德雅舍 精装修大三房 高层望花园,单价46429元/平米,650,| 3室2厅 | 140平米 | 东南 | 精装,中楼层(共30层)  2005年建塔楼  -,
美林海岸花园 江景豪宅 六房两厅,单价38835元/平米,1200,| 6室2厅 | 309平米 | 东南 | 其他,高楼层(共32层)  2004年建塔楼  -,
金碧华府 稀缺复式 大阳台 业主诚意放售,单价48737元/平米,1350,| 5室2厅 | 277平米 | 南 | 其他,高楼层(共25层)  2001年建塔楼  -,
天一新村超大复式，稀缺单元,单价30108元/平米,560,| 5室2厅 | 186平米 | 东南 | 其他,高楼层(共6层)  2008年建塔楼  -,
帝景苑 独栋 单边位 景观洋房,单价41222元/平米,540,| 4室2厅 | 131平米 | 西北 | 简装,高楼层(共34层)  2000年建塔楼  -,
利雅湾 三房高实用率 证够5年,单价63637元/平米,700,| 3室2厅 | 110平米 | 东北 | 精装,中楼层(共29层)  2004年建塔楼  -,
远洋明珠大厦 黄金地带 户型号,单价40000元/平米,472,| 3室2厅 | 118平米 | 南 | 简装,中楼层(共25层)  1998年建塔楼  -,
骏景花园 精品5房2厅,单价30000元/平米,495,| 5室2厅 | 165平米 | 北 | 简装,低楼层(共13层)  2000年建塔楼  -,
荟雅苑 复式单位 保养好 带学位,单价45883元/平米,1170,| 4室2厅 | 255平米 | 南 | 其他,高楼层(共31层)  2000年建塔楼  -,
鸿运花园 天河公园旁 中层两房 户型方正,单价22023元/平米,135,| 2室1厅 | 61.3平米 | 北 | 简装,高楼层(共9层)  1999年建塔楼  -,
紫荆花园西座 复式单位 带私家花园,单价32787元/平米,400,| 4室2厅 | 122平米 | 南 | 简装,高楼层(共21层)  1998年建塔楼  -,
盈彩美居三期 南向三房 装修保养新,单价29903元/平米,308,| 3室2厅 | 103平米 | 南 | 其他,低楼层(共18层)  2003年建塔楼  -,
利雅湾 精装三房 证够五年,单价64656元/平米,750,| 3室2厅 | 116平米 | 西南 | 精装,中楼层(共29层)  2004年建塔楼  -,
嘉宝华庭 精装三房 办公装修 学位房,单价33116元/平米,380,| 3室2厅 | 114.75平米 | 西南 | 简装,中楼层(共28层)  2001年建塔楼  -,
华景新城 稀缺东南向 温馨两房,单价26120元/平米,175,| 2室2厅 | 67平米 | 东南 | 精装,高楼层(共9层)  2009年建塔楼  -,
地铁笋盘 BRT+省级学区房 配套成熟,单价20793元/平米,210,| 3室2厅 | 101平米 | 北 | 简装,低楼层(共18层)  2000年建塔楼  -,
珠江俊园 稀缺南向三房 通风一流,单价44860元/平米,480,| 3室2厅 | 107平米 | 西南 | 其他,低楼层(共28层)  2007年建塔楼  -,
纵横白领公寓 东向一房一厅 电梯房,单价17250元/平米,69,| 1室1厅 | 40平米 | 东 | 简装,高楼层(共9层)  2002年建塔楼  -,
海景大厦 地铁小区电梯房,单价25000元/平米,120,| 1室1厅 | 48平米 | 南 | 简装,高楼层(共17层)  2001年建塔楼  -,
春江花园 精装两房 温馨安静 热销,单价24726元/平米,225,| 2室2厅 | 91平米 | 南 | 简装,低楼层(共16层)  2000年建塔楼  -,
美林海岸 精致三房 视野开阔通风,单价42976元/平米,520,| 3室2厅 | 121平米 | 西南 | 其他,中楼层(共32层)  2004年建塔楼  -,
美林海岸 西南向两房 视野开阔通风,单价38736元/平米,315,| 2室2厅 | 81.32平米 | 西南 | 简装,中楼层(共18层)  2004年建塔楼  -,
橡树园  采光好  大两房  送露台,单价21795元/平米,170,| 2室2厅 | 78平米 | 西南 | 精装,低楼层(共17层)  2011年建塔楼  -,
豪景花园 居家首选 交通便利,单价22000元/平米,167.2,| 2室1厅 | 76平米 | 东南 | 其他,中楼层(共19层)  2007年建塔楼  -,
安静小区 过五年惟一物业 精装修,单价20000元/平米,182,| 3室2厅 | 91平米 | 南 | 简装,高楼层(共9层)  2000年建塔楼  -,
南一路小区 两房两厅 格局方正 装修好,单价28954元/平米,260,| 2室2厅 | 89.8平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
230万买南北向三房 温馨装修 过度首选,单价28396元/平米,230,| 3室2厅 | 81平米 | 南 | 其他,高楼层(共9层)  1997年建塔楼  -,
南国花园 风光秀美 家私电器全齐,单价45000元/平米,836.01,| 5室2厅 | 185.78平米 | 南 | 简装,中楼层(共27层)  2002年建塔楼  -,
中海花城湾 南向望花园4房 精致装修,单价78652元/平米,1400,| 4室2厅 | 178平米 | 东南 | 精装,低楼层(共30层)  2005年建塔楼  -,
天朗明居 高层精致一房 带大阳台 视野好,单价29362元/平米,138,| 1室1厅 | 47平米 | 西 | 简装,中楼层(共26层)  2001年建塔楼  -,
东璟花园 大三房 地铁上盖,单价33600元/平米,420,| 3室2厅 | 125平米 | 东北 | 其他,低楼层(共16层)  2004年建塔楼  -,
东方之珠花园 地铁口旁 升值无限 学区房,单价41740元/平米,480,| 3室2厅 | 115平米 | 西南 | 简装,低楼层(共28层)  2004年建塔楼  -,
协和新世界 南向两房 实用安静,单价61689元/平米,475,| 2室2厅 | 77平米 | 西南 | 其他,低楼层(共32层)  2008年建塔楼  -,
领峰园 高端物业 园景房 望花园 双学位,单价51191元/平米,430,| 1室1厅 | 84平米 | 北 | 精装,高楼层(共42层)  2009年建塔楼  -,
铂林国际公寓 采光明亮大单间 投资回报好,单价53899元/平米,150,| 1室0厅 | 27.83平米 | 西 | 简装,高楼层(共32层)  2005年建塔楼  -,
豪景花园 居家首选 交通便利,单价22000元/平米,158.4,| 2室1厅 | 72平米 | 东南 | 其他,中楼层(共19层)  2007年建塔楼  -,
旭景三房 装修保养好 视野开阔,单价30121元/平米,250,| 3室2厅 | 83平米 | 北 | 其他,低楼层(共15层)  2002年建塔楼  -,
广利路 聚乔苑 黄金楼层 完美南向三房,单价32076元/平米,340,| 3室2厅 | 106平米 | 南 | 其他,中楼层(共10层)  1999年建塔楼  -,
金燕花园 交通便利 周边设施齐全,单价20280元/平米,184,| 3室1厅 | 90.73平米 | 南 | 其他,中楼层(共9层)  2000年建塔楼  -,
天翔花园 天安居 四房改五房 新装修,单价70000元/平米,1155,| 5室2厅 | 165平米 | 南 | 其他,中楼层(共16层)  1996年建塔楼  -,
方圆月岛 豪华复式 采光一流 方正大户型,单价51814元/平米,2000,| 6室2厅 | 386平米 | 东南 | 其他,低楼层(共46层)  2009年建塔楼  -,
高胜花园 带点学位房 两房格局方正,单价19872元/平米,155,| 2室1厅 | 78平米 | 东南 | 其他,高楼层(共9层)  2000年建塔楼  -,
金田花苑 精装三房 即买即住,单价47500元/平米,380,| 2室2厅 | 80平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
美林海岸花园 南向一线园景 格局方正,单价40000元/平米,328,| 4室1厅 | 82平米 | 南 | 其他,低楼层(共18层)  2004年建塔楼  -,
粤垦路 福龙苑 精装一房一厅 少有放卖,单价25000元/平米,125,| 1室1厅 | 50平米 | 东 | 简装,中楼层(共9层)  1990年建塔楼  -,
华江花园 证满两年 户型方正 稀缺户型,单价26924元/平米,350,| 3室2厅 | 130平米 | 北 | 简装,高楼层(共9层)  1999年建塔楼  -,
富力爱丁堡国际公寓 豪华两房 不限购,单价29600元/平米,370,| 2室2厅 | 125平米 | 东北 | 精装,低楼层(共32层)  2007年建塔楼  -,
天平花苑 证过两年 方正两房 实用率高,单价16407元/平米,105,| 2室1厅 | 64平米 | 东 | 简装,低楼层(共9层)  1996年建塔楼  -,
鸿景苑 重点学位房 生活交通超方便,单价35000元/平米,413,| 3室1厅 | 118平米 | 西北 | 简装,低楼层(共32层)  2002年建塔楼  -,
侨乐新村 南向三房两厅 小区安静配套齐全,单价16667元/平米,150,| 3室2厅 | 90平米 | 暂无数据 | 其他,高楼层(共9层)  1995年建塔楼  -,
侨怡苑电梯3房,单价43397元/平米,460,| 3室1厅 | 106平米 | 南 | 简装,中楼层(共21层)  1992年建塔楼  -,
中海花城湾 全新两房 景观洋房 非常舒适,单价70423元/平米,500,| 2室2厅 | 71平米 | 东北 | 其他,中楼层(共30层)  2014年建塔楼  -,
天荣小区 地铁上盖 带学位 小区环境好,单价35729元/平米,368,| 3室1厅 | 103平米 | 东北 | 简装,高楼层(共32层)  1997年建塔楼  -,
中怡城市花园 南向大三房 楼王单位,单价53031元/平米,700,| 3室2厅 | 132平米 | 南 | 其他,高楼层(共33层)  2002年建塔楼  -,
聚龙阁 精装三房出售 交通便利 购物方便,单价41195元/平米,400,| 3室2厅 | 97.1平米 | 北 | 其他,中楼层(共31层)  2004年建塔楼  -,
宏景台 户型方正实 居住舒适,单价38760元/平米,500,| 3室2厅 | 129平米 | 西南 | 其他,中楼层(共22层)  2005年建塔楼  -,
浩瀚华轩 复式单位出售 带省级学位,单价33004元/平米,1000,| 6室3厅 | 303平米 | 北 | 简装,高楼层(共22层)  2000年建塔楼  -,
鸿燕居 精装三房 格局方正 看房方便,单价18019元/平米,200,| 3室2厅 | 111平米 | 南 | 其他,高楼层(共6层)  1998年建塔楼  -,
富力新村 实用东北向一房 装修保养好,单价17369元/平米,66,| 1室1厅 | 38平米 | 东北 | 其他,中楼层(共9层)  1994年建塔楼  -,
育蕾小区 体育西路地铁 体育西学位,单价26137元/平米,230,| 3室2厅 | 88平米 | 北 | 简装,低楼层(共9层)  1993年建塔楼  -,
雅怡居 精致两房 少税 安静望园景,单价16394元/平米,100,| 2室2厅 | 61平米 | 东北 | 简装,高楼层(共9层)  2000年建塔楼  -,
棠德花园 新装修两房 通风采光好,单价20702元/平米,118,| 2室1厅 | 57平米 | 北 | 简装,高楼层(共9层)  1997年建塔楼  -,
凯旋新世界 南向望江一线江景 全新未住,单价125604元/平米,2600,| 4室3厅 | 207平米 | 西南 | 其他,高楼层(共22层)  1990年建塔楼  -,
地铁笋盘 BRT+省级学区房 配套成熟,单价41667元/平米,300,| 2室1厅 | 72平米 | 南 | 其他,中楼层(共17层)  2010年建塔楼  -,
天河南 实用三房 南北向 黄金楼层5楼,单价29214元/平米,260,| 3室1厅 | 89平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
东圃广场 三期标准一房 户型方正实用精致,单价27174元/平米,125,| 1室1厅 | 46平米 | 东南 | 其他,中楼层(共19层)  2002年建塔楼  -,
合景睿峰 复式户型 落地飘窗,单价35088元/平米,400,| 2室2厅 | 114平米 | 西南 | 其他,低楼层(共41层)  塔楼  -,
伊顿18 厅出阳台 格局方正,单价48685元/平米,370,| 2室1厅 | 76平米 | 东北 | 简装,中楼层(共38层)  2004年建塔楼  -,
紫林居 两室一厅 户型方正 安静望花园,单价25867元/平米,194,| 2室1厅 | 75平米 | 北 | 其他,低楼层(共9层)  2000年建塔楼  -,
靓装大两房，东西朝向，超笋地铁大两房！,单价17174元/平米,158,| 2室2厅 | 92平米 | 东 | 精装,中楼层(共10层)  1995年建塔楼  -,
MBA国际公寓 南向大单间 办公首选,单价25427元/平米,204,| 1室1厅 | 80.23平米 | 南 | 简装,高楼层(共31层)  2007年建塔楼  -,
这种楼层，这个朝向，绝对低于同等条件房子,单价30974元/平米,350,| 5室1厅 | 113平米 | 东 | 简装,低楼层(共33层)  1997年建塔楼  -,
棠德花园 北向 电梯楼 采光通风好,单价22078元/平米,170,| 2室1厅 | 77平米 | 北 | 其他,低楼层(共29层)  1997年建塔楼  -,
天河北苑 方正大户型 过五唯一,单价19588元/平米,190,| 3室1厅 | 97平米 | 西南 | 其他,中楼层(共9层)  1999年建塔楼  -,
天河广场 实用两房 厅出阳台,单价20442元/平米,139,| 2室1厅 | 68平米 | 南 | 简装,中楼层(共28层)  1996年建塔楼  -,
武警棠安苑 3室2厅 240万,单价18462元/平米,240,| 3室2厅 | 130平米 | 南 | 简装,中楼层(共18层)  2000年建塔楼  -,
华标广场 实用4房 带小区,单价50000元/平米,825,| 5室3厅 | 165平米 | 北 | 简装,高楼层(共30层)  2003年建塔楼  -,
金坤花园金坤街 3室2厅 175万,单价19022元/平米,175,| 3室2厅 | 92平米 | 北 | 其他,低楼层(共9层)  1998年建塔楼  -,
侨鑫汇悦台 珠江新城一线江景奢华豪宅,单价100426元/平米,2360,| 3室2厅 | 235平米 | 南 | 其他,中楼层(共39层)  2009年建塔楼  -,
天誉花园二期 大三房 视野超棒,单价36145元/平米,600,| 3室1厅 | 166平米 | 西北 | 其他,中楼层(共30层)  2000年建塔楼  -,
骏景花园 正南朝向 平层最好户型 楼王单,单价37334元/平米,560,| 4室2厅 | 150平米 | 南 | 精装,高楼层(共19层)  2000年建塔楼  -,
骏景花园 精品三房 格局方正 户型实用,单价33334元/平米,350,| 3室2厅 | 105平米 | 北 | 简装,高楼层(共12层)  2000年建板楼  -,
高层豪装舒适两房 证过2年,单价66327元/平米,650,| 2室1厅 | 98平米 | 东南 | 精装,高楼层(共45层)  2008年建塔楼  -,
新世界东逸花园 安静3房 省级学位,单价41270元/平米,520,| 3室2厅 | 126平米 | 西北 | 精装,中楼层(共28层)  2003年建塔楼  -,
聚龙阁 三房出售 交通便利 购物方便,单价37756元/平米,370,| 3室2厅 | 98平米 | 北 | 其他,高楼层(共31层)  2004年建塔楼  -,
天誉花园 宽敞舒适四房 华阳学位,单价38733元/平米,550,| 4室1厅 | 142平米 | 南 | 其他,中楼层(共31层)  1998年建塔楼  -,
汇友苑 精装两房 东南向 保养好,单价22973元/平米,170,| 2室1厅 | 74平米 | 东南 | 简装,低楼层(共19层)  1994年建塔楼  -,
翠湖山庄 2室1厅 280万,单价32942元/平米,280,| 2室1厅 | 85平米 | 西北 | 简装,中楼层(共15层)  1999年建塔楼  -,
地铁上盖，家私家电全齐，精装修！,单价26531元/平米,260,| 3室2厅 | 98平米 | 东北 | 其他,中楼层(共26层)  2002年建塔楼  -,
隽峰苑 地铁上盖 学位房 高层,单价58000元/平米,945.4,| 3室2厅 | 163平米 | 南 | 精装,中楼层(共32层)  2008年建塔楼  -,
嘉怡苑 罕见复式 华阳学位房，新装修，,单价35000元/平米,826,| 4室2厅 | 236平米 | 西北 | 简装,高楼层(共27层)  1998年建塔楼  -,
天汇广场 楼王单位 江景豪宅  南北对流,单价59623元/平米,1580,| 5室2厅 | 265平米 | 东南 | 精装,低楼层(共47层)  2013年建塔楼  -,
华景四期 南北对流大两房可改三房,单价26027元/平米,260,| 2室2厅 | 99.9平米 | 西南 | 简装,中楼层(共9层)  2009年建塔楼  -,
美林海岸花园 高端园林小区 精致三房,单价40353元/平米,435,| 3室2厅 | 107.8平米 | 北 | 其他,中楼层(共12层)  2004年建塔楼  -,
金燕花园 安静舒适 实用3房,单价22523元/平米,250,| 3室1厅 | 111平米 | 东南 | 其他,中楼层(共9层)  1998年建塔楼  -,
粤韵庭园 正规2房2厅 电梯楼,单价29491元/平米,220,| 2室2厅 | 74.6平米 | 南 | 简装,高楼层(共12层)  2003年建塔楼  -,
嘉尚国际东向一房一厅 双阳台带华阳学位,单价53000元/平米,265,| 1室1厅 | 50平米 | 东 | 其他,中楼层(共32层)  2009年建塔楼  -,
隽园 安静实用三房 带省级学位,单价50562元/平米,450,| 3室1厅 | 89平米 | 西南 | 精装,中楼层(共31层)  2007年建塔楼  -,
华景六期  难得有货  看房方便,单价36112元/平米,390,| 3室2厅 | 108平米 | 东南 | 精装,中楼层(共31层)  1998年建塔楼  -,
全新未住 嘉裕君玥公馆 方正豪装四房,单价60000元/平米,912,| 4室2厅 | 152平米 | 北 | 精装,低楼层(共30层)  2009年建塔楼  -,
天誉花园一期 华阳学位房 交通便利,单价35112元/平米,880,| 5室2厅 | 250.63平米 | 南 | 其他,高楼层(共31层)  1998年建塔楼  -,
云宁居 稀缺三房出售 户型方正,单价21085元/平米,175,| 3室1厅 | 83平米 | 东南 | 其他,高楼层(共9层)  1999年建塔楼  -,
丽晶华庭，稀缺笋盘，四房3厅,单价28572元/平米,680,| 4室2厅 | 238平米 | 南 | 精装,中楼层(共30层)  1998年建塔楼  -,
东园小区 南向两房 小区安静,单价23014元/平米,168,| 2室1厅 | 73平米 | 南 | 简装,中楼层(共8层)  1992年建塔楼  -,
天銮复式楼王 格局方正南北通透 一线江景,单价87995元/平米,3335,| 5室2厅 | 379平米 | 南 | 其他,中楼层(共48层)  2013年建塔楼  -,
嘉裕礼顿阳光 豪华单间 全新装修,单价52500元/平米,210,| 1室0厅 | 40平米 | 北 | 精装,高楼层(共30层)  2005年建塔楼  -,
王者级设计师精心打造 南面大阳台向珠江,单价50296元/平米,1700,| 6室3厅 | 338平米 | 东南 | 其他,高楼层(共29层)  2005年建塔楼  -,
富力公园28 全新豪装 业主有心出售急卖,单价36631元/平米,1000,| 3室2厅 | 273平米 | 暂无数据 | 毛坯,高楼层(共48层)  2012年建塔楼  -,
棠徳花园 超大两房 业主自主,单价17416元/平米,155,| 2室2厅 | 89平米 | 西 | 其他,中楼层(共9层)  1997年建塔楼  -,
棠德花园 东向好房 光线好 中高楼层,单价16407元/平米,105,| 2室1厅 | 64平米 | 北 | 简装,高楼层(共9层)  1997年建塔楼  -,
[链家满堂红] 精品小两房 仅需120万,单价21819元/平米,120,| 2室1厅 | 55平米 | 西南 | 精装,低楼层(共23层)  2000年建塔楼  -,
天河北苑 四房改为超大三房  钥匙看房方,单价14733元/平米,165,| 3室2厅 | 112平米 | 暂无数据 | 其他,高楼层(共9层)  1999年建塔楼  -,
天宝大厦 大两房 体育西学位房,单价25281元/平米,225,| 2室1厅 | 89平米 | 北 | 简装,中楼层(共18层)  2000年建塔楼  -,
骏景花园 南向三房 户型方正,单价34043元/平米,480,| 4室2厅 | 141平米 | 南 | 简装,低楼层(共20层)  2000年建塔楼  -,
高教新村 安静三房望校园 通风透气,单价40853元/平米,460,| 3室2厅 | 112.6平米 | 西北 | 其他,低楼层(共30层)  2000年建塔楼  -,
方正一房 西南朝向 精装修,单价26000元/平米,143,| 1室1厅 | 55平米 | 南 | 简装,低楼层(共11层)  2000年建塔楼  -,
嘉尚国际公寓 住得舒适安全，最主要是档次,单价51613元/平米,320,| 2室1厅 | 62平米 | 南 | 其他,中楼层(共32层)  2009年建塔楼  -,
龙口西路 龙苑大厦电梯2房,单价27743元/平米,220,| 2室1厅 | 79.3平米 | 西南 | 其他,中楼层(共23层)  1992年建塔楼  -,
富力新村 精装大两房 格局方正 南北对流,单价19060元/平米,135,| 2室1厅 | 70.83平米 | 东北 | 其他,中楼层(共9层)  1994年建塔楼  -,
锦明街优港小区 婚房首选 天河公园东门,单价22000元/平米,165,| 2室1厅 | 75平米 | 西 | 其他,中楼层(共9层)  1990年建塔楼  -,
电视台小区 市一级学位房,单价25000元/平米,175,| 2室1厅 | 70平米 | 东北 | 简装,高楼层(共9层)  塔楼  -,
鸿翔大厦 1室0厅 160万,单价41026元/平米,160,| 1室0厅 | 39平米 | 西 | 简装,高楼层(共29层)  2002年建塔楼  -,
中海花城湾 3室2厅 800万,单价63493元/平米,800,| 3室2厅 | 126平米 | 北 | 精装,高楼层(共30层)  2005年建塔楼  -,
百合苑 小面积投资房 未来金融城1房1厅,单价22456元/平米,75,| 1室1厅 | 33.4平米 | 北 | 其他,低楼层(共7层)  1996年建塔楼  -,
长运大院三房 格局方正 采光通风好,单价21622元/平米,160,| 3室1厅 | 74平米 | 南 | 其他,高楼层(共9层)  1993年建塔楼  -,
天河东圃广场 复式3层送大露台超值,单价25281元/平米,450,| 5室2厅 | 178平米 | 西北 | 其他,高楼层(共11层)  1999年建塔楼  -,
奥体中心邻近 稀缺别墅 送前后大花园,单价34769元/平米,1050,| 6室3厅 | 302平米 | 暂无数据 | 其他,低楼层(共1层)  塔楼  -,
骏景花园 温馨两房 业主保养好,单价31757元/平米,235,| 2室1厅 | 74平米 | 北 | 简装,中楼层(共13层)  2000年建塔楼  -,
铂林国际 高实用复式一房 高收租 带学位,单价71875元/平米,230,| 1室1厅 | 32平米 | 东 | 简装,低楼层(共22层)  2005年建塔楼  -,
正规两房 南北通透 光线充足 保养好,单价15754元/平米,115,| 2室1厅 | 73平米 | 南 | 其他,低楼层(共9层)  1997年建塔楼  -,
天平花苑 实用2房 光线好 免缴增值税,单价16843元/平米,96,| 2室1厅 | 57平米 | 南 | 简装,中楼层(共9层)  1996年建塔楼  -,
中高楼层 厅出阳台 装修保养好 采光无敌,单价23470元/平米,230,| 3室2厅 | 98平米 | 东 | 其他,中楼层(共11层)  1999年建塔楼  -,
侨林苑 带华阳学位 精装两房 方正实用,单价57143元/平米,400,| 2室2厅 | 70平米 | 西 | 简装,中楼层(共22层)  2003年建塔楼  -,
泰然楼 证满两年南向采光通风好 看房方便,单价22220元/平米,205,| 2室2厅 | 92.26平米 | 南 | 其他,中楼层(共10层)  1998年建塔楼  -,
天诚广场 实用两房 诚意放卖,单价36145元/平米,300,| 2室1厅 | 83平米 | 东北 | 简装,中楼层(共25层)  1998年建塔楼  -,
陶苑小区 实用两房  两个超大阳台,单价15807元/平米,98,| 2室1厅 | 62平米 | 北 | 其他,低楼层(共9层)  1993年建塔楼  -,
天河北 华标广场 精装2房 舒适安静,单价47312元/平米,440,| 2室2厅 | 93平米 | 东北 | 其他,高楼层(共22层)  2003年建塔楼  -,
汇景新城 特色户型 精装三房 可改四房,单价43750元/平米,700,| 3室2厅 | 160平米 | 北 | 精装,高楼层(共22层)  2011年建塔楼  -,
文苑花园 东南两房 总价低 安静舒适,单价32877元/平米,240,| 2室2厅 | 73平米 | 东南 | 简装,中楼层(共15层)  2000年建塔楼  -,
跑马地花园 两室一厅 采光通风好,单价31708元/平米,260,| 2室1厅 | 82平米 | 西 | 其他,低楼层(共32层)  1999年建塔楼  -,
富力公园28 不限购商住楼 非常新静,单价34161元/平米,515,| 3室2厅 | 150.76平米 | 西北 | 其他,低楼层(共48层)  2012年建塔楼  -,
棠德花园 南北对流 单边楼王 住家首选,单价16936元/平米,105,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共9层)  1997年建塔楼  -,
福龙苑 望小区花园 性价比超高 东向两房,单价18065元/平米,112,| 2室2厅 | 62平米 | 东 | 其他,高楼层(共9层)  1990年建塔楼  -,
棠德花园 视野开阔 房型佳,单价16405元/平米,146,| 3室2厅 | 89平米 | 西 | 其他,高楼层(共9层)  1997年建塔楼  -,
天朗明居 精装南向两房 看房方便,单价26429元/平米,185,| 2室2厅 | 70平米 | 南 | 简装,低楼层(共18层)  2001年建塔楼  -,
雅怡居 精致小两房 南向 安静 配套完善,单价17600元/平米,88,| 2室1厅 | 50平米 | 南 | 简装,中楼层(共9层)  2000年建塔楼  -,
东圃 公安宿舍 大两房 采光好,单价17888元/平米,145,| 2室1厅 | 81.06平米 | 西 | 其他,中楼层(共9层)  1980年建塔楼  -,
隽峰苑 江景小三房 南向高层 保养新净,单价70000元/平米,616,| 3室2厅 | 88平米 | 南 | 精装,中楼层(共32层)  2008年建塔楼  -,
南国嘉园 精装大单间 采光通风好,单价29240元/平米,70,| 1室0厅 | 23.94平米 | 北 | 精装,高楼层(共24层)  2005年建塔楼  -,
骏景花园 豪华标准4房,单价30000元/平米,435,| 4室2厅 | 145平米 | 北 | 简装,中楼层(共13层)  2000年建塔楼  -,
珠江俊园 东北向安静 精装三房,单价40323元/平米,500,| 3室2厅 | 124平米 | 东北 | 简装,低楼层(共28层)  2007年建塔楼  -,
天河 员村11号大院 精致小两房,单价19768元/平米,85,| 2室1厅 | 43平米 | 南 | 简装,低楼层(共6层)  1994年建塔楼  -,
富力新村 3房2厅 总价低 值得投资,单价17683元/平米,145,| 3室2厅 | 82平米 | 东北 | 其他,低楼层(共9层)  1994年建塔楼  -,
华标广场 4室2厅 600万,单价36364元/平米,600,| 4室2厅 | 165平米 | 北 | 简装,低楼层(共30层)  2003年建塔楼  -,
东圃广场 稀缺小三房 首次置业的优质选择,单价23822元/平米,182,| 3室1厅 | 76.4平米 | 南 | 简装,中楼层(共11层)  1999年建塔楼  -,
富力公园28 商住两用 可注册办公有明火,单价43000元/平米,1178.2,| 4室2厅 | 274平米 | 南 | 简装,高楼层(共48层)  2012年建塔楼  -,
隆基怡苑 正规3房 户型方正实用 光线好,单价24176元/平米,220,| 3室2厅 | 91平米 | 东南 | 简装,高楼层(共17层)  1999年建塔楼  -,
高胜花园 环境舒适,单价20000元/平米,130,| 3室1厅 | 65平米 | 西南 | 其他,低楼层(共9层)  2000年建塔楼  -,
福金莲花园 方正1房 采光好 交通便利,单价27500元/平米,110,| 1室1厅 | 40平米 | 西南 | 简装,中楼层(共10层)  1999年建塔楼  -,
协和新世界两房 户型方正 花园式小区,单价50000元/平米,420,| 2室2厅 | 84平米 | 南 | 其他,低楼层(共33层)  2008年建塔楼  -,
东晖花园 复式大四房 学位房,单价39025元/平米,800,| 5室2厅 | 205平米 | 东北 | 精装,高楼层(共10层)  1999年建塔楼  -,
侨怡苑  华阳学位  温馨大三房,单价42781元/平米,400,| 3室2厅 | 93.5平米 | 东北 | 简装,低楼层(共9层)  1992年建塔楼  -,
中怡城市花园 大三房 厅出阳台,单价57895元/平米,660,| 3室2厅 | 114平米 | 北 | 简装,高楼层(共33层)  2002年建塔楼  -,
富力花园 户型方正 采光充足 随时看房,单价13433元/平米,90,| 3室2厅 | 67平米 | 南 | 其他,中楼层(共6层)  1999年建塔楼  -,
骏景花园  骏杨轩  南向复式,单价28307元/平米,535,| 4室2厅 | 189平米 | 南 | 精装,高楼层(共13层)  2000年建塔楼  -,
棠德花园 稀奇小户型 诚心出售,单价18000元/平米,81,| 2室1厅 | 45平米 | 北 | 其他,高楼层(共9层)  1997年建塔楼  -,
仙湖名苑 精致三房 南向靓向 通风采光好,单价38889元/平米,350,| 3室1厅 | 90平米 | 南 | 简装,高楼层(共24层)  2003年建塔楼  -,
棠德花园 复式两房 改变一层不变的生活,单价14198元/平米,115,| 2室1厅 | 81平米 | 西南 | 简装,高楼层(共9层)  1997年建塔楼  -,
沁园春 西南向三房 安静望花园,单价46800元/平米,468,| 3室2厅 | 100平米 | 西南 | 其他,高楼层(共28层)  2004年建塔楼  -,
东向两房  装修保养好 带省级学位,单价56819元/平米,500,| 2室2厅 | 88平米 | 东 | 简装,高楼层(共30层)  2011年建塔楼  -,
锦明街小区 精装两房 南向通风采光好,单价22840元/平米,185,| 2室2厅 | 81平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
采光一般 靠近地铁 周边配套齐全,单价14652元/平米,63,| 1室1厅 | 43平米 | 南 | 其他,中楼层(共9层)  2003年建塔楼  -,
华康学位房 四室三厅 朝南采光赞,单价27000元/平米,437.4,| 4室2厅 | 162平米 | 东南 | 简装,中楼层(共8层)  1994年建塔楼  -,
德荣小区 实用两房 可改三房 新装修,单价43750元/平米,420,| 2室1厅 | 96平米 | 西北 | 其他,高楼层(共18层)  1995年建塔楼  -,
