name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
锦绣生态园春满园 大三房 送私人露台,单价12322元/平米,138,| 3室2厅 | 112平米 | 东北 | 精装,高楼层(共6层)  2001年建塔楼  -,
星河湾南向对流三房 装修保养好 看房方便,单价25000元/平米,320,| 3室2厅 | 128平米 | 东南 | 简装,中楼层(共9层)  2001年建塔楼  -,
雅悦庭 东南向湖景精装两房 高层过两年,单价23244元/平米,175,| 2室2厅 | 75.29平米 | 东南 | 简装,高楼层(共9层)  2010年建塔楼  -,
丽江花园 新装修三房 带平台,单价14773元/平米,130,| 3室2厅 | 88平米 | 西南 | 简装,低楼层(共9层)  2008年建塔楼  -,
丽江花园星海洲 保养新  温馨两房,单价18182元/平米,120,| 2室1厅 | 66平米 | 西南 | 简装,低楼层(共25层)  2008年建塔楼  -,
丽江花园左岸 超大平层 精装修保养好,单价18147元/平米,470,| 6室2厅 | 259平米 | 西南 | 其他,高楼层(共18层)  2008年建塔楼  -,
鸿禧华庭 精装修 市桥一等一小区物业放卖,单价22917元/平米,275,| 3室2厅 | 120平米 | 南 | 精装,高楼层(共25层)  2004年建塔楼  -,
锦绣香江紫藤园联排别墅 精装修 安静首选,单价29700元/平米,395,| 3室2厅 | 133平米 | 南 | 精装,低楼层(共1层)  2004年建  -,
彩虹花园 保养好 业主诚意出售修改房评,单价13077元/平米,85,| 2室1厅 | 65平米 | 南 | 简装,高楼层(共7层)  2000年建塔楼  -,
南浦长大公司 实惠房 业主急售 黄金楼层,单价12000元/平米,90,| 2室2厅 | 75平米 | 南 | 其他,低楼层(共8层)  2002年建塔楼  -,
丽江康城居 方正两房 西南向保养好,单价17143元/平米,120,| 2室2厅 | 70平米 | 西南 | 简装,低楼层(共9层)  1999年建塔楼  -,
锦绣生态园 旧式电梯楼 极佳观景,单价10976元/平米,90,| 3室2厅 | 82平米 | 东 | 精装,中楼层(共12层)  1993年建塔楼  -,
雅居乐物业锦官城全新毛坯三房,单价15105元/平米,145,| 3室2厅 | 96平米 | 东北 | 其他,高楼层(共18层)  2011年建塔楼  -,
锦绣生态园倚翠苑 复式电梯楼 超值单价,单价15117元/平米,260,| 5室3厅 | 172平米 | 北 | 简装,高楼层(共11层)  2001年建塔楼  -,
地铁上盖 南向大三房 采光通风一流,单价7810元/平米,97,| 3室1厅 | 124.2平米 | 南 | 其他,高楼层(共8层)  1994年建塔楼  -,
锦绣生态园菁华轩 北向71平2室,单价12958元/平米,92,| 2室2厅 | 71平米 | 北 | 简装,高楼层(共6层)  2001年建塔楼  -,
祈福翠怡居 南向单位 三房两卫 过5年,单价15340元/平米,158,| 3室2厅 | 103平米 | 南 | 其他,低楼层(共5层)  1995年建塔楼  -,
一线江景单位高楼层无遮挡住宅小区,单价18182元/平米,280,| 4室2厅 | 154平米 | 东南 | 毛坯,高楼层(共26层)  2009年建塔楼  -,
桥福园 绿化优美,单价10744元/平米,130,| 4室1厅 | 121平米 | 东南 | 简装,高楼层(共6层)  2000年建塔楼  -,
祈福新村C区南向过两年,单价11233元/平米,82,| 3室2厅 | 73平米 | 南 | 简装,中楼层(共4层)  1995年建塔楼  -,
阳光城 单身公寓 投资首选 低门槛,单价15500元/平米,62,| 1室1厅 | 40平米 | 南 | 简装,中楼层(共6层)  1990年建塔楼  -,
锦绣生态园雅典花园 82方3房出售,单价10122元/平米,83,| 3室1厅 | 82平米 | 东北 | 简装,高楼层(共12层)  1993年建塔楼  -,
旭晖园4房出售，送60平米大阳台！,单价9566元/平米,110,| 4室2厅 | 115平米 | 南 | 精装,中楼层(共8层)  2002年建塔楼  -,
广州雅居乐花园 御景峰独立别墅 超大花园,单价48889元/平米,2200,| 6室2厅 | 450平米 | 东 | 精装,低楼层(共1层)  2010年建  -,
丽江花园 丽字楼高层2房8字厅 保养好,单价14844元/平米,95,| 2室1厅 | 64平米 | 西南 | 简装,高楼层(共9层)  2008年建塔楼  -,
丽江花园 品质三房  一步到位,单价14517元/平米,135,| 3室2厅 | 93平米 | 西南 | 简装,低楼层(共9层)  2008年建塔楼  -,
锦绣生态园 刚需两房出售,单价13408元/平米,120,| 3室2厅 | 89.5平米 | 南 | 简装,高楼层(共6层)  2001年建塔楼  -,
祈福新村A区别墅 南向 带大花园,单价20053元/平米,385,| 4室2厅 | 192平米 | 南 | 其他,低楼层(共1层)  1995年建  -,
祈福新村D区 南向 温馨舒适大两房,单价16667元/平米,95,| 2室2厅 | 57平米 | 南 | 精装,低楼层(共4层)  1995年建塔楼  -,
祈福新村 蝶舞轩 南北对流 配套齐全,单价15284元/平米,105,| 2室2厅 | 68.7平米 | 北 | 精装,中楼层(共6层)  1995年建塔楼  -,
星河湾 三期高层园景洋房 精装修单位,单价22785元/平米,360,| 3室2厅 | 158平米 | 南 | 其他,低楼层(共9层)  2001年建塔楼  -,
祈福新村 92平方米 户型3室2厅1厨,单价13853元/平米,128,| 3室2厅 | 92.4平米 | 南 | 其他,中楼层(共4层)  1995年建塔楼  -,
金海岸花园聚湖 送30平米花园 过两年,单价20000元/平米,200,| 3室2厅 | 100平米 | 南 | 其他,低楼层(共17层)  2002年建塔楼  -,
华林居 豪华三房 带大露台 精装 保养新,单价16484元/平米,230,| 3室2厅 | 139.53平米 | 西北 | 精装,高楼层(共6层)  2008年建塔楼  -,
锦绣生态园乐满园南向复式单位,单价13010元/平米,268,| 5室2厅 | 206平米 | 南 | 精装,高楼层(共6层)  2001年建塔楼  -,
广州雅居乐花园 十年小雅,单价26405元/平米,235,| 3室2厅 | 89平米 | 东北 | 简装,低楼层(共33层)  2010年建塔楼  -,
广州碧桂园 二期实用两房 简装修,单价16912元/平米,115,| 2室2厅 | 68平米 | 东北 | 简装,中楼层(共6层)  1998年建塔楼  -,
诺德名都 毛坯四房 随意装修,单价19608元/平米,200,| 3室2厅 | 102平米 | 西北 | 毛坯,低楼层(共30层)  2004年建塔楼  -,
康城居 温馨2房 近地铁,单价17362元/平米,125,| 2室2厅 | 72平米 | 西南 | 其他,高楼层(共9层)  1999年建塔楼  -,
温馨两房出售 学区房带车位 毛坯随意装修,单价19790元/平米,188,| 2室2厅 | 95平米 | 东北 | 其他,高楼层(共18层)  2001年建塔楼  -,
北丽园 地铁上,单价8824元/平米,120,| 3室2厅 | 136平米 | 南 | 简装,高楼层(共7层)  1995年建塔楼  -,
祈福新村 海晴居 温馨2房放租！,单价19167元/平米,115,| 2室2厅 | 60平米 | 南 | 精装,高楼层(共6层)  1995年建塔楼  -,
祈福新村湖景居2房出售,单价13514元/平米,100,| 2室2厅 | 74平米 | 北 | 精装,高楼层(共4层)  1995年建塔楼  -,
精装修两房 楼王望花园 采光极好,单价17324元/平米,123,| 2室2厅 | 71平米 | 北 | 简装,高楼层(共7层)  1999年建塔楼  -,
79方精致小两房,单价13925元/平米,110,| 2室2厅 | 79平米 | 北 | 简装,中楼层(共11层)  2004年建塔楼  -,
星河湾荟心园对流一线园景物业 中高靓装修,单价26471元/平米,900,| 5室3厅 | 340平米 | 南 | 精装,中楼层(共8层)  2001年建塔楼  -,
锦绣香江 华府二期大户型,单价25394元/平米,226,| 2室2厅 | 89平米 | 南 | 精装,低楼层(共23层)  2004年建塔楼  -,
诺德名都大四房 格局方正 阳光充足,单价19026元/平米,293,| 4室2厅 | 154平米 | 南 | 毛坯,中楼层(共33层)  塔楼  -,
丽江花园 丽字楼 温馨两房 近地铁配套齐,单价14394元/平米,95,| 2室1厅 | 66平米 | 西北 | 简装,低楼层(共9层)  2008年建塔楼  -,
祈福新村迎风阁 温馨大两房 新婚首选,单价14118元/平米,120,| 2室2厅 | 85平米 | 北 | 简装,低楼层(共32层)  2005年建塔楼  -,
复式公寓带精装修,单价15044元/平米,173,| 3室3厅 | 115平米 | 南 | 其他,高楼层(共21层)  塔楼  -,
中心城白领首选 毛坯房 交通便利 格局好,单价15040元/平米,77,| 1室1厅 | 51.2平米 | 北 | 毛坯,低楼层(共18层)  2004年建塔楼  -,
业主换房出售 南北向新装 带学位,单价21924元/平米,228,| 3室2厅 | 104平米 | 南 | 其他,高楼层(共29层)  2013年建塔楼  -,
广州碧桂园 二期80方 大两房,单价17500元/平米,140,| 2室2厅 | 80平米 | 东北 | 其他,高楼层(共6层)  1998年建塔楼  -,
怡景花园 东向望园景单位 中高楼层,单价15000元/平米,150,| 3室1厅 | 100平米 | 东 | 简装,高楼层(共23层)  2004年建塔楼  -,
) 祈福新村D区 南向精致两房带露台,单价12116元/平米,63,| 2室1厅 | 52平米 | 南 | 其他,高楼层(共4层)  1995年建塔楼  -,
朗陶居 精装三房 越式,单价11646元/平米,92,| 3室2厅 | 79平米 | 北 | 简装,高楼层(共7层)  2001年建塔楼  -,
锦绣趣园 6楼大两房 北向单位 价格优惠,单价12074元/平米,99,| 2室2厅 | 82平米 | 东北 | 简装,高楼层(共6层)  2001年建塔楼  -,
锦绣生态园 大两房格局 三楼西南向,单价13168元/平米,106,| 2室2厅 | 80.5平米 | 西南 | 简装,中楼层(共6层)  2001年建塔楼  -,
北丽园 地铁口 普通装修 低总价,单价8364元/平米,92,| 3室2厅 | 110平米 | 南 | 简装,高楼层(共7层)  1995年建塔楼  -,
祈福新村 绿怡居 温馨两房 性价比高,单价15295元/平米,78,| 2室2厅 | 51平米 | 北 | 精装,中楼层(共4层)  1995年建塔楼  -,
丽江花园 星海州 精致两方 业主急售,单价16667元/平米,110,| 2室2厅 | 66平米 | 东南 | 简装,低楼层(共25层)  2008年建塔楼  -,
华南碧桂园 六米阳光 南向四房,单价16418元/平米,330,| 4室2厅 | 201平米 | 南 | 简装,低楼层(共18层)  2001年建塔楼  -,
华南碧桂园翠山蓝天 2房2厅 采光充足,单价19802元/平米,200,| 2室2厅 | 101平米 | 北 | 精装,中楼层(共8层)  2001年建塔楼  -,
菁华轩 三房出售 采光好,单价13077元/平米,170,| 3室2厅 | 130平米 | 东南 | 其他,高楼层(共6层)  2001年建塔楼  -,
祈福新村 活力花园两房放卖 过两年保养好,单价14803元/平米,90,| 2室2厅 | 60.8平米 | 东 | 简装,低楼层(共21层)  1995年建塔楼  -,
祈福新村 月明轩 格局最宽 临近名校,单价16130元/平米,150,| 3室2厅 | 93平米 | 北 | 精装,高楼层(共6层)  1995年建塔楼  -,
诺德中心城 90方 大两房 毛坯待装,单价17416元/平米,155,| 2室2厅 | 89平米 | 南 | 毛坯,高楼层(共18层)  2004年建塔楼  -,
石桥新村 南北对流 不靠路 赠送大露台,单价8659元/平米,71,| 2室2厅 | 82平米 | 南 | 精装,中楼层(共7层)  1995年建塔楼  -,
中海蓝湾 高层一线江景单位 过2年税费低,单价25770元/平米,335,| 3室2厅 | 130平米 | 南 | 精装,高楼层(共36层)  2003年建塔楼  -,
钟村商贸城 地铁口旁物业 升值空间大,单价9269元/平米,38,| 1室1厅 | 41平米 | 暂无数据 | 其他,低楼层(共9层)  1990年建塔楼  -,
一尺山居小三房 全新豪华装修 送车位,单价27000元/平米,270,| 3室2厅 | 100平米 | 南 | 其他,低楼层(共23层)  2010年建塔楼  -,
雅悦复式诚心出售 带露台送车位 东南靓相,单价23973元/平米,350,| 4室2厅 | 146平米 | 东南 | 精装,高楼层(共9层)  2010年建塔楼  -,
锦绣生态园乐满园精装南向2房出售,单价13995元/平米,99,| 2室2厅 | 70.74平米 | 南 | 精装,高楼层(共6层)  2001年建塔楼  -,
广州雅居乐花园 御景峰独立别墅 超大花园,单价40817元/平米,2000,| 5室2厅 | 490平米 | 南 | 精装,低楼层(共1层)  2010年建  -,
丽字楼 三房 高层单位,单价15341元/平米,135,| 3室2厅 | 88平米 | 西北 | 简装,高楼层(共9层)  2008年建塔楼  -,
长江数码花园 跳楼价业主急卖 实在价格,单价14755元/平米,90,| 2室2厅 | 61平米 | 南 | 精装,低楼层(共6层)  2000年建塔楼  -,
市桥南 海伦堡御院 证满5年 中间位置,单价17234元/平米,710,| 6室2厅 | 412平米 | 南 | 其他,低楼层(共13层)  2005年建塔楼  -,
诺德名都 小区环境优美 南向电梯房,单价18261元/平米,168,| 3室2厅 | 92平米 | 南 | 精装,低楼层(共30层)  2004年建塔楼  -,
广州雅居乐花园 新地沁园 南北对流三房,单价26447元/平米,320,| 3室2厅 | 121平米 | 南 | 其他,高楼层(共11层)  2010年建塔楼  -,
星河湾 南北对流 带工人房 保养好,单价22528元/平米,410,| 4室2厅 | 182平米 | 南 | 精装,低楼层(共9层)  2001年建塔楼  -,
丽江花园 丽字楼 高楼层 装修新 过五,单价14849元/平米,98,| 2室1厅 | 66平米 | 西北 | 简装,高楼层(共9层)  2008年建塔楼  -,
自在明苑 89方实用大两房 采光好,单价16293元/平米,145,| 2室2厅 | 89平米 | 北 | 简装,中楼层(共10层)  2004年建塔楼  -,
湖景居精致两房 保养新净 带大露台,单价14656元/平米,85,| 2室2厅 | 58平米 | 北 | 其他,高楼层(共4层)  1995年建塔楼  -,
东怡新区东裕园3房中楼层少有放盘,单价13000元/平米,156,| 3室2厅 | 120平米 | 南 | 简装,中楼层(共7层)  2000年建塔楼  -,
市桥南 华景新城 景观开阔 送天台,单价11651元/平米,120,| 3室2厅 | 103平米 | 北 | 精装,高楼层(共7层)  1999年建塔楼  -,
广州雅居乐花园新地沁园 3室2厅 220万,单价25582元/平米,220,| 3室2厅 | 86平米 | 东北 | 精装,高楼层(共18层)  2010年建塔楼  -,
祈福新村青怡居 一楼北向 带大花园,单价18621元/平米,108,| 2室2厅 | 58平米 | 北 | 其他,低楼层(共5层)  1995年建塔楼  -,
祈福新村 倚湖街 黄金楼层南北对流,单价19278元/平米,160,| 2室2厅 | 83平米 | 北 | 其他,中楼层(共4层)  1995年建塔楼  -,
洛溪新城吉祥南街 近地铁 学区房 南北向,单价11380元/平米,99,| 3室2厅 | 87平米 | 南 | 简装,中楼层(共7层)  1993年建塔楼  -,
锦绣生态园乐满园 保养好,单价16049元/平米,160,| 3室2厅 | 99.7平米 | 西北 | 简装,低楼层(共6层)  2001年建塔楼  -,
诺德名都 豪装三房 户型方正 南北通透修,单价25000元/平米,250,| 3室2厅 | 100平米 | 南 | 精装,中楼层(共30层)  2004年建塔楼  -,
金海岸花园聚湖 三房 毛坯房,单价17347元/平米,170,| 3室2厅 | 98平米 | 南 | 其他,低楼层(共18层)  2002年建塔楼  -,
朗陶居正南向两房单位 精装修 带学位,单价13125元/平米,105,| 2室2厅 | 80平米 | 南 | 简装,中楼层(共6层)  2001年建塔楼  -,
北区大三房,单价12500元/平米,135,| 3室2厅 | 108平米 | 西北 | 简装,高楼层(共8层)  1997年建塔楼  -,
星河湾悦心园 园景单位 保养一流修改房评,单价23031元/平米,380,| 3室2厅 | 165平米 | 南 | 精装,低楼层(共9层)  2001年建塔楼  -,
广州雅居乐花园 灏湖居 精装修 大花园,单价45284元/平米,1440,| 5室2厅 | 318平米 | 南 | 简装,低楼层(共1层)  2010年建  -,
鸿禧华庭 精装修 市桥一等一小区物业,单价26437元/平米,230,| 2室1厅 | 87平米 | 北 | 精装,高楼层(共25层)  2004年建塔楼  -,
锦绣生态园 电梯小三房 园景单位,单价10366元/平米,85,| 3室1厅 | 82平米 | 东 | 简装,低楼层(共12层)  1993年建塔楼  -,
丽江花园 顶层东南2房 保养好低首付,单价14213元/平米,93.8,| 2室2厅 | 66平米 | 东南 | 简装,高楼层(共9层)  2008年建塔楼  -,
丽江花园左岸 望江电梯高层 方正两房此房,单价20371元/平米,220,| 2室2厅 | 108平米 | 西南 | 其他,中楼层(共16层)  2008年建塔楼  -,
【满堂红链家】市桥地铁口物业 投资笋盘,单价13018元/平米,220,| 3室2厅 | 169平米 | 东 | 简装,低楼层(共28层)  1995年建塔楼  -,
北丽园,近地铁,地段繁华,交通便利,单价11047元/平米,95,| 2室1厅 | 86平米 | 南 | 简装,中楼层(共7层)  1995年建塔楼  -,
锦绣生态园趣园南街 二楼115平出售,单价13158元/平米,150,| 3室2厅 | 114平米 | 南 | 简装,中楼层(共6层)  2001年建塔楼  -,
锦绣生态园 温馨小三房 保养新净,单价10976元/平米,90,| 3室2厅 | 82平米 | 北 | 简装,中楼层(共12层)  1993年建塔楼  -,
绿庭雅苑 三房 带天台花园 业主急卖,单价10569元/平米,93,| 3室2厅 | 88平米 | 北 | 简装,高楼层(共7层)  2005年建塔楼  -,
市桥地铁旁最高性价比电梯房 刚需两房,单价13828元/平米,112,| 2室2厅 | 81平米 | 北 | 简装,中楼层(共28层)  2000年建塔楼  -,
丽江花园 丽字楼经典3房 业主诚意出售,单价15341元/平米,135,| 3室2厅 | 88平米 | 西北 | 简装,高楼层(共9层)  2008年建塔楼  -,
市桥南 阳光城 精装修 格局方正,单价11719元/平米,75,| 2室1厅 | 64平米 | 南 | 简装,高楼层(共7层)  1990年建塔楼  -,
彩虹楼 户型方正 实用两房 地铁上盖,单价14674元/平米,92,| 2室2厅 | 62.7平米 | 东 | 其他,中楼层(共8层)  2000年建塔楼  -,
祈福新村海晴居 温馨3房 价钱实惠,单价17470元/平米,145,| 3室2厅 | 83平米 | 南 | 简装,高楼层(共6层)  1995年建塔楼  -,
店长推荐！祈福210万元好小区!性价比高,单价14483元/平米,210,| 4室2厅 | 145平米 | 西 | 简装,高楼层(共35层)  2005年建塔楼  -,
广州雅居乐花园 雅翠庭高层三房,单价19197元/平米,215,| 3室2厅 | 112平米 | 西北 | 精装,中楼层(共11层)  2010年建塔楼  -,
东华花园 低楼层 近地铁 户型方正,单价14286元/平米,110,| 3室2厅 | 77平米 | 南 | 简装,低楼层(共7层)  2010年建塔楼  -,
三房出售 精装修 业主急售,单价14510元/平米,148,| 3室2厅 | 102平米 | 西北 | 精装,中楼层(共19层)  1995年建塔楼  -,
东景园四房正南向靓装修低价还送60方露台,单价18437元/平米,250,| 4室2厅 | 135.6平米 | 南 | 其他,低楼层(共9层)  2000年建塔楼  -,
可逸江畔 大面积户型 位置佳 采光好,单价23099元/平米,328,| 3室2厅 | 142平米 | 南 | 其他,中楼层(共13层)  2012年建塔楼  -,
祈福新村倚湖湾 一手业主免税单位,单价16837元/平米,165,| 3室2厅 | 98平米 | 北 | 其他,低楼层(共33层)  1995年建塔楼  -,
锦绣香江布查特国际公寓 景观优美,单价21023元/平米,185,| 1室1厅 | 88平米 | 南 | 精装,中楼层(共23层)  2004年建塔楼  -,
祈福新村天湖居 精致2房单位 豪华装修,单价15325元/平米,118,| 2室2厅 | 77平米 | 西南 | 简装,中楼层(共19层)  1995年建塔楼  -,
生态园 三房出售靓装,单价12681元/平米,123,| 3室2厅 | 97平米 | 北 | 简装,高楼层(共6层)  2001年建塔楼  -,
祈福新村E区 精致小三房,单价15653元/平米,108,| 3室1厅 | 69平米 | 南 | 其他,中楼层(共4层)  1995年建塔楼  -,
怡居新村 低层三房带两个铺面 免营业税,单价11364元/平米,100,| 3室2厅 | 88平米 | 北 | 简装,低楼层(共7层)  1995年建塔楼  -,
云山诗意 通透四房 地铁上盖 移民放售,单价16240元/平米,190,| 4室2厅 | 117平米 | 北 | 其他,高楼层(共32层)  塔楼  -,
祈福新村青怡居舒适南向三房,单价15464元/平米,150,| 3室2厅 | 97平米 | 南 | 简装,高楼层(共5层)  1995年建塔楼  -,
华南碧桂园 大三房 装修好 保养新 税少,单价18301元/平米,280,| 3室2厅 | 153平米 | 西北 | 精装,高楼层(共11层)  2001年建塔楼  -,
广碧温馨实用68方两房 保养新净 家电齐,单价20265元/平米,138,| 2室1厅 | 68.1平米 | 东南 | 其他,高楼层(共7层)  1998年建塔楼  -,
祈福新村 翠湖居 南北对流格局明亮,单价13810元/平米,145,| 3室2厅 | 105平米 | 北 | 简装,高楼层(共6层)  1995年建塔楼  -,
星河湾悦心园对流一线园景物业 高层靓装修,单价22054元/平米,580,| 5室2厅 | 263平米 | 南 | 精装,高楼层(共9层)  2001年建塔楼  -,
联排别墅 靠近学校 户型实用,单价19062元/平米,650,| 7室2厅 | 341平米 | 北 | 精装,低楼层(共1层)  2001年建  -,
富华中路小区 户型方正实用三房 近地铁站,单价9167元/平米,88,| 3室2厅 | 96平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
星河湾 国际公寓 高楼层,单价16038元/平米,85,| 1室1厅 | 53平米 | 南 | 精装,中楼层(共18层)  2003年建塔楼  -,
南国奥园电梯三房 近地铁 望高尔夫球场,单价22019元/平米,240,| 3室2厅 | 109平米 | 东 | 简装,低楼层(共17层)  2006年建塔楼  -,
云山诗意 小区环境优美 出行方便,单价16217元/平米,180,| 4室2厅 | 111平米 | 东 | 其他,低楼层(共32层)  塔楼  -,
星河湾 一期高层江景 精装修单位,单价23438元/平米,300,| 3室2厅 | 128平米 | 南 | 精装,高楼层(共9层)  2001年建塔楼  -,
交通方便，绿化好，楼下有学校,单价20721元/平米,460,| 4室2厅 | 222平米 | 东 | 其他,高楼层(共18层)  2001年建塔楼  -,
怡居新村 带重点学位 关帝公园旁,单价11474元/平米,102,| 3室2厅 | 88.9平米 | 北 | 其他,中楼层(共7层)  1995年建塔楼  -,
祈福新村康怡居 实用两房 视野开阔,单价14926元/平米,100,| 2室2厅 | 67平米 | 南 | 简装,高楼层(共6层)  1995年建塔楼  -,
祈福新村青怡居 温馨两房单位 置业首选,单价14359元/平米,84,| 2室2厅 | 58.5平米 | 北 | 简装,中楼层(共5层)  1995年建塔楼  -,
祈福新村 A区 家电齐全 温馨别墅,单价15105元/平米,290,| 5室2厅 | 192平米 | 南 | 其他,低楼层(共1层)  1995年建  -,
祈福新村倚云居 舒适两房 采光好,单价15295元/平米,130,| 2室1厅 | 85平米 | 西 | 精装,中楼层(共35层)  2004年建塔楼  -,
祈福新村 A区 顶楼单位,单价12239元/平米,82,| 2室1厅 | 67平米 | 北 | 精装,低楼层(共3层)  1995年建塔楼  -,
复式五房 新装修 生态小区,单价17840元/平米,360,| 5室2厅 | 201.8平米 | 西北 | 简装,高楼层(共9层)  1999年建塔楼  -,
祈福新村A区精装两房,单价11819元/平米,78,| 2室2厅 | 66平米 | 南 | 精装,低楼层(共3层)  1995年建塔楼  -,
祈福新村 D区 大两房 业主用心装修,单价14036元/平米,80,| 2室1厅 | 57平米 | 北 | 简装,低楼层(共4层)  1995年建塔楼  -,
祈福新村海晴居实用三房,单价15790元/平米,120,| 3室2厅 | 76平米 | 北 | 简装,高楼层(共6层)  1995年建塔楼  -,
祈福新村 D区 大两房 业主用心装修,单价11725元/平米,68,| 2室2厅 | 58平米 | 北 | 简装,中楼层(共4层)  1995年建塔楼  -,
侨联社区新城区 市桥中心位置 小三房,单价7378元/平米,45,| 3室1厅 | 61平米 | 暂无数据 | 其他,高楼层(共5层)  1993年建塔楼  -,
装修很温馨，户型方正，新婚投资首选,单价15167元/平米,72.8,| 2室2厅 | 48平米 | 南 | 简装,高楼层(共4层)  1995年建塔楼  -,
祈福新村 青怡居 南向,单价18104元/平米,105,| 2室2厅 | 58平米 | 南 | 简装,低楼层(共5层)  1995年建塔楼  -,
丽江花园 实用三房采光好证过2年唯一房,单价15341元/平米,135,| 3室1厅 | 88平米 | 西南 | 精装,低楼层(共9层)  2008年建塔楼  -,
广州雅居乐花园 剑桥郡御林街 精装修三房,单价24779元/平米,280,| 3室2厅 | 113平米 | 南 | 精装,中楼层(共30层)  2010年建塔楼  -,
祈福新村迎风三房 电梯楼推荐,单价15888元/平米,170,| 3室2厅 | 107平米 | 东 | 精装,中楼层(共35层)  2005年建塔楼  -,
翠山蓝天别墅 340方保养好 售750万,单价20589元/平米,700,| 6室2厅 | 340平米 | 北 | 简装,低楼层(共1层)  2001年建  -,
丽字楼 新精装修 东南向,单价16500元/平米,165,| 3室2厅 | 100平米 | 西南 | 精装,高楼层(共9层)  2008年建塔楼  -,
福泰园 安静舒适 框架结构室内由你自己设,单价13393元/平米,75,| 2室1厅 | 56平米 | 南 | 其他,高楼层(共7层)  1995年建塔楼  -,
广州雅居乐花园 豪气三房 保养新净,单价19106元/平米,235,| 3室2厅 | 123平米 | 东北 | 简装,中楼层(共11层)  2010年建塔楼  -,
广州雅居乐花巷 小区环境好 南北对流,单价18687元/平米,370,| 5室2厅 | 198平米 | 南 | 精装,高楼层(共6层)  2010年建塔楼  -,
丽江花园星海洲 装修新净 采光通风好,单价17284元/平米,140,| 2室1厅 | 81平米 | 东北 | 精装,低楼层(共25层)  2008年建塔楼  -,
富丽家园 莲芳园 实用三房,单价11579元/平米,88,| 3室2厅 | 76平米 | 南 | 简装,中楼层(共8层)  1995年建塔楼  -,
新月明珠 户型通透 采光充足空间大。,单价20371元/平米,220,| 3室2厅 | 108平米 | 南 | 精装,低楼层(共23层)  2007年建塔楼  -,
祈福新村康怡居南向四房,单价14000元/平米,175,| 4室2厅 | 125平米 | 北 | 简装,高楼层(共6层)  1995年建塔楼  -,
祈福新村 月明轩南向两方 南北通透采光好,单价15642元/平米,122,| 2室2厅 | 78平米 | 南 | 其他,高楼层(共6层)  1995年建塔楼  -,
广州雅居乐花园 雕刻时光,单价20000元/平米,160,| 2室2厅 | 80平米 | 东北 | 简装,低楼层(共8层)  2010年建塔楼  -,
锦绣生态园 复式211平四室,单价10237元/平米,216,| 4室3厅 | 211平米 | 西南 | 精装,高楼层(共6层)  2001年建塔楼  -,
雅逸庭西南向三房 望园景 证过两年带车位,单价23810元/平米,250,| 3室2厅 | 105平米 | 西南 | 简装,中楼层(共8层)  2010年建塔楼  -,
生态园复式出售,单价10920元/平米,190,| 3室2厅 | 174平米 | 北 | 其他,高楼层(共6层)  2001年建塔楼  -,
锦绣生态园 小区内3房 位置安静,单价13172元/平米,130,| 3室2厅 | 98.7平米 | 东北 | 简装,低楼层(共6层)  2001年建塔楼  -,
广州雅居乐花园时光九篇 交通便利 保养好,单价24272元/平米,250,| 3室2厅 | 103平米 | 西南 | 精装,高楼层(共11层)  2010年建塔楼  -,
丽江花园 生态小区 一线望江 双地铁,单价14926元/平米,100,| 2室2厅 | 67平米 | 西北 | 简装,高楼层(共9层)  2008年建塔楼  -,
洛湖居一楼两房出售 对流通风 格局方正,单价19592元/平米,115,| 2室1厅 | 58.7平米 | 南 | 其他,低楼层(共7层)  1999年建塔楼  -,
翠山蓝天苑 大3房 高楼层 采光好,单价20741元/平米,280,| 3室2厅 | 135平米 | 东南 | 精装,中楼层(共8层)  2001年建塔楼  -,
带花园的一楼洋房 户型方正 随意装修,单价17327元/平米,175,| 3室2厅 | 101平米 | 北 | 毛坯,低楼层(共9层)  2007年建塔楼  -,
丽江花园 中层望花园2房 低总价 入手易,单价15152元/平米,100,| 2室1厅 | 66平米 | 东北 | 简装,中楼层(共9层)  2008年建塔楼  -,
翠云山 豪华别墅 送花园 格局正,单价20070元/平米,580,| 5室2厅 | 289平米 | 北 | 简装,低楼层(共1层)  2001年建  -,
诺德名都 毛坯三房 配套成熟 交通便利,单价19549元/平米,260,| 3室2厅 | 133平米 | 东南 | 毛坯,低楼层(共33层)  2004年建塔楼  -,
诺德名都105方3方 格局方正 阳光充足,单价19524元/平米,205,| 3室2厅 | 105平米 | 西南 | 毛坯,高楼层(共33层)  塔楼  -,
南向三房 生态区 配套成熟,单价18585元/平米,210,| 3室2厅 | 113平米 | 西南 | 其他,高楼层(共5层)  2008年建塔楼  -,
青怡居 精致实惠两房 业主少住 保养很好,单价14036元/平米,80,| 2室2厅 | 57平米 | 北 | 简装,高楼层(共5层)  1995年建塔楼  -,
装修新净 望花园安静,单价23009元/平米,260,| 3室2厅 | 113平米 | 北 | 简装,低楼层(共11层)  2010年建塔楼  -,
丽江花园高层电梯精装3房 地铁上盖,单价13862元/平米,140,| 3室2厅 | 101平米 | 西北 | 其他,高楼层(共9层)  2008年建塔楼  -,
祈福新村 海晴居 南北对流近学校,单价16394元/平米,100,| 2室2厅 | 61平米 | 北 | 其他,高楼层(共6层)  1995年建塔楼  -,
