name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
卫生厅大院 大院管理 黄金楼层可改小三房,单价28338元/平米,190,| 2室2厅 | 67.05平米 | 东 | 精装,中楼层(共8层)  1985年建塔楼  -,
五羊新城 丽景大厦 格局实用 漂亮两房,单价29474元/平米,268,| 2室1厅 | 90.93平米 | 北 | 其他,低楼层(共26层)  1993年建塔楼  -,
有学位，低层单位,单价36264元/平米,330,| 3室1厅 | 91平米 | 东南 | 其他,低楼层(共15层)  塔楼  -,
天伦花园 东北向 三房带主套 居家首选,单价49669元/平米,600,| 3室2厅 | 120.8平米 | 东北 | 简装,高楼层(共22层)  2005年建塔楼  -,
华侨新村 证过2年 有学位,单价33056元/平米,238,| 2室1厅 | 72平米 | 南 | 其他,高楼层(共7层)  1992年建板楼  -,
黄花小学学位笋盘,单价26000元/平米,265.2,| 3室1厅 | 102平米 | 暂无数据 | 其他,低楼层(共9层)  塔楼  -,
德政北路 大户精选 四房三厅两卫,单价21905元/平米,230,| 4室3厅 | 105平米 | 东南 | 简装,中楼层(共9层)  塔楼  -,
文德雅轩 电梯南向三房 配套齐全,单价43590元/平米,510,| 3室2厅 | 117平米 | 南 | 其他,低楼层(共24层)  2005年建塔楼  -,
建设六马路 青菜岗 实用两房,单价28000元/平米,173.6,| 2室1厅 | 62平米 | 南 | 其他,中楼层(共6层)  1990年建塔楼  -,
司马街 实用方正两房,单价22449元/平米,110,| 2室1厅 | 49平米 | 南 | 其他,中楼层(共9层)  1994年建塔楼  -,
保利中环广场 实用两房 装修靓,单价56667元/平米,510,| 2室2厅 | 90平米 | 北 | 其他,中楼层(共36层)  2009年建塔楼  -,
先烈南路 方正两房 地段优越,单价27660元/平米,130,| 2室1厅 | 47平米 | 东 | 其他,低楼层(共9层)  塔楼  -,
东华北路电梯三房 采光一流 入读署前,单价41667元/平米,450,| 3室2厅 | 108平米 | 西南 | 简装,高楼层(共21层)  塔楼  -,
都府小区 独栋私房,单价24801元/平米,217.5,| 3室2厅 | 87.7平米 | 东 | 其他,低楼层(共1层)  1993年建塔楼  -,
五羊小区 安静舒适 省级学位 配套完善,单价27059元/平米,230,| 3室2厅 | 85平米 | 东南 | 精装,中楼层(共8层)  1986年建塔楼  -,
东山紫园 交通方便 环境舒适,单价54859元/平米,700,| 4室2厅 | 127.6平米 | 东北 | 简装,中楼层(共17层)  2005年建塔楼  -,
保利麓苑 实用三房 新装修,单价41936元/平米,390,| 3室2厅 | 93平米 | 北 | 其他,低楼层(共33层)  塔楼  -,
学位房,间隔方正,单价37082元/平米,184,| 2室1厅 | 49.62平米 | 东南 | 其他,低楼层(共9层)  塔楼  -,
丽景台 南向两房 间隔靓 已过五年少税,单价39025元/平米,320,| 2室1厅 | 82平米 | 南 | 其他,低楼层(共34层)  1999年建塔楼  -,
东兴南小区 实用三房 楼梯低层,单价28806元/平米,193,| 3室1厅 | 67平米 | 东南 | 其他,低楼层(共9层)  塔楼  -,
学位房,黄金地段,单价36995元/平米,160,| 2室1厅 | 43.25平米 | 东南 | 其他,低楼层(共9层)  塔楼  -,
淘金家园 清静小区，采光佳的性价高的楼房,单价40741元/平米,220,| 1室1厅 | 54平米 | 东 | 简装,中楼层(共9层)  2003年建塔楼  -,
百灵路私房 独立别墅读名校 独立天台花园,单价29630元/平米,240,| 3室2厅 | 81平米 | 暂无数据 | 其他,低楼层(共1层)  塔楼  -,
五羊小区 东南朝向 精装两房 省级学位,单价28125元/平米,135,| 2室1厅 | 48平米 | 南 | 简装,低楼层(共9层)  1986年建塔楼  -,
海印苑 四房一厅 证满两年,单价29795元/平米,435,| 4室2厅 | 146平米 | 暂无数据 | 其他,高楼层(共9层)  1996年建塔楼  -,
电梯两房，毛坯装修未住过，旺中带静,单价25904元/平米,215,| 2室2厅 | 83平米 | 暂无数据 | 其他,中楼层(共25层)  2000年建塔楼  -,
麓苑路大院楼梯楼中层笋盘诚意出售,单价24325元/平米,180,| 3室1厅 | 74平米 | 南 | 简装,高楼层(共7层)  1996年建塔楼  -,
东环大厦 育才学位 交通方便,单价33153元/平米,305,| 2室1厅 | 92平米 | 北 | 简装,高楼层(共27层)  1998年建塔楼  -,
金麓山庄 标准一房 笋价出售 户型方正,单价25883元/平米,110,| 1室1厅 | 42.5平米 | 西南 | 简装,低楼层(共9层)  2005年建塔楼  -,
建设四马路 建设局房改房 方正2房,单价26000元/平米,156,| 2室1厅 | 60平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
文德北路  电梯楼 室内温馨 吉房出售,单价59595元/平米,350,| 1室1厅 | 58.73平米 | 南 | 其他,低楼层(共35层)  2015年建塔楼  -,
绿怡居 电梯三房 电梯房楼梯价,单价24771元/平米,270,| 3室1厅 | 109平米 | 东南 | 简装,高楼层(共9层)  2003年建塔楼  -,
六榕大厦 市区复式豪宅 天台花园,单价26191元/平米,1100,| 6室3厅 | 420平米 | 西北 | 其他,高楼层(共17层)  1995年建塔楼  -,
横枝岗小区 豪华装修 宁包入住,单价25469元/平米,163,| 3室1厅 | 64平米 | 北 | 其他,低楼层(共9层)  塔楼  -,
三眼井社区 入读名校 小北路小学,单价29715元/平米,245,| 3室1厅 | 82.45平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
中层三房，方正实用，旺中带静，不可不看。,单价26479元/平米,188,| 3室1厅 | 71平米 | 东 | 简装,中楼层(共8层)  塔楼  -,
实用温馨单位 配套完善,单价25975元/平米,200,| 2室1厅 | 77平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
东风东路 钱路头直街 机关房改 小区管理,单价29209元/平米,360,| 4室2厅 | 123.25平米 | 东南 | 简装,低楼层(共9层)  塔楼  -,
龟岗大马路 两房一厅 就读署前小学,单价40000元/平米,360,| 2室1厅 | 90平米 | 东南 | 精装,低楼层(共3层)  塔楼  -,
福今路三房笋盘出售,单价37877元/平米,428,| 3室1厅 | 113平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
西华路越富广场新装两房舒适大两房,单价22389元/平米,180,| 2室1厅 | 80.4平米 | 东南 | 简装,中楼层(共17层)  1997年建塔楼  -,
东华西新街 南向三房,单价35000元/平米,280,| 3室1厅 | 80平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
地铁上盖望湖望江 高端小区,单价45193元/平米,940,| 5室2厅 | 208平米 | 东北 | 其他,高楼层(共31层)  2009年建塔楼  -,
中山三路 一房南向 光线很不错 地铁上盖,单价24286元/平米,85,| 1室1厅 | 35平米 | 暂无数据 | 其他,高楼层(共7层)  塔楼  -,
公园前 实用三房 全明屋 双阳台,单价23903元/平米,196,| 3室1厅 | 82平米 | 东南 | 其他,高楼层(共7层)  塔楼  -,
解放中私房 私房一栋 三层总高,单价20000元/平米,330,| 5室3厅 | 165平米 | 东 | 其他,低楼层(共3层)  塔楼  -,
教育路，细积两房，居家首选,单价25000元/平米,150,| 2室1厅 | 60平米 | 东 | 其他,高楼层(共8层)  塔楼  -,
省级学位 地铁上盖 标准三房,单价35000元/平米,350,| 3室2厅 | 100平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
第一津街 南向 户型方正 急售,单价16982元/平米,90,| 2室1厅 | 53平米 | 南 | 其他,高楼层(共9层)  1994年建塔楼  -,
交通便利，临地铁，配套齐全,单价22024元/平米,185,| 1室1厅 | 84平米 | 南 | 其他,中楼层(共21层)  2006年建塔楼  -,
黄花新村 3房1厅 黄花学位,单价21092元/平米,165,| 3室1厅 | 78.23平米 | 南 | 其他,高楼层(共8层)  1970年建塔楼  -,
省级学位 地铁上盖 格局方正,单价23685元/平米,135,| 2室1厅 | 57平米 | 西 | 其他,中楼层(共9层)  塔楼  -,
省级学位房 南向大两房 中层五楼,单价31250元/平米,150,| 2室1厅 | 48平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
东华西路 安静两房 黄金楼层 过两年,单价28273元/平米,235,| 2室2厅 | 83.12平米 | 南 | 其他,低楼层(共9层)  塔楼  -,
如你所见中层细积见少卖少,单价28616元/平米,75,| 1室1厅 | 26.21平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
仓边路 南向4房双卫 超低总价,单价18868元/平米,200,| 4室2厅 | 106平米 | 暂无数据 | 其他,高楼层(共10层)  塔楼  -,
东兴南路 地铁上盖 电梯两房,单价34286元/平米,240,| 3室1厅 | 70平米 | 东北 | 其他,中楼层(共9层)  1995年建塔楼  -,
君汇世家 花园小区 大气天成 东南靓向,单价57052元/平米,890,| 3室2厅 | 156平米 | 东南 | 精装,中楼层(共30层)  2008年建塔楼  -,
新河浦一横路 方正四室 极少放盘,单价40000元/平米,668,| 4室1厅 | 167平米 | 东北 | 其他,中楼层(共6层)  塔楼  -,
旺中带净 交通方便,单价19697元/平米,130,| 3室1厅 | 66平米 | 南 | 简装,高楼层(共8层)  1989年建塔楼  -,
东风东路大院 东南靓向 省级学位,单价34184元/平米,335,| 3室2厅 | 98平米 | 暂无数据 | 精装,低楼层(共9层)  塔楼  -,
实用温馨单位 配套完善,单价51725元/平米,600,| 5室2厅 | 116平米 | 南 | 其他,高楼层(共7层)  塔楼  -,
水荫西约 大院管理 非常实用 装修保养靓,单价26191元/平米,220,| 2室2厅 | 84平米 | 西 | 简装,中楼层(共8层)  1990年建塔楼  -,
豪华装修 南北对流 可改三房,单价26012元/平米,200,| 2室1厅 | 76.89平米 | 南 | 其他,高楼层(共7层)  塔楼  -,
三元里地铁口 两房格局方正 中高层 厅出,单价10667元/平米,80,| 2室2厅 | 75平米 | 暂无数据 | 简装,高楼层(共9层)  1996年建塔楼  -,
三元里地铁 瑶台花园 新净两房 温馨,单价17648元/平米,120,| 2室1厅 | 68平米 | 暂无数据 | 其他,高楼层(共9层)  1996年建塔楼  -,
麓景路 中层一房 格局方正 环境舒适,单价12000元/平米,66,| 1室1厅 | 55平米 | 南 | 简装,中楼层(共9层)  1992年建塔楼  -,
实用温馨单位 配套完善,单价20267元/平米,152,| 3室2厅 | 75平米 | 东 | 其他,中楼层(共5层)  塔楼  -,
华乐路靓四房 交通便利,单价26852元/平米,290,| 4室2厅 | 108平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
豪贤苑 交通方便 电梯房源,单价36586元/平米,300,| 2室1厅 | 82平米 | 南 | 简装,中楼层(共19层)  2000年建塔楼  -,
国投宿舍 安静大院 豪华大4房,单价37063元/平米,530,| 4室2厅 | 143平米 | 东南 | 精装,低楼层(共25层)  1990年建塔楼  -,
黄田小区 两房出售,单价22500元/平米,180,| 2室2厅 | 80平米 | 西南 | 其他,高楼层(共9层)  1988年建塔楼  -,
华逸锦轩 名校旁 居配套完善 闹中取静,单价41998元/平米,280,| 2室1厅 | 66.67平米 | 西 | 简装,低楼层(共27层)  2004年建塔楼  -,
实用温馨单位 配套完善修改房评,单价20715元/平米,58,| 1室0厅 | 28平米 | 东 | 简装,高楼层(共8层)  塔楼  -,
璟泰大厦 2室2厅 330万,单价37932元/平米,330,| 2室2厅 | 87平米 | 南 | 简装,低楼层(共33层)  2003年建塔楼  -,
建设六马路青菜岗 3室1厅 195万,单价20745元/平米,195,| 3室1厅 | 94平米 | 东南 | 简装,中楼层(共6层)  1990年建塔楼  -,
保利住宅南向一房楼王单位,单价66000元/平米,330,| 1室1厅 | 50平米 | 暂无数据 | 精装,低楼层(共36层)  2009年建塔楼  -,
合群一马路，培正学位，超靓两房，加装电梯,单价44872元/平米,350,| 2室1厅 | 78平米 | 西北 | 其他,中楼层(共9层)  1995年建塔楼  -,
高第街 独栋别墅 豪华装修,单价24194元/平米,150,| 2室1厅 | 62平米 | 北 | 精装,低楼层(共1层)    -,
海珠北路 低楼层两房 生活便利,单价25605元/平米,125,| 2室1厅 | 48.82平米 | 东南 | 其他,低楼层(共9层)  塔楼  -,
华侨新村一楼带花园出售,单价53212元/平米,580,| 3室2厅 | 109平米 | 南 | 其他,低楼层(共3层)  2000年建塔楼  -,
侨力大厦· 豪华装修 南向单位 美景集结,单价28001元/平米,469.45,| 6室2厅 | 167.66平米 | 南 | 其他,中楼层(共30层)  2003年建塔楼  -,
牛乳基 东川学位两房 看房方便 店长推介,单价30000元/平米,150,| 2室1厅 | 50平米 | 东北 | 其他,高楼层(共8层)  1990年建塔楼  -,
天秀大厦  温馨两房  配套成熟,单价25053元/平米,238,| 3室1厅 | 95平米 | 东 | 简装,高楼层(共29层)  1995年建塔楼  -,
五羊小区K区 1室1厅 110万,单价36790元/平米,110,| 1室1厅 | 29.9平米 | 南 | 简装,低楼层(共9层)  1986年建塔楼  -,
第一津 东南向全新装修三房待售,单价19513元/平米,120,| 3室1厅 | 61.5平米 | 东南 | 其他,高楼层(共9层)  1994年建塔楼  -,
光塔路 二楼二房 带朝天路小学学位,单价25322元/平米,120,| 2室2厅 | 47.39平米 | 东南 | 其他,低楼层(共9层)  塔楼  -,
学位房 中高楼层 正南向 采光好,单价25274元/平米,185,| 2室2厅 | 73.2平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
青菜东街 一房一厅 框架结构,单价25614元/平米,95,| 1室1厅 | 37.09平米 | 北 | 其他,低楼层(共9层)  1990年建塔楼  -,
东华东 东山口板块 稀有小面积 买少见少,单价43244元/平米,160,| 1室1厅 | 37平米 | 北 | 其他,中楼层(共9层)  塔楼  -,
花果山社区 绿化高 交通便利,单价20090元/平米,167,| 3室2厅 | 83.13平米 | 东北 | 精装,高楼层(共9层)  1988年建塔楼  -,
农林上路 东风东路小学学位 南向安静两房,单价26830元/平米,220,| 3室1厅 | 82平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
竹丝岗大马路　实用三房 安静东南北靓向,单价33408元/平米,300,| 3室2厅 | 89.8平米 | 东南 | 简装,高楼层(共9层)  塔楼  -,
福今路外贸厅 南北对流 住家实用大二房,单价30076元/平米,200,| 3室2厅 | 66.5平米 | 南 | 简装,低楼层(共5层)  塔楼  -,
下塘西路大两房两厅 精致装修,单价18966元/平米,165,| 2室2厅 | 87平米 | 东 | 精装,高楼层(共8层)  塔楼  -,
培正二横路 入读培正小学 实用大户型,单价55887元/平米,788,| 5室2厅 | 141平米 | 东南 | 其他,中楼层(共5层)  塔楼  -,
东风东路 锦城花园 东风东学位 少有笋盘,单价58879元/平米,630,| 3室2厅 | 107平米 | 北 | 其他,高楼层(共12层)  1997年建塔楼  -,
正佳东方国际中高层南向大面积公寓,单价46154元/平米,300,| 1室1厅 | 65平米 | 南 | 其他,中楼层(共51层)  1998年建塔楼  -,
惠福西路 精选两房 东西对流 送天台,单价24445元/平米,110,| 2室1厅 | 45平米 | 东 | 其他,高楼层(共6层)  塔楼  -,
海中宝 带铁沿线 繁荣路段 小区管理,单价28000元/平米,355.6,| 3室2厅 | 127平米 | 西北 | 精装,中楼层(共28层)  2006年建塔楼  -,
学宫街 精致三房 东南西北向,单价21936元/平米,136,| 3室1厅 | 62平米 | 东南 | 其他,高楼层(共7层)  塔楼  -,
中约外街两房一厅总价低,单价28572元/平米,100,| 2室1厅 | 35平米 | 西南 | 其他,中楼层(共9层)  塔楼  -,
华顺大厦 电梯三房 间隔方正,单价32728元/平米,360,| 3室1厅 | 110平米 | 东 | 其他,中楼层(共25层)  2000年建塔楼  -,
仰忠新街东南向三房笋价出售,单价33182元/平米,263,| 3室1厅 | 79.26平米 | 东南 | 其他,中楼层(共9层)  塔楼  -,
实用温馨单位 配套完善,单价45000元/平米,535.5,| 3室1厅 | 119平米 | 西 | 其他,高楼层(共20层)  2000年建塔楼  -,
青龙坊 学位房 高层采光好,单价26563元/平米,85,| 1室1厅 | 32平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
文德南路 中层简单两房 够两年新婚首选,单价22795元/平米,155,| 2室1厅 | 68平米 | 暂无数据 | 其他,中楼层(共8层)  塔楼  -,
解放中路 陶街 入读名校 证过2年,单价26667元/平米,160,| 3室1厅 | 60平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
华侨新村 高楼层三房出售,单价37235元/平米,350,| 3室2厅 | 94平米 | 南 | 精装,高楼层(共7层)  2000年建塔楼  -,
大德路 低楼层 温馨3房 笋盘放卖,单价20000元/平米,126,| 2室1厅 | 63平米 | 西南 | 简装,低楼层(共9层)  1990年建塔楼  -,
金山大厦 安静电梯四房 采光通风好,单价34783元/平米,480,| 4室2厅 | 138平米 | 暂无数据 | 其他,高楼层(共17层)  塔楼  -,
东风东路 省重点学位 水均大街,单价33963元/平米,180,| 2室1厅 | 53平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
东湖肯辛顿 罕有高尚住宅 精致住家装修,单价48388元/平米,600,| 3室2厅 | 124平米 | 西北 | 精装,中楼层(共31层)  2009年建塔楼  -,
东海嘉园 东南靓向 高层三房 看房方便,单价43860元/平米,500,| 3室2厅 | 114平米 | 东南 | 简装,高楼层(共30层)  2002年建塔楼  -,
老东山 独栋别墅 有花园 有车位,单价46333元/平米,2400,| 15室6厅 | 518平米 | 东南 | 简装,低楼层(共1层)    -,
东风东路锦城花园复式出售,单价46429元/平米,780,| 4室2厅 | 168平米 | 北 | 简装,高楼层(共33层)  1999年建塔楼  -,
一德路德兴苑电梯两房出售,单价28482元/平米,225,| 2室1厅 | 79平米 | 南 | 简装,中楼层(共24层)  1998年建塔楼  -,
德政中路，中层四房，独立天台使用，全明屋,单价22249元/平米,300,| 4室2厅 | 134.84平米 | 东南 | 其他,高楼层(共6层)  塔楼  -,
文星阁两房两厅精装修地铁沿线带车位出售,单价40741元/平米,330,| 2室2厅 | 81平米 | 西南 | 其他,高楼层(共32层)  2001年建塔楼  -,
交通便利，而该单位楼新装修新,价格低，投,单价16347元/平米,85,| 2室1厅 | 52平米 | 暂无数据 | 其他,低楼层(共9层)  塔楼  -,
东山口龟岗大马路小户型学区房出售,单价33334元/平米,90,| 1室0厅 | 27平米 | 暂无数据 | 其他,中楼层(共6层)  1981年建塔楼  -,
司马街商铺 位置优越 看房方便,单价60000元/平米,330,| 1室1厅 | 55平米 | 北 | 其他,低楼层(共9层)  1994年建塔楼  -,
实用舒适单位 配套完善,单价20589元/平米,105,| 2室1厅 | 51平米 | 北 | 其他,中楼层(共5层)  1992年建塔楼  -,
华顺大厦 精致三房一厅,单价33963元/平米,360,| 3室1厅 | 106平米 | 南 | 其他,低楼层(共25层)  2000年建塔楼  -,
丹桂里 实用温馨单位 配套完善,单价30910元/平米,196,| 3室1厅 | 63.41平米 | 北 | 其他,高楼层(共9层)  塔楼  -,
水荫二横路 中高层单位 南北对流,单价25000元/平米,50,| 1室0厅 | 20平米 | 南 | 其他,高楼层(共7层)  塔楼  -,
实用温馨单位 配套完善 业主诚心出售,单价41965元/平米,235,| 1室1厅 | 56平米 | 北 | 精装,中楼层(共11层)  1999年建塔楼  -,
共和西路 入读名校 临近地铁一号线,单价39294元/平米,178,| 2室1厅 | 45.3平米 | 南 | 其他,高楼层(共5层)  塔楼  -,
华顺大厦 电梯三房,单价30108元/平米,280,| 3室2厅 | 93平米 | 东 | 简装,高楼层(共25层)  2000年建塔楼  -,
恒福路小区 靠近汽配城 公交车站,单价28631元/平米,209,| 3室1厅 | 73平米 | 南 | 其他,高楼层(共7层)  1990年建塔楼  -,
东华东路 房改两房 培正学位,单价33334元/平米,260,| 2室1厅 | 78平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
光孝路井边巷 独栋私房 黄金地段,单价47873元/平米,180,| 2室1厅 | 37.6平米 | 北 | 其他,低楼层(共1层)  塔楼  -,
黄花新村 一房一厅 黄花学位,单价35803元/平米,145,| 1室1厅 | 40.5平米 | 东 | 简装,高楼层(共10层)  1985年建塔楼  -,
地铁上盖 府前铭泰 租赁神器 收租好,单价36000元/平米,162,| 1室1厅 | 45平米 | 北 | 其他,高楼层(共25层)  塔楼  -,
人民中路 精装修二室 送天台花园,单价24786元/平米,110,| 2室2厅 | 44.38平米 | 东 | 其他,高楼层(共7层)  塔楼  -,
银山大厦 实用两房 电梯住宅,单价35000元/平米,280,| 2室1厅 | 80平米 | 东北 | 其他,低楼层(共24层)  1999年建塔楼  -,
单位 实用三房,单价19188元/平米,170,| 3室2厅 | 88.6平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
江岭西 方正两房 学位首选 极少放盘,单价38824元/平米,198,| 2室1厅 | 51平米 | 暂无数据 | 其他,高楼层(共6层)  1981年建塔楼  -,
福增里  低层细积  有匙即看,单价15365元/平米,35,| 1室1厅 | 22.78平米 | 东 | 毛坯,低楼层(共5层)  塔楼  -,
教育路中层 东南靓向 笋价出售,单价26809元/平米,126,| 2室1厅 | 47平米 | 暂无数据 | 其他,高楼层(共8层)  塔楼  -,
三元里 地铁口 瑶台花园 两房 格局好,单价14546元/平米,80,| 2室1厅 | 55平米 | 西 | 其他,中楼层(共9层)  1996年建塔楼  -,
东湖西路 南向两房 临近地铁,单价25902元/平米,158,| 2室1厅 | 61平米 | 东 | 简装,低楼层(共9层)  塔楼  -,
惠福西路 正规一房一厅,单价18892元/平米,75,| 1室1厅 | 39.7平米 | 暂无数据 | 简装,中楼层(共10层)  1998年建塔楼  -,
光塔路 低层单位 近地铁,单价21231元/平米,138,| 3室1厅 | 65平米 | 东 | 其他,中楼层(共8层)  1985年建塔楼  -,
模范小区，低层，老人首选,单价21740元/平米,100,| 2室1厅 | 46平米 | 南 | 其他,低楼层(共9层)  1993年建塔楼  -,
三眼井 黄金楼层 实用两房,单价40000元/平米,220,| 2室1厅 | 55平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
西华路 低层两房 间隔实用 社区管理,单价30000元/平米,90,| 2室1厅 | 30平米 | 南 | 其他,低楼层(共3层)  塔楼  -,
豪贤路 户型方正 高楼层 带学位,单价18182元/平米,120,| 2室1厅 | 66平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
恒福路两房 名校学位,单价22223元/平米,120,| 2室1厅 | 54平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
一房一厅 放卖随时可看,单价23438元/平米,75,| 1室1厅 | 32平米 | 南 | 其他,中楼层(共9层)  板楼  -,
恒福苑 实用两房 省重点学位,单价25334元/平米,152,| 2室1厅 | 60平米 | 南 | 简装,中楼层(共9层)  1990年建塔楼  -,
省级学位 地铁上盖 格局方正,单价30000元/平米,114,| 1室1厅 | 38平米 | 南 | 简装,低楼层(共7层)  2005年建塔楼  -,
惠福东路盐运西正街 2室1厅 150万,单价27273元/平米,150,| 2室1厅 | 55平米 | 北 | 其他,中楼层(共6层)  塔楼  -,
建设三马路 实用3房 通风采光好,单价24656元/平米,143,| 3室1厅 | 58平米 | 东 | 简装,中楼层(共9层)  1985年建塔楼  -,
解放中路 方正三房 业主诚意放卖,单价22523元/平米,250,| 3室2厅 | 111平米 | 东 | 简装,高楼层(共9层)  塔楼  -,
小北路 三房高层 采光一流,单价29167元/平米,315,| 3室1厅 | 108平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
青龙里小区 东川学位,单价31819元/平米,280,| 3室2厅 | 88平米 | 东 | 简装,高楼层(共9层)  塔楼  -,
冠城大厦 精装三房 安静小区,单价36083元/平米,350,| 3室1厅 | 97平米 | 北 | 简装,中楼层(共28层)  1997年建塔楼  -,
御江苑 稀缺二室 可遇不可求,单价35107元/平米,330,| 2室1厅 | 94平米 | 南 | 其他,中楼层(共39层)  1992年建塔楼  -,
六榕路 中层单位,单价19418元/平米,200,| 3室1厅 | 103平米 | 东 | 简装,高楼层(共6层)  塔楼  -,
恒福路小区 有学位 证过2年,单价17817元/平米,155,| 2室2厅 | 87平米 | 南 | 简装,低楼层(共15层)  塔楼  -,
南向2房 双地铁旁 户型方正 带学位,单价31373元/平米,160,| 2室1厅 | 51平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
福今东路房改1房1厅 带育才学位 无占用,单价42858元/平米,150,| 1室1厅 | 35平米 | 南 | 简装,中楼层(共7层)  塔楼  -,
太和岗 精装一房一厅 省级名校,单价28049元/平米,115,| 1室1厅 | 41平米 | 南 | 其他,中楼层(共7层)  1995年建塔楼  -,
时代YOU公寓 商住两用 近地铁 地段好,单价48077元/平米,250,| 1室1厅 | 52平米 | 南 | 其他,低楼层(共21层)  2006年建塔楼  -,
德兴苑 居家首选,单价31250元/平米,250,| 2室2厅 | 80平米 | 西南 | 简装,低楼层(共24层)  1998年建塔楼  -,
通风采光好 环境安静 交通方便,单价18033元/平米,110,| 2室1厅 | 61平米 | 南 | 简装,高楼层(共10层)  塔楼  -,
建设六马路 高层两房 证过两年,单价26852元/平米,145,| 2室1厅 | 54平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
世纪笋盘 东里 顶楼带天台花园,单价18750元/平米,120,| 3室1厅 | 64平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
中山三路 楼梯两房 采光好 保养好,单价28554元/平米,180,| 2室1厅 | 63.04平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
中山四路 百岁坊 实用两房,单价22581元/平米,140,| 2室1厅 | 62平米 | 东 | 其他,高楼层(共9层)  塔楼  -,
德政北路 楼梯三房 南北对流,单价25159元/平米,230,| 3室2厅 | 91.42平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
麓景西路 锦绣大厦 高层笋盘出售,单价28038元/平米,300,| 3室1厅 | 107平米 | 西北 | 其他,高楼层(共25层)  塔楼  -,
德政中路 低层东西向三房 农讲所地铁,单价23000元/平米,209.3,| 3室1厅 | 91平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
光塔路 全明户型 通风采光一流,单价23000元/平米,230,| 2室2厅 | 100平米 | 东北 | 简装,高楼层(共9层)  塔楼  -,
东川路与白云路交界处电梯一房,单价26000元/平米,65,| 1室1厅 | 25平米 | 东南 | 其他,低楼层(共3层)  塔楼  -,
东川路与白云路交界处电梯一房,单价26000元/平米,65,| 1室1厅 | 25平米 | 东南 | 其他,低楼层(共3层)  塔楼  -,
东川路与白云路交界处电梯一房,单价26000元/平米,65,| 1室1厅 | 25平米 | 西北 | 其他,低楼层(共3层)  塔楼  -,
豪华装修 近地铁 既买既收租,单价35000元/平米,91,| 1室1厅 | 26平米 | 南 | 其他,低楼层(共3层)  2000年建塔楼  -,
瑶台花园 户型方正 精装 中层望花园,单价14223元/平米,128,| 3室1厅 | 90平米 | 南 | 其他,高楼层(共9层)  1996年建塔楼  -,
实用温馨单位 配套完善,单价25511元/平米,250,| 3室1厅 | 98平米 | 南 | 简装,低楼层(共9层)  1998年建塔楼  -,
区庄永泰西约 稀有房源 精装三房近地铁站,单价26957元/平米,310,| 4室3厅 | 115平米 | 暂无数据 | 其他,中楼层(共10层)  1990年建塔楼  -,
恒福路小区 有学位 价格低廉 靠近汽配城,单价27097元/平米,168,| 2室1厅 | 62平米 | 暂无数据 | 其他,中楼层(共6层)  1990年建塔楼  -,
东园新村 南北对流大三房 双地铁小区管理,单价35556元/平米,320,| 3室2厅 | 90平米 | 暂无数据 | 其他,高楼层(共7层)  1980年建塔楼  -,
德政中路　省级清水濠学位　低层两房,单价26416元/平米,140,| 2室1厅 | 53平米 | 暂无数据 | 简装,中楼层(共8层)  1990年建塔楼  -,
翰林阁高层精装四房 三面采光黄花学位,单价39307元/平米,680,| 4室2厅 | 173平米 | 暂无数据 | 简装,中楼层(共30层)  塔楼  -,
华侨新村旁  旺中带静,单价35295元/平米,300,| 2室1厅 | 85平米 | 西南 | 其他,高楼层(共12层)  塔楼  -,
新裕大厦公寓 办公自住皆可,单价21085元/平米,87.5,| 2室0厅 | 41.5平米 | 北 | 其他,高楼层(共35层)  塔楼  -,
恒福路楼梯中层两房单位出售,单价23063元/平米,125,| 2室1厅 | 54.2平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
湛塘路 方正实用 交通便捷,单价32353元/平米,110,| 1室1厅 | 34平米 | 北 | 其他,中楼层(共8层)  塔楼  -,
