name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
自住靓房 经典跃式 东南 安静朝向,单价55325元/平米,426,| 2室2厅 | 77平米 | 南 | 简装,中楼层(共18层)  2001年建板塔结合  -,
旭飞花园  重点学区房 满五唯一 红本在手,单价51239元/平米,180,| 1室1厅 | 35.13平米 | 南 | 精装,高楼层(共9层)  1998年建板楼  -,
满五年唯一  业主诚售  看房方便  朝南,单价64198元/平米,520,| 3室1厅 | 81平米 | 南 | 其他,低楼层(共35层)  2005年建板塔结合  -,
荔园南小学+莲花北中学  核心华强商圈 省级重点双学位,单价60000元/平米,588,| 4室1厅 | 98平米 | 南 | 简装,高楼层(共7层)  1988年建板塔结合  -,
红本在手 满五唯一 业主急售 费税少 过户快,单价52942元/平米,360,| 2室2厅 | 68平米 | 东南 | 精装,低楼层(共31层)  2002年建板塔结合  -,
满5年唯一，红本在手，电梯三房。,单价60345元/平米,700,| 3室1厅 | 116平米 | 东 | 精装,中楼层(共30层)  2002年建板塔结合  -,
合正瑞园 地铁口物业 重点学区房 满五年 高厅复式,单价72175元/平米,560,| 4室1厅 | 77.59平米 | 南 | 简装,高楼层(共26层)  2006年建板塔结合  -,
地铁口 南向大两房 户型方正 得房率超高,单价52632元/平米,400,| 2室2厅 | 76平米 | 南 | 简装,中楼层(共12层)  1999年建板塔结合  -,
骏皇嘉园    红本在手 满五年唯一住房,单价63000元/平米,415.8,| 2室2厅 | 66平米 | 西南 | 精装,中楼层(共30层)  2005年建板塔结合  -,
碧华庭居 82平东南向小三房 中间栋 楼层好,单价60976元/平米,500,| 3室2厅 | 82平米 | 东南 | 其他,高楼层(共12层)  2000年建塔楼  -,
视野好，满2年，可改小3房,单价47917元/平米,345,| 2室2厅 | 72平米 | 东北 | 简装,中楼层(共18层)  2000年建塔楼  -,
名校学位，学位未用，红本在手免增值税，高楼层光线好,单价70000元/平米,728,| 3室2厅 | 104平米 | 东北 | 简装,高楼层(共31层)  1996年建塔楼  -,
香景大厦安静南向3房 景秀学位少税,单价59783元/平米,550,| 3室2厅 | 92平米 | 东南 | 精装,低楼层(共24层)  1996年建塔楼  -,
富荔花园 美莲小学和莲花北中学 3房诚卖,单价71270元/平米,670,| 3室2厅 | 94.01平米 | 南 北 | 精装,中楼层(共5层)  1991年建板塔结合  -,
待拆迁物业 南华村 精装三房 南北通 租金回报率高,单价60740元/平米,660,| 3室1厅 | 108.66平米 | 南 | 精装,高楼层(共7层)  1989年建板塔结合  -,
福荣万科 联排别墅 三层赠送花园 气派大房 一手业主,单价97439元/平米,2400,| 5室2厅 | 246.31平米 | 南 | 精装,低楼层(共33层)  2003年建板塔结合  -,
翠海花园 豪华复式 南北通透 房子满五唯一,单价103665元/平米,1980,| 5室2厅 | 191平米 | 北 | 精装,中楼层(共32层)  2003年建板塔结合  -,
梅林一村十二区高层观景三房 满五年唯一 红本在手,单价64445元/平米,580,| 3室2厅 | 90平米 | 东北 | 简装,中楼层(共31层)  2000年建板塔结合  -,
擎天华庭 红本少税 景秀学位随时约看,单价74344元/平米,430,| 2室1厅 | 57.84平米 | 西北 | 简装,低楼层(共44层)  2003年建板塔结合  -,
稀缺俩房，满五且唯一，东南朝向，交通便利,单价66402元/平米,450,| 2室1厅 | 67.77平米 | 东南 | 简装,高楼层(共33层)  2005年建板塔结合  -,
金沙花园，一二楼复式，带私家花园，精装修,单价49505元/平米,1000,| 3室2厅 | 202平米 | 南 | 精装,低楼层(共6层)  1994年建板塔结合  -,
东海花园123精装朝南三房 深外深高 满五唯一 红本,单价89431元/平米,1100,| 3室2厅 | 123平米 | 西南 | 精装,低楼层(共18层)  1997年建板塔结合  -,
中心区地铁口 南向2房 已改3房,单价89656元/平米,780,| 2室2厅 | 87平米 | 南 | 精装,中楼层(共30层)  2003年建塔楼  -,
园岭三居室好房，婚房学区房首选,单价87811元/平米,760,| 3室1厅 | 86.55平米 | 南 | 其他,高楼层(共6层)  1984年建板塔结合  -,
西南向经典两房，看小区花园，购物公园站地铁房,单价93976元/平米,780,| 2室2厅 | 83平米 | 西南 | 精装,低楼层(共28层)  2000年建板塔结合  -,
景福大厦 精装修3房 采光通风朝向好 学位房,单价44947元/平米,418,| 3室1厅 | 93平米 | 南 | 精装,高楼层(共28层)  2009年建板塔结合  -,
南天一花园三房南北通 带荔园实验双学位,单价77571元/平米,830,| 3室2厅 | 107平米 | 南 北 | 精装,低楼层(共17层)  1989年建塔楼  -,
汇港名苑满5唯一 金角观米埔两居 拎包入住 看房方便,单价57052元/平米,445,| 2室1厅 | 78平米 | 东南 | 其他,高楼层(共32层)  2002年建板塔结合  -,
荔园北实验中学学位 高层复式采光好，南北通透,单价83909元/平米,730,| 2室1厅 | 87平米 | 南 北 | 精装,高楼层(共17层)  1991年建板楼  -,
学位未用 地铁口物业 出国急售 随时可看,单价53909元/平米,469,| 2室1厅 | 87平米 | 南 | 精装,中楼层(共30层)  2005年建塔楼  -,
长城二花园2房 业主诚卖 红本在手 随时过户,单价89157元/平米,740,| 2室1厅 | 83平米 | 南 | 精装,中楼层(共18层)  1992年建板楼  -,
医疗小区大两居急售，满五年，红本在手,单价43876元/平米,360,| 2室2厅 | 82.05平米 | 南 | 精装,高楼层(共7层)    -,
长城二花园 满五年红本 学位空置 业主诚售,单价88876元/平米,715,| 2室2厅 | 80.45平米 | 南 | 精装,中楼层(共18层)  1992年建板楼  -,
京基御景华城户型朝香港的两房,单价60770元/平米,395,| 2室1厅 | 65平米 | 东南 | 精装,中楼层(共36层)  2005年建板塔结合  -,
安静，通风，清爽，使用面积高，带子母车位,单价57535元/平米,420,| 2室2厅 | 73平米 | 东南 | 简装,低楼层(共16层)  板塔结合  -,
满五年唯一无税 通风采光好,单价64474元/平米,490,| 2室2厅 | 76平米 | 西南 西北 | 简装,中楼层(共34层)  2004年建塔楼  -,
双实验学位 满五唯一免个税 精装修 国城稀缺三房,单价104167元/平米,1000,| 3室2厅 | 96平米 | 西 | 精装,高楼层(共31层)  1995年建板塔结合  -,
银海苑 精装三房地铁物业 学位房 业主自住,单价53704元/平米,435,| 3室2厅 | 81平米 | 南 北 | 简装,中楼层(共10层)  2000年建板塔结合  -,
水围龙轩豪庭 车位充足 落地玻璃 送平台花园,单价67693元/平米,440,| 2室1厅 | 65平米 | 南 | 精装,低楼层(共33层)  2012年建板塔结合  -,
福贸花园朝南三房 两卧朝北一卧朝东 大客厅,单价48352元/平米,440,| 3室2厅 | 91平米 | 南 | 其他,高楼层(共8层)  1996年建板塔结合  -,
园岭实验小学加红岭中学，学位空置满五唯一,单价73864元/平米,650,| 2室2厅 | 88平米 | 南 | 简装,中楼层(共8层)  1984年建板塔结合  -,
香雅园 福田名校 精装修两房 地铁口物业,单价96924元/平米,630,| 2室2厅 | 65平米 | 西北 | 精装,中楼层(共18层)  2006年建塔楼  -,
红本在手，豪华装修，新洲在建地铁口物业，热推两房,单价55626元/平米,442,| 2室2厅 | 79.46平米 | 南 | 精装,中楼层(共32层)  2007年建塔楼  -,
加福广场 高档住宅花园中间位  采光充足,单价35038元/平米,680,| 3室1厅 | 194.08平米 | 西南 | 精装,高楼层(共28层)  2006年建板塔结合  -,
汇港名苑 南北通透大三房 带私家车位!,单价55766元/平米,648,| 3室2厅 | 116.2平米 | 南 北 | 精装,低楼层(共31层)  2002年建板塔结合  -,
高端楼盘 豪华装修 南北通透 五房待售,单价101191元/平米,1700,| 4室2厅 | 168平米 | 南 | 精装,中楼层(共30层)  2003年建塔楼  -,
碧海云天满五唯一税费少，东南向通风采光一流方正实用,单价87143元/平米,1220,| 3室2厅 | 140平米 | 东南 | 其他,低楼层(共11层)  2003年建塔楼  -,
精装四房  业主自住，视野开阔,单价47500元/平米,570,| 4室2厅 | 120平米 | 西北 | 精装,高楼层(共27层)  2011年建板塔结合  -,
南北通透 看花园 精装 地铁房 安静大户型,单价92593元/平米,1500,| 4室2厅 | 162平米 | 南 北 | 精装,低楼层(共30层)  2003年建塔楼  -,
竹子林香诗美林 楼王户型 装修保养好 业主诚心出售,单价75997元/平米,890,| 3室2厅 | 117.11平米 | 北 东北 | 精装,低楼层(共33层)  2003年建板塔结合  -,
满五唯一 户型方正   带学位 业主诚心售,单价42157元/平米,215,| 2室1厅 | 51平米 | 北 | 其他,中楼层(共24层)  1995年建塔楼  -,
竹盛花园新出笋盘 满五年红本唯一 看房方便,单价70599元/平米,650,| 3室2厅 | 92.07平米 | 南 | 简装,中楼层(共8层)  1996年建板楼  -,
建业大厦东南一房，仅需契税，深高+竹园学区,单价76258元/平米,485,| 1室1厅 | 63.6平米 | 东南 | 精装,高楼层(共27层)  2002年建板塔结合  -,
鹏益花园 精装修两房，带园岭外国语小学学位。,单价49231元/平米,320,| 2室1厅 | 65平米 | 东北 | 精装,中楼层(共22层)  1994年建塔楼  -,
深港一号 精装修  安静看深圳河,单价68270元/平米,355,| 2室1厅 | 52平米 | 北 | 精装,中楼层(共32层)  2012年建板塔结合  -,
竹园小区  地铁口 安静舒适3房 带深圳高级中学学位,单价81082元/平米,600,| 3室2厅 | 74平米 | 东 | 简装,中楼层(共7层)  1996年建板楼  -,
高端小区  绿化花园  精品社区,单价63158元/平米,360,| 2室1厅 | 57平米 | 南 | 精装,中楼层(共32层)  2003年建塔楼  -,
中城天邑小两房48+8，难得户型！！,单价75972元/平米,350,| 2室1厅 | 46.07平米 | 北 | 其他,低楼层(共32层)  2008年建板楼  -,
皇御苑一期,看中心公园2房高层美景,单价52858元/平米,370,| 2室2厅 | 70平米 | 西北 | 精装,高楼层(共35层)  1999年建板塔结合  -,
缇香名苑地铁口小水榭精致两房有钥匙看房,单价83334元/平米,600,| 2室2厅 | 72平米 | 北 | 精装,高楼层(共24层)  2004年建板塔结合  -,
满五唯一，红本在手，看小区花园非常安静，诚心出售,单价61429元/平米,430,| 2室2厅 | 70平米 | 北 | 简装,低楼层(共33层)  2003年建板塔结合  -,
香诗美林北向三房 中间楼层采光好 大户型通透,单价79406元/平米,930,| 3室2厅 | 117.12平米 | 北 | 精装,中楼层(共33层)  2003年建板塔结合  -,
满五年唯一一套，距福田口岸800米，视野好,单价58594元/平米,375,| 2室2厅 | 64平米 | 南 | 精装,高楼层(共18层)  2003年建塔楼  -,
嘉汇新城 花园式小区 安静 适合住家 精装修 红本在手,单价53226元/平米,330,| 2室1厅 | 62平米 | 南 | 精装,低楼层(共30层)  2000年建板塔结合  -,
方正大三房，主卧朝南光线好，上午能照到阳光,单价52241元/平米,520,| 3室2厅 | 99.54平米 | 南 北 | 简装,中楼层(共8层)  1996年建塔楼  -,
翠海花园 6室1厅 2600万,单价106996元/平米,2600,| 6室1厅 | 243平米 | 南 | 精装,高楼层(共31层)  2000年建板楼  -,
彩田村108平方正朝南大平面. 下楼就是地铁站 看房方便,单价66667元/平米,720,| 3室2厅 | 108平米 | 南 | 精装,中楼层(共11层)  2003年建板楼  -,
越海家园 南北通透 背山面海 深圳湾海景房 带车位,单价88684元/平米,1000,| 3室2厅 | 112.76平米 | 南 北 | 精装,中楼层(共33层)  2005年建塔楼  -,
链上你未来的家，福田中心区，地铁口物业 会展中心傍,单价56945元/平米,615,| 3室2厅 | 108平米 | 东南 | 精装,低楼层(共23层)  2004年建塔楼  -,
百花园精装两房，荔园实验学位，红本满两年,单价108696元/平米,1000,| 2室2厅 | 92平米 | 南 | 精装,低楼层(共33层)  2003年建塔楼  -,
视野开阔  全明户型 业主诚售,单价61291元/平米,380,| 2室2厅 | 62平米 | 南 | 精装,高楼层(共7层)  1996年建板塔结合  -,
景尚雅苑，精装2房，双地铁，学位,单价93221元/平米,550,| 2室2厅 | 59平米 | 南 | 其他,高楼层(共27层)  2002年建板塔结合  -,
金燕园三居室，免税，带电梯，中间楼层。,单价57215元/平米,550,| 3室2厅 | 96.13平米 | 东 西 北 | 简装,高楼层(共12层)  1998年建板塔结合  -,
城市主场 精装修，满五唯一，红本在手，交通便利,单价56516元/平米,255,| 1室0厅 | 45.12平米 | 东北 | 精装,低楼层(共33层)  2005年建板塔结合  -,
北向景观三房，红本满五年唯一，税费低,单价60870元/平米,560,| 3室2厅 | 92平米 | 北 | 简装,中楼层(共28层)  2002年建板塔结合  -,
经典复式 楼王位置 豪华装修 一线海景,单价67980元/平米,1450,| 4室2厅 | 213.3平米 | 南 | 精装,中楼层(共32层)  2001年建板塔结合  -,
翠海花园二期 业主诚心出售 东南向 稀缺户型 三居两卫,单价111902元/平米,1070,| 3室2厅 | 95.62平米 | 东南 | 精装,低楼层(共31层)  2003年建板塔结合  -,
地铁口，皇岗口岸上物业，红本在手，南向无敌景观,单价57353元/平米,390,| 2室1厅 | 68平米 | 南 | 简装,中楼层(共32层)  2002年建板塔结合  -,
福田重点学区 靠近体育公园 适合居家！,单价57387元/平米,505,| 3室2厅 | 88平米 | 南 | 简装,中楼层(共29层)  2005年建塔楼  -,
中海物业方正2房，高楼层，精装修，诚心出售,单价50899元/平米,340,| 2室2厅 | 66.8平米 | 西北 | 简装,高楼层(共15层)  1994年建板塔结合  -,
京隆苑 精装复式大五房，带双阳台朝东南向看小区花园,单价59439元/平米,1165,| 5室2厅 | 196平米 | 南 | 精装,中楼层(共6层)  1996年建板塔结合  -,
南北通大两房，待拆迁物业，中心地段，税费少交易快,单价62644元/平米,520,| 3室2厅 | 83.01平米 | 南 北 | 精装,中楼层(共7层)  1996年建塔楼  -,
高层海景 正南向无遮挡 满5唯一税费少！,单价63379元/平米,469,| 2室1厅 | 74平米 | 东南 | 简装,高楼层(共33层)  2005年建板塔结合  -,
精装修 南北通 近福田双口岸 看房方便,单价51745元/平米,445,| 3室2厅 | 86平米 | 南 | 精装,中楼层(共7层)  1992年建板塔结合  -,
中心公园对面 城投福滨苑 稀缺房源 满五红本在手,单价69621元/平米,550,| 2室1厅 | 79平米 | 南 | 毛坯,低楼层(共26层)  2003年建板塔结合  -,
成熟社区，地铁物业，南北通，位置安静，楼层好,单价67442元/平米,580,| 3室2厅 | 86平米 | 南 | 简装,中楼层(共8层)  1994年建板塔结合  -,
朗晴馨洲    东南向方正实用！,单价54308元/平米,353,| 2室2厅 | 65平米 | 南 | 精装,中楼层(共32层)  2003年建板塔结合  -,
高楼层方正通透大三房 附带双名校学位,单价73959元/平米,710,| 3室2厅 | 96平米 | 南 | 精装,高楼层(共32层)  2002年建板塔结合  -,
梅林一村 3区方厅俯瞰水库山景，名牌精装修样板间,单价64334元/平米,579,| 3室2厅 | 90平米 | 北 | 精装,中楼层(共32层)  2002年建板塔结合  -,
瀚盛花园 东南向117㎡三房 ，大阳台，紧邻地铁香蜜站,单价100274元/平米,1175,| 3室2厅 | 117.18平米 | 东南 | 简装,高楼层(共32层)  2007年建板塔结合  -,
韵动家园3房 高层南向看海景 装修保养好,单价52273元/平米,460,| 3室2厅 | 88平米 | 东南 | 精装,高楼层(共29层)  2005年建塔楼  -,
精装修户型方正客厅出阳台东南向近口岸近地铁看房方便,单价63553元/平米,555,| 3室2厅 | 87.33平米 | 东南 | 精装,中楼层(共29层)  2004年建板塔结合  -,
满2年无增值税，高层视野好，南向采光好,单价55625元/平米,267,| 1室1厅 | 48平米 | 东南 | 简装,中楼层(共27层)  1999年建板塔结合  -,
一村稀缺高层景观复试 144平4房+40平露台花园,单价75753元/平米,1100,| 4室2厅 | 145.21平米 | 北 | 简装,高楼层(共18层)  1999年建板塔结合  -,
福民地铁上盖物业   业主移民国外  现诚意出售,单价62247元/平米,628,| 3室2厅 | 100.89平米 | 东北 | 精装,低楼层(共31层)  2004年建板塔结合  -,
高层海景 地铁口物业 满五年红本在手 楼下家乐福超市,单价55898元/平米,218,| 1室0厅 | 39平米 | 南 | 精装,高楼层(共32层)  2007年建塔楼  -,
中心区彩天名苑低价一房急售，看房方便。,单价51021元/平米,225,| 1室1厅 | 44.1平米 | 东 | 其他,低楼层(共32层)  2001年建板塔结合  -,
鹏益花园 一房 学区房 满五唯一红本在手 诚心出售,单价53352元/平米,160,| 1室1厅 | 29.99平米 | 南 | 简装,高楼层(共24层)  1998年建塔楼  -,
缔馨园 满五唯一 重点学位 方正户型,单价81477元/平米,395,| 1室1厅 | 48.48平米 | 西北 | 简装,中楼层(共18层)  1997年建板塔结合  -,
蜜园，安静2房，满五唯一住宅，税费少,单价54839元/平米,340,| 2室1厅 | 62平米 | 东北 | 简装,低楼层(共33层)  2007年建塔楼  -,
海滨广场两房，客厅出阳台，刚需首选,单价47083元/平米,309,| 2室2厅 | 65.63平米 | 北 | 精装,中楼层(共19层)  1997年建塔楼  -,
汇龙花园 41.9平米一房一厅 户型方正实用,单价55953元/平米,235,| 1室1厅 | 42平米 | 北 | 简装,中楼层(共7层)  2009年建板塔结合  -,
长城二花园，精装修学位房，置业首选！,单价90854元/平米,745,| 2室2厅 | 82平米 | 南 | 精装,中楼层(共18层)  1992年建板楼  -,
地铁靓房出售 户型稀缺 值得拥有 诚心出售,单价58824元/平米,400,| 2室2厅 | 68平米 | 北 | 精装,高楼层(共18层)  2000年建板塔结合  -,
福田口岸 满五唯一 诚售中层两房,单价56035元/平米,325,| 2室2厅 | 58平米 | 西北 | 精装,低楼层(共32层)  2001年建板塔结合  -,
天然居 4室2厅 1160万,单价84672元/平米,1160,| 4室2厅 | 137平米 | 西南 | 其他,高楼层(共31层)  2001年建板塔结合  -,
碧华庭居碧园安静3房，红本唯一,单价59434元/平米,630,| 3室2厅 | 106平米 | 西 | 精装,中楼层(共17层)  2000年建塔楼  -,
京基御景华城 高楼层双阳台 厅出大阳台,单价56965元/平米,355,| 2室1厅 | 62.32平米 | 西南 | 简装,高楼层(共35层)  2005年建板塔结合  -,
红本五年唯一 大两房 中高楼 保养好,单价58534元/平米,439,| 2室2厅 | 75平米 | 西 | 精装,中楼层(共34层)  2001年建塔楼  -,
玮鹏花园 高层南向住家三房 荔园西小学+红岭中学,单价75269元/平米,700,| 3室2厅 | 93平米 | 南 | 简装,中楼层(共33层)  2001年建板塔结合  -,
保税区帝港海湾豪园高层精装大两房，业主诚售！,单价52830元/平米,365,| 2室2厅 | 69.09平米 | 东北 | 精装,高楼层(共25层)  1997年建塔楼  -,
雕塑家园 莲花北地铁口 随时看房 诚心出售,单价41096元/平米,300,| 2室2厅 | 73平米 | 南 北 | 精装,高楼层(共30层)  2002年建塔楼  -,
满五年 唯一 红本在手 地铁口物业 楼下家 乐福超市,单价55814元/平米,480,| 2室2厅 | 86平米 | 西南 | 精装,高楼层(共32层)  2007年建塔楼  -,
双地铁口物业  户型方正 厅出阳台,单价55814元/平米,240,| 1室1厅 | 43平米 | 南 | 精装,低楼层(共31层)  2001年建板塔结合  -,
重点学位房，50米内国展中心在建，适合投资或学位,单价54334元/平米,163,| 1室1厅 | 30平米 | 南 | 其他,中楼层(共22层)  1998年建塔楼  -,
缇香名苑 双地铁居家大社区 南向厅出阳台,单价86093元/平米,1300,| 4室2厅 | 151平米 | 南 | 简装,低楼层(共27层)  2004年建板塔结合  -,
有钥匙，随时可看房，新洲热销朝南向两房,单价62122元/平米,410,| 2室1厅 | 66平米 | 西南 | 其他,中楼层(共30层)  2005年建板塔结合  -,
桐林城市精装2房 业主诚心出售,单价57937元/平米,365,| 2室1厅 | 63平米 | 西北 | 精装,高楼层(共29层)  板塔结合  -,
益田村 福田区 两房南北通透,单价62810元/平米,380,| 2室1厅 | 60.5平米 | 南 | 精装,中楼层(共7层)  1996年建板塔结合  -,
地铁口金海燕花园127平3+1房带好学位,单价61418元/平米,780,| 4室2厅 | 127平米 | 东北 | 精装,中楼层(共16层)  1997年建板塔结合  -,
高层看花园安静 户型方正 名校学位 好房,单价106807元/平米,1180,| 3室2厅 | 110.48平米 | 东南 | 精装,高楼层(共32层)  2006年建板塔结合  -,
彩云居精装三房 带大阳台 红本看房有钥匙,单价61177元/平米,520,| 3室1厅 | 85平米 | 东北 | 精装,高楼层(共30层)  2001年建板塔结合  -,
南向 福强学位 地铁口物业,单价61856元/平米,600,| 4室2厅 | 97平米 | 东南 | 精装,低楼层(共28层)  2001年建板塔结合  -,
国都高尔夫160平米正规4房，北向安静看高尔夫景观,单价50000元/平米,800,| 4室2厅 | 160平米 | 北 | 简装,低楼层(共31层)  1998年建板塔结合  -,
香格丽苑 厅出阳台 大4房 满2年 安静看花园 名校配套,单价99786元/平米,1300,| 4室2厅 | 130.28平米 | 东北 | 简装,高楼层(共32层)  2004年建板塔结合  -,
新洲.新楼.欧式装修3+1房 送20平露台.,单价68464元/平米,630,| 3室2厅 | 92.02平米 | 北 | 精装,低楼层(共30层)  2012年建板塔结合  -,
汇港名苑大两房.户型方正.业主诚售！,单价55770元/平米,435,| 2室1厅 | 78平米 | 南 | 其他,高楼层(共32层)  2002年建板塔结合  -,
瀚盛花园 高档小区 福外学位 地铁口物业,单价97657元/平米,1250,| 4室2厅 | 128平米 | 西南 | 精装,低楼层(共32层)  2007年建板塔结合  -,
福田大动脉 小型复式全新装修 可注册公司！,单价70667元/平米,530,| 2室2厅 | 75平米 | 南 | 精装,低楼层(共45层)  2013年建塔楼  -,
正规两房，南北通透，客厅方正有阳台,单价61017元/平米,360,| 2室1厅 | 59平米 | 北 | 精装,低楼层(共27层)  2007年建板塔结合  -,
恒星园 名校学位房,单价82260元/平米,600,| 2室2厅 | 72.94平米 | 北 | 精装,高楼层(共18层)  2009年建板塔结合  -,
南向81平小三房 格局好 三个卧室均朝南,单价75735元/平米,608,| 3室2厅 | 80.28平米 | 东南 | 简装,中楼层(共27层)  2002年建板塔结合  -,
港城华庭高层小三房近福田口岸无增值税带福田小学学位,单价56250元/平米,360,| 3室2厅 | 64平米 | 东北 | 简装,中楼层(共32层)  2002年建板塔结合  -,
地铁口物业、精致小三房、户型方正、满五年红本在手,单价53933元/平米,480,| 3室1厅 | 89平米 | 南 | 简装,低楼层(共29层)  2005年建塔楼  -,
长怡花园三居室带名校百花实验学位出售,单价92234元/平米,950,| 3室1厅 | 103平米 | 东北 | 简装,中楼层(共29层)  2000年建板塔结合  -,
红荔村三居室楼层低税少带百花实验双学位,单价86957元/平米,800,| 3室2厅 | 92平米 | 南 北 | 简装,低楼层(共7层)  1989年建板楼  -,
南向中楼层 满五唯一 看房方便,单价69187元/平米,595,| 2室2厅 | 86平米 | 东南 | 其他,低楼层(共32层)  2001年建板塔结合  -,
金地海景翠堤湾 地铁房 楼层好,单价64967元/平米,545,| 2室2厅 | 83.89平米 | 南 | 其他,低楼层(共33层)  2002年建板塔结合  -,
嘉汇新城，业主诚心卖，满5年红本自赎,单价55834元/平米,335,| 2室1厅 | 60平米 | 东南 | 精装,中楼层(共30层)  2000年建板塔结合  -,
红本五年 唯一一套 学位可用,单价64156元/平米,540,| 3室2厅 | 84.17平米 | 南 北 | 简装,高楼层(共7层)  1999年建板塔结合  -,
瀚盛花园 高档小区 福外学位 地铁口物业,单价95455元/平米,1050,| 3室2厅 | 110平米 | 南 | 其他,中楼层(共32层)  2007年建板塔结合  -,
合正瑞园 地铁口物业 园岭实验小学学区房 满五唯一,单价71535元/平米,578,| 2室2厅 | 80.8平米 | 南 | 精装,高楼层(共26层)  2006年建板塔结合  -,
盛世家园大两房 户型方正 总价低 无营业税,单价58667元/平米,440,| 2室1厅 | 75平米 | 北 | 简装,高楼层(共34层)  2001年建塔楼  -,
精装修 标准两房 看房方便 高品质中学学位,单价88804元/平米,690,| 2室2厅 | 77.7平米 | 北 | 精装,低楼层(共33层)  2001年建板塔结合  -,
华强北红荔村 满五唯一免税三房 一手业主,单价84000元/平米,630,| 3室1厅 | 75平米 | 南 北 | 简装,低楼层(共7层)  1989年建板楼  -,
紫玉花园 精装两房 看花园,单价70073元/平米,620,| 2室2厅 | 88.48平米 | 北 | 精装,中楼层(共27层)  1995年建板塔结合  -,
无税、投资自住首选,单价50000元/平米,400,| 2室2厅 | 80平米 | 南 | 精装,中楼层(共15层)  1999年建塔楼  -,
百花小学+实验中学 红本在手 学位空置 深圳就一套房子,单价73787元/平米,760,| 3室2厅 | 103平米 | 西北 | 简装,低楼层(共30层)  1993年建塔楼  -,
裕亨花园近福田口岸南北通透两居室满五唯一方正大板房,单价49505元/平米,400,| 2室2厅 | 80.8平米 | 南 北 | 其他,中楼层(共8层)  1997年建板塔结合  -,
汇商中心77平卖200万，可租6800元每月，租金高回报！,单价25975元/平米,200,| 2室1厅 | 77平米 | 东南 | 简装,低楼层(共38层)  2000年建板塔结合  -,
彩云居唯一在售南向精装三房 满五年唯一,单价63158元/平米,600,| 3室2厅 | 95平米 | 东南 | 精装,高楼层(共30层)  2001年建板塔结合  -,
汇龙花园精装一房 安静观山景 满五唯一,单价55789元/平米,240,| 1室1厅 | 43.02平米 | 北 | 精装,高楼层(共7层)  2009年建板塔结合  -,
红梅苑 户型方正 高使用率 难得户型 居家首选,单价47803元/平米,435,| 3室2厅 | 91平米 | 南 北 | 简装,中楼层(共8层)  1997年建塔楼  -,
鹏益花园稀缺户型，可改两房，看房方便,单价45313元/平米,290,| 1室2厅 | 64平米 | 东 | 其他,中楼层(共22层)  1998年建塔楼  -,
红本在手满五年唯一 总价低 方正三房,单价51725元/平米,450,| 3室2厅 | 87平米 | 南 | 简装,高楼层(共11层)  板塔结合  -,
大社区 东南向 采光好 看花园 诚心出售,单价41752元/平米,350,| 2室2厅 | 83.83平米 | 东南 | 简装,中楼层(共20层)  1997年建板塔结合  -,
福民地铁 紫光名苑大三房 朝南 大阳台看香港 红本无税,单价60186元/平米,650,| 3室2厅 | 108平米 | 南 | 简装,高楼层(共31层)  2001年建板塔结合  -,
福田景田 福田外国语学位 小3房 诚意出售,单价61295元/平米,550,| 3室2厅 | 89.73平米 | 西南 | 精装,中楼层(共29层)  1998年建塔楼  -,
南向视野好，红本唯一住房，安静格局好,单价62069元/平米,360,| 2室2厅 | 58平米 | 南 | 精装,中楼层(共28层)  2007年建板塔结合  -,
满五唯一， 安静看花园， 带学位,单价59241元/平米,468,| 3室2厅 | 79平米 | 南 | 简装,高楼层(共8层)  1994年建板塔结合  -,
福田口岸 地铁房 港田花园 方正两房,单价51119元/平米,320,| 2室2厅 | 62.6平米 | 西北 | 精装,低楼层(共32层)  2001年建板塔结合  -,
嘉葆润金座，住宅3房，精装满二年，有钥匙,单价76812元/平米,530,| 3室2厅 | 69平米 | 东 南 | 精装,中楼层(共32层)  2013年建板塔结合  -,
下梅林 大众公寓 小一居 南向 总价低,单价42463元/平米,200,| 2室1厅 | 47.1平米 | 北 | 简装,中楼层(共8层)  2000年建塔楼  -,
长城花园 经典复式两房 带百花小学实验中学学位,单价74138元/平米,645,| 2室1厅 | 87平米 | 南 | 其他,中楼层(共17层)  1989年建板楼  -,
★★★红本在手满五年 交易快 业主诚售❤,单价101124元/平米,900,| 3室1厅 | 89平米 | 南 北 | 简装,中楼层(共18层)  1993年建塔楼  -,
蜜园 精装地铁房  低总价小户型 投资首选,单价55589元/平米,189,| 1室0厅 | 34平米 | 东南 | 精装,中楼层(共33层)  2007年建塔楼  -,
带百花学位小区花园房长怡花园四房出售,单价76737元/平米,950,| 4室2厅 | 123.8平米 | 东南 | 精装,低楼层(共29层)  2000年建板塔结合  -,
泰康轩两房  满两年  红本在手 学位房,单价69194元/平米,429,| 2室1厅 | 62平米 | 南 | 简装,中楼层(共31层)  2003年建塔楼  -,
福田佳兆业中心稀缺顶层复试，单层面积69平米,单价68116元/平米,470,| 3室2厅 | 69平米 | 南 北 | 精装,高楼层(共29层)  2005年建板塔结合  -,
香山美树118平大三房 赠送一个大入户花园 朝南向,单价84746元/平米,1000,| 3室2厅 | 118平米 | 南 | 精装,低楼层(共22层)  2003年建塔楼  -,
小区少有两房方正户型   看皇岗公园  安静视野好,单价66102元/平米,390,| 2室2厅 | 59平米 | 南 | 精装,高楼层(共32层)  2004年建塔楼  -,
