name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
万科金域蓝湾 近地铁 中高楼层,单价25000元/平米,260,| 3室2厅 | 104平米 | 西南 | 其他,中楼层(共25层)  2008年建塔楼  -,
云苑新村 格局方正 交通便利,单价15000元/平米,60,| 2室1厅 | 40平米 | 东北 | 其他,高楼层(共9层)  1999年建塔楼  -,
元邦航空家园 精装三房望花园 送私家平台,单价17188元/平米,165,| 3室2厅 | 96平米 | 北 | 精装,低楼层(共15层)  2004年建塔楼  -,
景泰新村 证过两年 带省级学位 黄金楼层,单价16667元/平米,105,| 2室1厅 | 63平米 | 东 | 简装,中楼层(共8层)  2008年建塔楼  -,
阳光美居 楼梯复式 舒适干净,单价15569元/平米,260,| 4室2厅 | 167平米 | 北 | 精装,高楼层(共6层)  2001年建塔楼  -,
百事佳新村 简装两房 厅出阳台 省级学位,单价17648元/平米,120,| 2室1厅 | 68平米 | 西 | 其他,低楼层(共7层)  2006年建塔楼  -,
万达广场公寓 投资自住两相宜 难得好房,单价26000元/平米,130,| 1室1厅 | 50平米 | 东 | 其他,中楼层(共7层)  塔楼  -,
【满堂红链接】 康盈阁电梯高层 舒适三房,单价16819元/平米,148,| 3室1厅 | 88平米 | 西 | 简装,高楼层(共6层)  1995年建塔楼  -,
汇侨新城 楼梯适中 实用一房 环境舒适,单价14118元/平米,72,| 1室1厅 | 51平米 | 南 | 其他,低楼层(共9层)  2000年建塔楼  -,
时代花园厅出阳台南向4居 正望花园泳池,单价28468元/平米,390,| 4室2厅 | 137平米 | 南 | 简装,中楼层(共15层)  1999年建塔楼  -,
心谊路 金迪城市花园 电梯2房 精装修,单价16667元/平米,105,| 1室1厅 | 63平米 | 暂无数据 | 其他,中楼层(共15层)  1995年建塔楼  -,
汇侨新城 电梯楼四房 位置安静,单价15000元/平米,207,| 4室2厅 | 138平米 | 东北 | 其他,中楼层(共17层)  2000年建塔楼  -,
城西花园 低楼层三房 近地铁 配套齐全,单价24359元/平米,190,| 3室1厅 | 78平米 | 北 | 其他,低楼层(共6层)  1999年建塔楼  -,
富力桃园A区三房 精装修 格局好,单价21979元/平米,200,| 3室2厅 | 91平米 | 东北 | 精装,高楼层(共32层)  2004年建塔楼  -,
田心花园 东南向望公园 方正三房,单价17074元/平米,140,| 3室2厅 | 82平米 | 南 | 其他,中楼层(共9层)  1998年建塔楼  -,
云景花园 云枫苑 安静看花园 采光通风好,单价30810元/平米,350,| 3室2厅 | 113.6平米 | 东北 | 其他,中楼层(共11层)  2002年建塔楼  -,
合一国际 地铁旁新靓小区 精装 配套好,单价30435元/平米,350,| 3室2厅 | 115平米 | 南 | 简装,低楼层(共23层)  2006年建塔楼  -,
飞翔公园地铁 穗云苑 精装大三房 采光十,单价19566元/平米,180,| 3室2厅 | 92平米 | 东北 | 其他,低楼层(共7层)  1999年建塔楼  -,
富力半岛花园 实用率高 朝向好 证过5年,单价17089元/平米,135,| 3室1厅 | 79平米 | 东南 | 其他,高楼层(共7层)  1998年建塔楼  -,
富力半岛花园 精装三房 望泳池,单价21464元/平米,220,| 3室2厅 | 102.5平米 | 东北 | 其他,中楼层(共27层)  2002年建塔楼  -,
景泰新村 低层单位 入读名校 旺中带静,单价20000元/平米,80,| 2室1厅 | 40平米 | 北 | 其他,低楼层(共8层)  2008年建塔楼  -,
新兴白云花园 实用两房  低楼层,单价15364元/平米,110,| 2室2厅 | 71.6平米 | 西北 | 其他,低楼层(共9层)  1999年建塔楼  -,
富力桃园 中高层户型 环境舒适 视野开阔,单价25648元/平米,218,| 2室1厅 | 85平米 | 北 | 其他,中楼层(共23层)  2004年建塔楼  -,
城西花园 实用2房 地铁上盖 东南向,单价18254元/平米,115,| 2室2厅 | 63平米 | 东南 | 其他,中楼层(共9层)  1999年建塔楼  -,
云山雅苑 电梯三房,单价35000元/平米,409.5,| 3室2厅 | 117平米 | 南 | 其他,中楼层(共18层)  2008年建塔楼  -,
湛安小区 刚需小两房 户型好 保养靓,单价14706元/平米,75,| 2室1厅 | 51平米 | 北 | 其他,低楼层(共9层)  1998年建塔楼  -,
汇侨新城 证满五年 东向望花园,单价16399元/平米,115,| 2室1厅 | 70.13平米 | 东 | 其他,中楼层(共17层)  2000年建塔楼  -,
嘉德苑 中高楼层 间隔方正 面积实用,单价13125元/平米,105,| 2室1厅 | 80平米 | 北 | 简装,高楼层(共9层)  2003年建塔楼  -,
金域蓝湾 精装3房 过五唯一 配套成熟,单价28125元/平米,270,| 3室2厅 | 96平米 | 东北 | 其他,中楼层(共19层)  2008年建塔楼  -,
香柏广场 精装一房一厅 拎包入住,单价36037元/平米,200,| 1室1厅 | 55.5平米 | 南 | 简装,低楼层(共30层)  2010年建塔楼  -,
四房大套间 座落市中心,单价23438元/平米,600,| 4室2厅 | 256平米 | 南 | 精装,中楼层(共5层)  1998年建塔楼  -,
金碧雅苑 精装两居室 东向 光充足,单价24265元/平米,165,| 2室2厅 | 68平米 | 南 | 其他,中楼层(共18层)  2005年建塔楼  -,
南湖半山豪庭实用4房,景观好,单价25642元/平米,500,| 4室2厅 | 195平米 | 东北 | 其他,中楼层(共23层)  2005年建塔楼  -,
南航新村 方正小三房 朝向好,单价13013元/平米,108,| 3室1厅 | 83平米 | 南 | 其他,高楼层(共9层)  1997年建塔楼  -,
中海金沙湾B区大三房 视野好 保养新净,单价23027元/平米,350,| 4室2厅 | 152平米 | 西南 | 其他,中楼层(共33层)  2009年建塔楼  -,
广州富力城 精装修 望泳池 家私家电齐全,单价17925元/平米,190,| 3室2厅 | 106平米 | 西 | 其他,中楼层(共18层)  2005年建塔楼  -,
富力桃园B区 三房 开阔视野 方正户型,单价21000元/平米,252,| 3室2厅 | 120平米 | 西南 | 其他,低楼层(共32层)  2004年建塔楼  -,
云景名都 地铁物业 精装三房 朝南采光好,单价31217元/平米,295,| 3室2厅 | 94.5平米 | 南 | 其他,低楼层(共23层)  2002年建塔楼  -,
岭南新世界 精装两房 中层单位,单价31966元/平米,236,| 2室2厅 | 73.83平米 | 南 | 其他,低楼层(共16层)  2001年建塔楼  -,
星汇金沙一期 地铁楼盘 南北对流户型修改,单价21970元/平米,290,| 3室2厅 | 132平米 | 南 | 其他,中楼层(共32层)  2013年建塔楼  -,
云裳丽影 安静望花园 稀缺两房 难得放盘,单价30115元/平米,262,| 2室2厅 | 87平米 | 北 | 精装,低楼层(共31层)  2007年建塔楼  -,
富力桃园C区 中层四房 视野开阔,单价22835元/平米,290,| 4室2厅 | 127平米 | 东北 | 其他,低楼层(共30层)  2004年建塔楼  -,
中海金沙湾 全新装修配套 买房子送家电家,单价24118元/平米,246,| 3室2厅 | 102平米 | 西南 | 精装,高楼层(共33层)  2007年建塔楼  -,
新市花园 楼梯低层 新装两房,单价12958元/平米,92,| 2室1厅 | 71平米 | 东 | 精装,低楼层(共9层)  1994年建塔楼  -,
景泰新村景泰西四巷 2室1厅 93万,单价15000元/平米,93,| 2室1厅 | 62平米 | 西 | 简装,高楼层(共8层)  2008年建塔楼  -,
金碧新城 两房一厅 厅直出阳台 精装修,单价19048元/平米,120,| 2室1厅 | 63平米 | 东北 | 其他,中楼层(共11层)  2004年建塔楼  -,
白云明珠广场 电梯三楼 两房 实用二房,单价16667元/平米,125,| 2室1厅 | 75平米 | 南 | 简装,低楼层(共14层)  1996年建塔楼  -,
机场路 晓翠苑 电梯高层两房 厅出阳台,单价15439元/平米,88,| 2室1厅 | 57平米 | 西南 | 其他,高楼层(共15层)  1999年建塔楼  -,
三元里大道 合益小区 明日之星学位两居,单价10469元/平米,67,| 2室1厅 | 64平米 | 东 | 简装,高楼层(共9层)  1995年建塔楼  -,
机场路 康雅花园 低层双阳台两居,单价14865元/平米,110,| 2室1厅 | 74平米 | 暂无数据 | 简装,低楼层(共9层)  1999年建塔楼  -,
实用小两房 东南靓向 新装修,单价13105元/平米,65,| 2室1厅 | 49.6平米 | 南 | 简装,高楼层(共9层)  1994年建塔楼  -,
贝丽花园 带书房 中层单位 业主诚心放卖,单价23259元/平米,180,| 2室1厅 | 77.39平米 | 暂无数据 | 其他,中楼层(共15层)  2009年建塔楼  -,
岭南新世界 大气四房 南北对流,单价22933元/平米,305,| 4室2厅 | 133平米 | 北 | 简装,低楼层(共18层)  2008年建塔楼  -,
飞鹅西路 温馨两房 宽阔明亮 宜居首选,单价17648元/平米,90,| 2室1厅 | 51平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
松南小区 刚需两房 方正实用,单价11957元/平米,75,| 2室1厅 | 62.73平米 | 东 | 简装,中楼层(共9层)  1998年建塔楼  -,
机场路 万方园 临近地铁 两房出售,单价19211元/平米,146,| 2室1厅 | 76平米 | 东 | 简装,中楼层(共18层)  1999年建塔楼  -,
汇侨新城南区 2室2厅 80万,单价14286元/平米,80,| 2室2厅 | 56平米 | 南 | 其他,中楼层(共9层)  2000年建塔楼  -,
高层望万达，送天台花园108平方,单价60186元/平米,650,| 5室2厅 | 108平米 | 东北 | 简装,高楼层(共21层)  2006年建塔楼  -,
贝丽花园 厅出阳台 三房带主套,单价23196元/平米,225,| 3室2厅 | 97平米 | 北 | 简装,低楼层(共15层)  2000年建塔楼  -,
白云明珠广场 精致一房 实用性价比高,单价16924元/平米,88,| 1室1厅 | 52平米 | 暂无数据 | 其他,低楼层(共14层)  1996年建塔楼  -,
康雅花园 中层单位 63平方三房 实用高,单价15239元/平米,96,| 3室1厅 | 63平米 | 南 | 其他,中楼层(共9层)  1999年建塔楼  -,
卡布奇诺 黄金楼层 精装修 采光极好,单价19380元/平米,70,| 1室1厅 | 36.12平米 | 南 | 其他,中楼层(共8层)  2012年建塔楼  -,
嘉景园 标准两房两厅 户型方正,单价11704元/平米,90,| 2室2厅 | 76.9平米 | 东南 | 其他,高楼层(共9层)  1997年建塔楼  -,
三元里大道 实用两房 通风采光一流,单价11112元/平米,53,| 2室1厅 | 47.7平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
二期南向三房 安静望花园 名校学位,单价28441元/平米,310,| 3室2厅 | 109平米 | 西南 | 其他,低楼层(共16层)  2007年建塔楼  -,
三元里 新市花园两房 格局方正 小区幽静,单价9660元/平米,85,| 3室1厅 | 88平米 | 东南 | 简装,高楼层(共9层)  1994年建塔楼  -,
临近地铁 金迪城市花园 电梯高层 一房,单价16889元/平米,76,| 1室1厅 | 45平米 | 东 | 简装,中楼层(共15层)  1995年建塔楼  -,
富力阳光美居花园 南向三房 双阳台望花园,单价19231元/平米,200,| 3室2厅 | 104平米 | 南 | 精装,高楼层(共16层)  2001年建塔楼  -,
机场路 民航小区 南北通透 旺中带静,单价13847元/平米,90,| 2室2厅 | 65平米 | 东南 | 简装,高楼层(共7层)  1995年建塔楼  -,
馨雅居 实用两房 带主套 新装修,单价11291元/平米,70,| 2室1厅 | 62平米 | 西北 | 其他,高楼层(共9层)  2008年建塔楼  -,
东南朝向 厅大房大 适合有老人居住,单价16843元/平米,160,| 3室2厅 | 95平米 | 暂无数据 | 其他,低楼层(共8层)  1996年建塔楼  -,
祥景花园 精致两房 通风采光 格局方正,单价15511元/平米,76,| 2室1厅 | 49平米 | 北 | 简装,高楼层(共9层)  2000年建塔楼  -,
云景花园 电梯高层大三房 入读名校,单价23390元/平米,260,| 3室2厅 | 111.16平米 | 西北 | 精装,高楼层(共11层)  2002年建塔楼  -,
金名都 实用两房 东向望江,单价19000元/平米,152,| 2室1厅 | 80平米 | 东 | 其他,高楼层(共45层)  2008年建塔楼  -,
优质小区 近地铁 采光通风好,单价37268元/平米,600,| 5室2厅 | 161平米 | 西南 | 精装,高楼层(共6层)  2001年建塔楼  -,
东湖映月.北向两居室.高层单位,单价17747元/平米,126,| 2室2厅 | 71平米 | 北 | 其他,高楼层(共33层)  2012年建塔楼  -,
机场路 香江苑 大三房 交通便利 实用,单价14964元/平米,130,| 3室2厅 | 86.88平米 | 暂无数据 | 其他,高楼层(共9层)  1995年建塔楼  -,
春庭花园中高层两房一厅出售,单价13067元/平米,98,| 2室1厅 | 75平米 | 东南 | 简装,高楼层(共9层)  2008年建塔楼  -,
经典南向五房 安静舒适 低调奢华,单价23869元/平米,580,| 5室2厅 | 243平米 | 南 | 其他,高楼层(共5层)  2003年建塔楼  -,
精装三房 东南朝向 厅出阳台 小区管理,单价16026元/平米,125,| 3室1厅 | 78平米 | 东南 | 其他,高楼层(共9层)  2006年建塔楼  -,
云山居   望花园大三房,单价18868元/平米,200,| 3室2厅 | 106平米 | 北 | 其他,中楼层(共5层)  2000年建塔楼  -,
保利紫薇花园 精致三房 格局方正,单价22917元/平米,220,| 3室2厅 | 96平米 | 北 | 简装,中楼层(共18层)  2006年建塔楼  -,
城西花园 2室2厅 115万,单价17693元/平米,115,| 2室2厅 | 65平米 | 西 | 简装,中楼层(共9层)  1999年建塔楼  -,
富力半岛花园 正望泳池 装修新 南北对流,单价19074元/平米,170,| 3室2厅 | 89.13平米 | 东南 | 简装,中楼层(共18层)  2002年建塔楼  -,
民航绿化街小区 实用大2房 近地铁,单价21952元/平米,180,| 2室2厅 | 82平米 | 东北 | 简装,中楼层(共14层)  1995年建塔楼  -,
星汇金沙 毛坯三房 临近地铁,单价23847元/平米,310,| 3室2厅 | 130平米 | 南 | 其他,高楼层(共29层)  2013年建塔楼  -,
云西小区 低层两房 全新装修 成熟配套,单价18549元/平米,115,| 2室1厅 | 62平米 | 北 | 简装,低楼层(共8层)  1996年建塔楼  -,
机场路 中意花园 电梯高层 南向采光,单价18265元/平米,100,| 2室2厅 | 54.75平米 | 南 | 简装,高楼层(共15层)  1998年建塔楼  -,
隆康花园 三房带主套 双阳台 学区近地铁,单价25774元/平米,250,| 3室2厅 | 97平米 | 西南 | 其他,中楼层(共9层)  2002年建塔楼  -,
中海金沙湾 正南向靓景 四房带杂物间,单价21019元/平米,303,| 4室2厅 | 144.16平米 | 南 | 其他,中楼层(共33层)  2007年建塔楼  -,
时代玫瑰园 正东向大三房 安静望花园修改,单价26191元/平米,330,| 3室2厅 | 126平米 | 东 | 其他,高楼层(共18层)  2006年建塔楼  -,
富力半岛花园 朝向好 对流通风,单价20246元/平米,165,| 3室2厅 | 81.5平米 | 南 | 其他,中楼层(共33层)  2005年建塔楼  -,
广州富力城,豪华装修,望湖单位满五年唯一,单价18820元/平米,220,| 3室2厅 | 116.9平米 | 北 | 其他,高楼层(共15层)  2007年建塔楼  -,
岭南新世界 精装三房 南北对流,单价27451元/平米,280,| 3室2厅 | 102平米 | 西南 | 简装,低楼层(共17层)  2008年建塔楼  -,
岭南新世界 实用四房 位置好,单价24604元/平米,335,| 4室2厅 | 136.16平米 | 南 | 其他,低楼层(共18层)  2008年建塔楼  -,
新市广场 低层三房 带平台出售 格局方正,单价12036元/平米,105,| 3室1厅 | 87.24平米 | 东 | 其他,中楼层(共9层)  1996年建塔楼  -,
星汇金沙步行8分钟到地铁站省级学位伴随,单价29788元/平米,560,| 4室2厅 | 188平米 | 南 | 其他,低楼层(共1层)  2013年建塔楼  -,
祥景花园 户型方正 一房一厅,单价16191元/平米,68,| 1室1厅 | 42平米 | 南 | 其他,高楼层(共9层)  1999年建塔楼  -,
富力城 带百方花园 难得一见 精品复式,单价34483元/平米,300,| 4室2厅 | 87平米 | 东 | 简装,低楼层(共18层)  2005年建塔楼  -,
恒大御景半岛 精装3房,单价18504元/平米,235,| 3室2厅 | 127平米 | 东 | 其他,中楼层(共31层)  2007年建塔楼  -,
三元里 地铁口 电梯两房 小区幽静,单价16066元/平米,98,| 2室1厅 | 61平米 | 北 | 其他,低楼层(共12层)  1997年建塔楼  -,
君华又一城 复式单位看白云山 稀缺户型,单价32259元/平米,300,| 3室2厅 | 93平米 | 东北 | 其他,高楼层(共9层)  2002年建塔楼  -,
金域蓝湾 高楼层三房 拎包入住,单价35000元/平米,350,| 3室2厅 | 100平米 | 东南 | 其他,高楼层(共34层)  2008年建塔楼  -,
颐和山庄高层复式.景观靓.朝向采光佳,单价30000元/平米,735,| 4室2厅 | 245平米 | 南 | 精装,高楼层(共7层)  1999年建塔楼  -,
富力半岛 装修新正 采光通风 环境舒适,单价17220元/平米,122,| 2室1厅 | 70.85平米 | 南 | 简装,高楼层(共7层)  1998年建塔楼  -,
春庭花园 精装两层复式 三房二厅,单价9272元/平米,100,| 3室2厅 | 107.86平米 | 西 | 其他,高楼层(共9层)  2008年建塔楼  -,
金名都 高层望江 南北对流 靓！,单价20000元/平米,184,| 3室2厅 | 92平米 | 东南 | 其他,中楼层(共45层)  2008年建塔楼  -,
合一国际 电梯黄金楼层 南向望空中花园修,单价29742元/平米,345,| 3室2厅 | 116平米 | 南 | 精装,高楼层(共23层)  2006年建塔楼  -,
岭南新世界 豪装四房 南向望花园,单价33334元/平米,420,| 3室2厅 | 126平米 | 南 | 精装,中楼层(共18层)  2003年建塔楼  -,
汇侨新城 电梯3房 带平台,单价17038元/平米,138,| 3室2厅 | 81平米 | 西北 | 其他,低楼层(共17层)  2000年建塔楼  -,
金桂园实用两房 园林式小区 电梯楼高层,单价28000元/平米,229.6,| 2室1厅 | 82平米 | 南 | 精装,高楼层(共12层)  2000年建塔楼  -,
隆康花园 复试单位 4房 带天台花园,单价28125元/平米,450,| 4室2厅 | 160平米 | 西北 | 其他,中楼层(共11层)  2002年建塔楼  -,
金域蓝湾 地铁口 温馨三房 过两年,单价31068元/平米,320,| 3室2厅 | 103平米 | 东南 | 其他,中楼层(共25层)  2008年建塔楼  -,
恒大御景 4房2厅户型方正 高层采光十足,单价15000元/平米,240,| 4室2厅 | 160平米 | 东 | 其他,低楼层(共31层)  2007年建塔楼  -,
地铁口 新新花园 南向精致 超实用的三房,单价15105元/平米,145,| 3室1厅 | 96平米 | 东南 | 其他,中楼层(共8层)  1998年建塔楼  -,
实用三房 装修保养新净 业主自住,单价15913元/平米,116,| 3室2厅 | 72.9平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
康盈阁 2室1厅 108万,单价14224元/平米,108,| 2室1厅 | 75.93平米 | 东 | 简装,中楼层(共6层)  1995年建塔楼  -,
高尔夫花园 大气三房 精致装修,单价23044元/平米,265,| 3室2厅 | 115平米 | 西 | 简装,低楼层(共14层)  2002年建塔楼  -,
百事佳新村 精装三房 厅出阳台 省级学位,单价20384元/平米,150,| 3室2厅 | 73.59平米 | 暂无数据 | 精装,中楼层(共9层)  2006年建塔楼  -,
临近地铁 侨爱苑 精致四房一厅 楼梯推介,单价16667元/平米,150,| 3室2厅 | 90平米 | 北 | 简装,中楼层(共9层)  1995年建塔楼  -,
松柏新村 中层三房 够五年,单价12020元/平米,125,| 3室2厅 | 104平米 | 暂无数据 | 其他,中楼层(共9层)  1996年建塔楼  -,
感受城市中的一刻宁静 居住最温馨的二居室,单价12904元/平米,80,| 2室1厅 | 62平米 | 暂无数据 | 其他,高楼层(共9层)  2008年建塔楼  -,
汇侨新城 电梯楼中高层 环境舒适,单价16154元/平米,105,| 2室1厅 | 65平米 | 北 | 其他,中楼层(共17层)  2000年建塔楼  -,
蓝天丽境格局方正住家正规两房！,单价16234元/平米,125,| 2室1厅 | 77平米 | 西南 | 简装,低楼层(共18层)  2000年建塔楼  -,
富力半岛 安静舒适三房户型 享全园林景观,单价18540元/平米,165,| 3室2厅 | 89平米 | 东南 | 简装,低楼层(共12层)  2000年建塔楼  -,
富林居 小区环境好 间隔方正 采光好,单价20834元/平米,150,| 3室1厅 | 72平米 | 北 | 其他,低楼层(共9层)  1999年建塔楼  -,
白云花园小户型出售.楼梯楼中层,单价14875元/平米,70,| 2室1厅 | 47.06平米 | 西南 | 其他,中楼层(共9层)  1999年建塔楼  -,
新市 新市新街三房 方正光线好 房出阳台,单价12311元/平米,100,| 2室1厅 | 81.23平米 | 北 | 其他,中楼层(共9层)  塔楼  -,
积德花园  封闭小区 通风采光好,单价15770元/平米,82,| 2室1厅 | 52平米 | 西南 | 其他,高楼层(共9层)  1998年建塔楼  -,
金碧新城 南向两房 方正实用 证够两年,单价18841元/平米,130,| 2室1厅 | 69平米 | 南 | 其他,中楼层(共18层)  2005年建塔楼  -,
省科协新市小区2室2厅 业主诚售,单价15073元/平米,115,| 2室2厅 | 76.3平米 | 南 | 其他,低楼层(共9层)  1996年建塔楼  -,
祥景花园 精致装修 采光通风好,单价15218元/平米,70,| 2室1厅 | 46平米 | 北 | 其他,高楼层(共9层)  1999年建塔楼  -,
新市花园 一房一厅 新装修,单价15600元/平米,39,| 1室1厅 | 25平米 | 北 | 其他,低楼层(共9层)  1994年建塔楼  -,
机场路 金迪城市花园 实用两房,单价16548元/平米,130,| 2室1厅 | 78.56平米 | 南 | 其他,低楼层(共15层)  1995年建塔楼  -,
雍翠园精致稀有小户型，住家首选,单价19013元/平米,154,| 2室1厅 | 81平米 | 西南 | 其他,低楼层(共15层)  2000年建塔楼  -,
中海金沙馨园 实用两房 高层西南向,单价18903元/平米,155,| 2室2厅 | 82平米 | 西南 | 其他,高楼层(共11层)  2008年建塔楼  -,
时代玫瑰园 高层 温馨三房 近地铁,单价26316元/平米,250,| 3室2厅 | 95平米 | 东南 | 简装,高楼层(共18层)  2004年建塔楼  -,
远景路旁 嘉华苑 中层两房 精致装修,单价13750元/平米,77,| 2室1厅 | 56平米 | 西北 | 其他,低楼层(共9层)  1995年建塔楼  -,
云景花园 电梯两房 户型方正 安静,单价29256元/平米,220,| 2室2厅 | 75.2平米 | 西南 | 简装,中楼层(共9层)  2002年建塔楼  -,
积德花园 精装改三房 北向 采光通风好,单价17152元/平米,118,| 3室1厅 | 68.8平米 | 北 | 其他,低楼层(共9层)  1998年建塔楼  -,
祥景花园中层实用小两房，采光好。,单价15152元/平米,88,| 2室1厅 | 58.08平米 | 南 | 其他,中楼层(共9层)  2000年建塔楼  -,
东方明珠花园 三房两厅 南北对流,单价25532元/平米,240,| 3室2厅 | 94平米 | 南 | 其他,低楼层(共9层)  1999年建塔楼  -,
锦翠苑 精装两房 安静舒适 高性价比,单价15334元/平米,92,| 2室1厅 | 60平米 | 北 | 简装,高楼层(共9层)  1993年建塔楼  -,
金域蓝湾 精装两房 双阳台,单价26745元/平米,230,| 2室2厅 | 86平米 | 西北 | 其他,高楼层(共34层)  2008年建塔楼  -,
岭南新世界 实用大两房,单价26933元/平米,230,| 2室2厅 | 85.4平米 | 东 | 其他,低楼层(共16层)  2001年建塔楼  -,
时代花园 稀缺户型 黄金楼层,单价26479元/平米,188,| 2室2厅 | 71平米 | 北 | 简装,低楼层(共15层)  1999年建塔楼  -,
白兰花园 中层两房 近地铁 近万达,单价22308元/平米,145,| 3室1厅 | 65平米 | 西南 | 其他,中楼层(共7层)  1998年建塔楼  -,
岭南新世界小区中央南向高层安静望花园,单价30164元/平米,255,| 2室2厅 | 84.54平米 | 南 | 其他,中楼层(共14层)  2001年建塔楼  -,
景泰新村 间隔三房 南北对流 居家首选,单价17583元/平米,160,| 3室1厅 | 91平米 | 南 | 简装,中楼层(共9层)  2008年建塔楼  -,
机场路金迪城市花园 电梯实用两房 近地铁,单价15080元/平米,95,| 2室1厅 | 63平米 | 北 | 简装,中楼层(共15层)  1995年建塔楼  -,
金德苑 低楼层 实用两房 交通便利,单价16284元/平米,85,| 2室1厅 | 52.2平米 | 西 | 其他,低楼层(共9层)  1997年建塔楼  -,
金碧新城 2室 新装修 格局方正,单价19566元/平米,135,| 2室1厅 | 69平米 | 南 | 精装,中楼层(共18层)  2005年建塔楼  -,
广州富力城 北区精选 方正三房,单价16667元/平米,155,| 3室2厅 | 93平米 | 北 | 其他,高楼层(共12层)  2008年建塔楼  -,
新市花园二期 实用两房 东向单位,单价15472元/平米,82,| 2室1厅 | 53平米 | 东 | 其他,中楼层(共9层)  1994年建塔楼  -,
民航小区 低层接地气两居室 方正实用,单价12143元/平米,85,| 2室1厅 | 70平米 | 南 | 其他,低楼层(共4层)  1995年建塔楼  -,
金碧新城 电梯高层两房 证够两年 精装修,单价20635元/平米,130,| 2室1厅 | 63平米 | 东北 | 其他,中楼层(共32层)  2006年建塔楼  -,
嘉德苑 三房两厅 精装修 望花园,单价16123元/平米,158,| 3室2厅 | 98平米 | 南 | 其他,中楼层(共9层)  2003年建塔楼  -,
云山熹景 稀缺南向三房 地铁口物业,单价33685元/平米,320,| 3室2厅 | 95平米 | 南 | 其他,低楼层(共16层)  2008年建塔楼  -,
西城苑 南北通两房一厅 方正实用 保养新,单价10635元/平米,67,| 2室1厅 | 63平米 | 东南 | 简装,高楼层(共9层)  2002年建塔楼  -,
嘉华苑 实用三房 带主套,单价15625元/平米,150,| 3室2厅 | 96平米 | 东南 | 简装,高楼层(共9层)  1995年建塔楼  -,
汇侨新城 北区两房,单价15000元/平米,105,| 2室1厅 | 70平米 | 北 | 其他,高楼层(共17层)  2000年建塔楼  -,
金兰花园 高层两房 精美装修,单价20000元/平米,124,| 2室2厅 | 62平米 | 东 | 精装,高楼层(共9层)  1998年建塔楼  -,
汇侨新城 东向望花园,单价13572元/平米,95,| 2室2厅 | 70平米 | 东 | 其他,低楼层(共17层)  2000年建塔楼  -,
三元里大道 实用三房 低总价,单价12234元/平米,126,| 3室2厅 | 103平米 | 东南 | 简装,低楼层(共9层)  1998年建塔楼  -,
汇侨新城 电梯高层南向两房 格局实用,单价15442元/平米,105,| 2室1厅 | 68平米 | 南 | 其他,高楼层(共17层)  2000年建塔楼  -,
同德花园 南向两房 通风光线好,单价13600元/平米,68,| 2室1厅 | 50平米 | 东南 | 其他,高楼层(共9层)  1998年建塔楼  -,
白云畔山花园 好3房 带省一级学位,单价19616元/平米,153,| 3室2厅 | 78平米 | 东南 | 其他,中楼层(共8层)  塔楼  -,
广州富力城 南区中层东向大三房带主套,单价16786元/平米,188,| 3室2厅 | 112平米 | 东北 | 其他,中楼层(共18层)  2005年建塔楼  -,
祥景花园 温馨两房 格局方正 证过五年,单价14286元/平米,80,| 2室1厅 | 56平米 | 北 | 其他,低楼层(共9层)  2000年建塔楼  -,
云枫苑 精装大三房 电梯房 送40平大露,单价34723元/平米,350,| 4室2厅 | 100.8平米 | 西南 | 简装,低楼层(共15层)  2002年建塔楼  -,
蓝天丽境 两房两厅 格局方正 厅出阳台,单价17858元/平米,150,| 2室2厅 | 84平米 | 东南 | 精装,低楼层(共18层)  2000年建塔楼  -,
三元里大道 晓翠苑 电梯高层温馨两居,单价15518元/平米,90,| 2室1厅 | 58平米 | 暂无数据 | 其他,高楼层(共15层)  1999年建塔楼  -,
广州富力城 全新未住 南向精装 方正,单价13415元/平米,110,| 2室2厅 | 82平米 | 西南 | 其他,低楼层(共17层)  2007年建塔楼  -,
机场路 又一居花园 复式单位地铁物业,单价25000元/平米,500,| 6室2厅 | 200平米 | 南 | 简装,高楼层(共15层)  1996年建塔楼  -,
中意花园高层大四房 东南靓向 奢华大气,单价17217元/平米,365,| 4室2厅 | 212平米 | 东南 | 其他,高楼层(共15层)  1998年建塔楼  -,
民航小区 中层两房 格局方正 采光好,单价16613元/平米,103,| 2室1厅 | 62平米 | 南 | 其他,中楼层(共6层)  1995年建塔楼  -,
春庭花园 超实用超值复式 视野开阔,单价8001元/平米,120.09,| 5室2厅 | 150.11平米 | 北 | 其他,高楼层(共9层)  2008年建塔楼  -,
金碧新城 单边位 全明屋 精美装修 超笋,单价17188元/平米,110,| 2室1厅 | 64平米 | 东北 | 简装,低楼层(共32层)  2006年建塔楼  -,
榕溪花园 71方两房格局好 一楼带花园,单价12677元/平米,90,| 2室2厅 | 71平米 | 东 | 其他,低楼层(共8层)  1996年建塔楼  -,
新达路21号 实用两房 格局方正,单价11667元/平米,70,| 2室1厅 | 60平米 | 东北 | 其他,中楼层(共9层)  塔楼  -,
云景花园 中层南北对流 实用两房,单价27381元/平米,230,| 3室2厅 | 84平米 | 东北 | 简装,低楼层(共10层)  2002年建塔楼  -,
