name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
玉雅居，两房，近仙桐公园空气好,单价48953元/平米,285,| 2室2厅 | 58.22平米 | 东南 北 | 其他,低楼层(共10层)  1998年建板塔结合  -,
幸福里雅居 高层豪宅视野好精装修 红本满五,单价99974元/平米,1880,| 3室2厅 | 188.05平米 | 南 北 | 精装,中楼层(共49层)  塔楼  -,
华丽西村，南北通三房，满五唯一，螺岭小学，带商铺,单价51332元/平米,480,| 3室1厅 | 93.51平米 | 南 | 简装,低楼层(共6层)  2009年建板楼  -,
此房待拆迁物业；红本在手；南北通透,单价49325元/平米,365,| 3室1厅 | 74平米 | 南 | 简装,高楼层(共7层)  1984年建板塔结合  -,
名骏豪庭 精装三房 一手业主 证满五年 唯一深房,单价50960元/平米,438,| 3室2厅 | 85.95平米 | 北 | 简装,中楼层(共18层)  2003年建板塔结合  -,
东方凤雅台精装朝北带双学位一房,单价52084元/平米,250,| 1室2厅 | 48平米 | 北 | 精装,低楼层(共9层)  2002年建板塔结合  -,
滨苑小区 标准两房 满五年唯一 红本在手 诚意出售,单价67693元/平米,528,| 2室1厅 | 78平米 | 南 北 | 简装,中楼层(共7层)    -,
都心名苑 晒布地铁物业 精装一室一厅 满五年唯一,单价55000元/平米,220,| 1室1厅 | 40平米 | 北 | 精装,高楼层(共23层)  2006年建板塔结合  -,
深圳中学 翠北外国语实验小学学位房,单价64049元/平米,685,| 3室2厅 | 106.95平米 | 东北 | 精装,低楼层(共34层)  2000年建板塔结合  -,
三地铁口 庐峰翠苑优质大四房精装修满两年 翠园学位,单价55971元/平米,750,| 4室2厅 | 134平米 | 东南 | 精装,低楼层(共15层)  板塔结合  -,
沃尔玛楼上 紧邻地铁口 黄金楼层 满五年 业主诚心出售,单价51283元/平米,200,| 1室1厅 | 39平米 | 南 | 其他,高楼层(共21层)  2001年建塔楼  -,
莲花阁，待拆迁物业方正大两房精装修,单价50658元/平米,385,| 2室2厅 | 76平米 | 东南 | 其他,中楼层(共8层)    -,
百仕达三期君逸华府 精装修 地铁房,单价66667元/平米,300,| 1室1厅 | 45平米 | 南 | 精装,中楼层(共32层)  2001年建塔楼  -,
满二低税 稀缺待拆 珠宝商圈 核心位置 重点双学位,单价61878元/平米,410,| 2室1厅 | 66.26平米 | 东南 | 精装,中楼层(共6层)  板塔结合  -,
103平大四房 红本在手满五年 东南向卧室带大阳台,单价49515元/平米,510,| 4室1厅 | 103平米 | 东南 | 简装,高楼层(共7层)  板塔结合  -,
金园花园 标准两房 不临街安静适合居家 业主诚心出售,单价52728元/平米,290,| 2室1厅 | 55平米 | 东 | 简装,中楼层(共15层)  2000年建板塔结合  -,
金豪花园 满五唯一 笋岗学位 黄金楼层,单价41009元/平米,340,| 3室2厅 | 82.91平米 | 东 南 西 | 简装,低楼层(共8层)  1993年建板塔结合  -,
碧湖花园精装三房 满五年唯一  不临街 税费低 带学位,单价43739元/平米,468,| 3室2厅 | 107平米 | 东南 | 精装,低楼层(共33层)  1995年建塔楼  -,
深发花园 家门口就是地铁站 满五唯一 红本在手学位房,单价42529元/平米,370,| 3室2厅 | 87平米 | 东北 | 精装,低楼层(共32层)  1994年建板塔结合  -,
20万精装修螺岭学位满五唯一，红本再手。,单价56411元/平米,440,| 2室2厅 | 78平米 | 南 | 精装,中楼层(共34层)  1998年建板塔结合  -,
凯悦华庭 3房 一手业主  诚心放卖,单价49550元/平米,550,| 3室2厅 | 111平米 | 东 | 精装,低楼层(共29层)  2002年建塔楼  -,
和平广场稀缺三房 地铁口物业 居家装修 东门商业旁,单价54762元/平米,460,| 3室2厅 | 84平米 | 西南 | 简装,低楼层(共34层)  2000年建板塔结合  -,
名骏豪庭 满五年唯一 标准两房 卧室出阳台,单价49276元/平米,340,| 2室2厅 | 69平米 | 西北 | 其他,低楼层(共28层)  2003年建板塔结合  -,
大信大厦优质两居 满五年唯一精装学位房换房急售,单价39785元/平米,370,| 2室1厅 | 93平米 | 东南 | 精装,中楼层(共29层)  1992年建板塔结合  -,
航运大院 精装3房 采光好 楼层好 配套齐全,单价54023元/平米,470,| 3室2厅 | 87平米 | 南 | 简装,中楼层(共7层)  1985年建板塔结合  -,
万象城都市名园 112平3房 满五唯一 楼层好采光足,单价54286元/平米,608,| 3室2厅 | 112平米 | 西北 | 简装,中楼层(共32层)  1990年建板塔结合  -,
绿景山庄 南北通透 三房 满五唯一,单价43993元/平米,450,| 3室2厅 | 102.29平米 | 东 西 | 简装,低楼层(共8层)  板塔结合  -,
莲塘 畔山花园3房 满五唯一 红本 带花园,单价50562元/平米,450,| 3室2厅 | 89平米 | 南 | 其他,低楼层(共8层)  1998年建板塔结合  -,
英达花园 红本在手  地铁房,单价38542元/平米,370,| 3室1厅 | 96平米 | 南 | 精装,高楼层(共29层)  1995年建塔楼  -,
京基收购水贝村 12月洪湖地铁站开通 现单价5万2待拆迁,单价52632元/平米,500,| 4室2厅 | 95平米 | 南 | 精装,中楼层(共7层)  1981年建板塔结合  -,
龙园山庄简约田园风精致两房  满五唯一,单价38644元/平米,237,| 2室1厅 | 61.33平米 | 南 | 精装,低楼层(共8层)  1997年建板塔结合  -,
金色都汇 精装单间 满五唯一 红本在手,单价50834元/平米,183,| 1室0厅 | 36平米 | 东北 | 精装,中楼层(共25层)  2004年建塔楼  -,
今日家园 精装复式两居 带翠园学位,单价50000元/平米,340,| 2室1厅 | 68平米 | 北 | 精装,中楼层(共25层)  1999年建板塔结合  -,
嘉年华名苑，东门，2房一厅，学位房，400万,单价58824元/平米,400,| 2室1厅 | 68平米 | 东南 | 简装,中楼层(共31层)  2003年建板塔结合  -,
布心花园四区 正规大三房 带布心中学小学学位,单价44080元/平米,405,| 3室1厅 | 91.88平米 | 南 北 | 精装,中楼层(共7层)  1992年建板塔结合  -,
金城大厦 户型方正 精装修 国贸1号线,单价42046元/平米,185,| 2室1厅 | 44平米 | 东南 | 精装,高楼层(共23层)  1984年建板塔结合  -,
满五唯一税费少，临近地铁口带桂圆中学两房,单价56850元/平米,310,| 2室1厅 | 54.53平米 | 南 | 其他,低楼层(共27层)  2000年建板塔结合  -,
今日家园   天然氧吧   翠园学位,单价49265元/平米,335,| 2室1厅 | 68平米 | 南 | 简装,低楼层(共25层)  1999年建板塔结合  -,
怡泰大厦  翠竹学位 翠竹地铁站,单价49167元/平米,590,| 4室1厅 | 120平米 | 南 | 精装,中楼层(共40层)  1998年建板塔结合  -,
金福翠竹小学学位+翠竹地铁口东门800米+客厅30平米,单价60000元/平米,450,| 3室1厅 | 75平米 | 东南 | 简装,高楼层(共21层)  1996年建塔楼  -,
都市名园 2房 满五唯一 业主诚意出售 楼层好 采光棒,单价48349元/平米,360,| 2室1厅 | 74.46平米 | 南 | 简装,低楼层(共32层)  1990年建板塔结合  -,
峰景台大厦。三房两厅，红本满五年，翠园学位,单价45653元/平米,420,| 3室2厅 | 92平米 | 西南 | 简装,高楼层(共28层)  1999年建板塔结合  -,
带深中学位+洪湖公园50m+双地铁双公园+2004年建成,单价61064元/平米,380,| 2室2厅 | 62.23平米 | 西 | 精装,高楼层(共25层)  2001年建板塔结合  -,
云景一房改两房 中层东北向 全明户型 无增值税,单价53192元/平米,250,| 1室1厅 | 47平米 | 东北 | 精装,中楼层(共29层)  2002年建板塔结合  -,
距离地铁500米，深中学位厅出阳台采光好，月租金5000,单价65082元/平米,405,| 2室2厅 | 62.23平米 | 西 | 简装,中楼层(共25层)  2001年建板塔结合  -,
雅致精装一房一厅  安静舒适 户型方正 中高层视野开阔,单价50858元/平米,178,| 1室1厅 | 35平米 | 南 | 精装,中楼层(共32层)  2004年建塔楼  -,
合正锦园二期，满五年，红本在手，靠山安静舒适。,单价59927元/平米,438,| 2室2厅 | 73.09平米 | 北 | 精装,中楼层(共16层)  2005年建板塔结合  -,
红本满五年 小区中间位置 中间楼层  格局通透,单价48388元/平米,450,| 3室2厅 | 93平米 | 南 | 简装,中楼层(共7层)  板塔结合  -,
鸿翔花园 南向精装大四房  红本在手 业主诚售 赠入户,单价73146元/平米,1400,| 4室2厅 | 191.4平米 | 西南 | 精装,中楼层(共31层)  2006年建板塔结合  -,
华兴花园实用三房 南北通透 黄金楼层 地铁房安静舒适,单价43060元/平米,335,| 3室1厅 | 77.8平米 | 南 | 其他,中楼层(共7层)    -,
龙园山庄电梯大二房，业主诚心卖,单价35625元/平米,285,| 2室2厅 | 80平米 | 南 | 精装,低楼层(共30层)  2000年建板塔结合  -,
美景大厦 3室1厅 320万,单价44084元/平米,320,| 3室1厅 | 72.59平米 | 东北 | 其他,低楼层(共29层)  1995年建板塔结合  -,
梧桐山新居一房，房本满五年，户型方正莲塘,单价61200元/平米,153,| 1室0厅 | 25平米 | 南 | 简装,低楼层(共9层)  2002年建塔楼  -,
东港中心 近地铁 东门成熟商圈,单价45222元/平米,238,| 1室1厅 | 52.63平米 | 北 | 简装,高楼层(共19层)  板塔结合  -,
龙园山庄  电梯1房1厅  朝南 户型方正,单价43637元/平米,192,| 1室1厅 | 44平米 | 东南 | 简装,高楼层(共25层)  2006年建塔楼  -,
双城世纪  采光好，户型方正，管理完善,单价47917元/平米,230,| 1室1厅 | 48平米 | 西南 | 精装,中楼层(共29层)  2005年建板塔结合  -,
满五唯一，学位未用，黄贝岭地铁，税低投资,单价65948元/平米,275,| 1室1厅 | 41.7平米 | 北 | 精装,高楼层(共31层)  2011年建板塔结合  -,
罗湖国贸 兴隆大厦三房 新装修 满2年 免增值税,单价33784元/平米,250,| 3室1厅 | 74平米 | 西北 | 精装,低楼层(共30层)  1988年建板塔结合  -,
鹏城花园 3室2厅 390万,单价44319元/平米,390,| 3室2厅 | 88平米 | 南 | 简装,中楼层(共7层)  1995年建板塔结合  -,
城市天地广场 1房 满五唯一 采光好 楼层好,单价52583元/平米,280,| 1室1厅 | 53.25平米 | 南 | 简装,高楼层(共41层)  2005年建板塔结合  -,
东方华都经典一房带学位，装修可直接入住！,单价64103元/平米,250,| 1室1厅 | 39平米 | 西 | 简装,中楼层(共32层)  2005年建板塔结合  -,
文锦大厦  三房一厅 79㎡ 高层 红本无税 采光好,单价41615元/平米,330,| 3室1厅 | 79.3平米 | 东北 | 简装,高楼层(共32层)  1989年建板塔结合  -,
翡翠园  布心地铁站  居家两房 满五年唯一,单价47620元/平米,200,| 1室1厅 | 42平米 | 南 | 精装,中楼层(共7层)  2001年建板塔结合  -,
缤纷时代家园 精装一房 满五年红本在手晒布地铁口物业,单价60484元/平米,255,| 1室1厅 | 42.16平米 | 西 | 精装,低楼层(共32层)  2003年建板塔结合  -,
新上泊林正规一房景观无遮挡，业主诚售方便看房,单价56667元/平米,255,| 1室1厅 | 45平米 | 西 | 精装,高楼层(共30层)  2005年建板塔结合  -,
惠名花园，低总价急售，社区大，户型方正。,单价46000元/平米,138,| 0室2厅 | 30平米 | 北 | 精装,中楼层(共8层)  板塔结合  -,
星湖花园 原始一房一厅 学区房,单价42397元/平米,155,| 1室0厅 | 36.56平米 | 西南 | 简装,低楼层(共28层)  2005年建板塔结合  -,
地铁口优质一房，投资居家兼顾！,单价51982元/平米,223,| 1室1厅 | 42.9平米 | 北 | 简装,中楼层(共18层)  2002年建板塔结合  -,
名仕阁地铁口物业，适合投资或上班族首选,单价53774元/平米,285,| 1室1厅 | 53平米 | 西 | 精装,中楼层(共33层)  1999年建板塔结合  -,
东门168，红本无税，稀缺学位未用一房,单价61482元/平米,166,| 1室0厅 | 27平米 | 东南 | 其他,高楼层(共29层)  2004年建板塔结合  -,
华清园 3室1厅 350万,单价47081元/平米,350,| 3室1厅 | 74.34平米 | 北 | 精装,中楼层(共17层)  2000年建塔楼  -,
南洋大厦 满五唯一 黄金地带 交通便利,单价40000元/平米,180,| 1室1厅 | 45平米 | 南 | 其他,低楼层(共28层)  板塔结合  -,
汇泰大厦，满五维一，投资自住首选,单价48987元/平米,162,| 1室1厅 | 33.07平米 | 北 | 简装,低楼层(共33层)  2008年建板塔结合  -,
东南看中庭 方正客厅大厨房 实用两房,单价63971元/平米,435,| 2室2厅 | 68平米 | 东南 | 精装,中楼层(共32层)  2001年建塔楼  -,
聚龙大厦优质螺岭学位房 满五唯一,单价60000元/平米,240,| 1室1厅 | 40平米 | 东南 | 简装,中楼层(共32层)  板塔结合  -,
集浩花园大气五房，红本满五，翠园中学学位,单价40952元/平米,570,| 5室2厅 | 139.19平米 | 西 | 简装,低楼层(共24层)  1991年建塔楼  -,
丰湖花园 2室1厅 320万,单价47059元/平米,320,| 2室1厅 | 68平米 | 北 | 简装,中楼层(共26层)  2009年建板塔结合  -,
长虹大厦 2室2厅 350万,单价40230元/平米,350,| 2室2厅 | 87平米 | 西北 | 简装,中楼层(共22层)  1994年建塔楼  -,
风格名苑 单身公寓精装修 租金高,单价61291元/平米,190,| 1室0厅 | 31平米 | 东 | 精装,低楼层(共30层)  2006年建板塔结合  -,
晒布地铁口 东门天下又见好房 3房低价出售,单价47078元/平米,410,| 3室1厅 | 87.09平米 | 东 | 其他,低楼层(共31层)  2005年建塔楼  -,
松泉山庄 4室2厅 750万,单价46297元/平米,750,| 4室2厅 | 162平米 | 南 | 精装,高楼层(共6层)  1998年建板塔结合  -,
鹏兴花园三期，三房两卫，与鹏兴实验学校相隔一条马路,单价69482元/平米,780,| 3室2厅 | 112.26平米 | 南 | 其他,高楼层(共11层)  板塔结合  -,
东和住宅楼两房，满五唯一，厅出阳台，安静，朝东南,单价40000元/平米,290,| 2室2厅 | 72.5平米 | 东南 | 简装,高楼层(共8层)  板楼  -,
百仕达商圈顶楼带花园，4房可轻松改6房，采光好,单价60715元/平米,850,| 5室2厅 | 140平米 | 南 | 简装,高楼层(共7层)  1998年建板塔结合  -,
今日家园 满二端头位 光线充足 南向复式两居,单价50000元/平米,340,| 2室2厅 | 68平米 | 南 | 简装,低楼层(共25层)  1999年建板塔结合  -,
地铁口物业 正规一房一厅，装修精美,单价44763元/平米,200,| 1室1厅 | 44.68平米 | 东北 | 精装,中楼层(共20层)  1998年建塔楼  -,
汇泰大厦 交通便利           口岸附近,单价48485元/平米,160,| 1室0厅 | 33平米 | 北 | 简装,中楼层(共33层)  2008年建板塔结合  -,
经典小户型，采光好，业主诚心出售,单价44445元/平米,160,| 1室1厅 | 36平米 | 东 | 简装,中楼层(共29层)  1999年建板塔结合  -,
洪湖公园到200米珠宝商圈田贝水贝地铁商圈,单价41347元/平米,215,| 1室1厅 | 52平米 | 南 | 简装,中楼层(共26层)  1998年建板塔结合  -,
海珑华苑 2室1厅 456万,单价70154元/平米,456,| 2室1厅 | 65平米 | 东北 | 精装,中楼层(共34层)  1998年建板塔结合  -,
雍翠豪园 精装一房 户型方正 诚意出售,单价55000元/平米,220,| 1室1厅 | 40平米 | 西 | 简装,低楼层(共9层)  2001年建板塔结合  -,
新天地名居  一房一厅  交通便利 配套齐全,单价52565元/平米,205,| 1室0厅 | 39平米 | 西北 | 精装,低楼层(共31层)  2005年建板塔结合  -,
3号地铁口物业大地花园  精装修1房可改2房,单价39623元/平米,210,| 1室1厅 | 53平米 | 南 | 简装,中楼层(共26层)  1996年建板塔结合  -,
东门168稀缺一房，近地铁，带学位核心地段,单价63339元/平米,170,| 1室0厅 | 26.84平米 | 东南 | 精装,中楼层(共29层)  2004年建板塔结合  -,
经典一房  只需缴纳1%的契税,单价56452元/平米,175,| 1室0厅 | 31平米 | 西南 | 其他,中楼层(共29层)  2004年建板塔结合  -,
东门168 精装修小户型带学位,单价61500元/平米,246,| 1室1厅 | 40平米 | 东南 | 精装,中楼层(共24层)  2004年建板塔结合  -,
东门168一品雅园重点学位满五年唯一有红本,单价67711元/平米,160,| 1室0厅 | 23.63平米 | 东北 | 其他,高楼层(共29层)  2004年建板塔结合  -,
城市天地广场 满五唯一 高楼层 高楼层 南向 看香港,单价50981元/平米,260,| 1室1厅 | 51平米 | 南 | 精装,高楼层(共39层)  2005年建板塔结合  -,
汇泰大厦 1房 小户型 总价低 满五唯一 税费低,单价47879元/平米,158,| 1室0厅 | 33平米 | 北 | 精装,中楼层(共33层)  2008年建板塔结合  -,
城市天地广场 1房 南向 户型好 满五唯一,单价50201元/平米,250,| 1室1厅 | 49.8平米 | 南 | 精装,中楼层(共41层)  2005年建板塔结合  -,
国际名园 两房一厅 满两年无增值税 户型方正 采光充足,单价48077元/平米,250,| 2室1厅 | 52平米 | 西北 | 精装,中楼层(共31层)  2004年建板塔结合  -,
精装两房可改三房，静看山景，舒适居家！,单价47329元/平米,388,| 2室2厅 | 81.98平米 | 北 | 精装,中楼层(共34层)  2002年建板塔结合  -,
满两年免增值税！红本在手！厅出阳台！低于市场价急售,单价37705元/平米,230,| 2室1厅 | 61平米 | 北 | 精装,中楼层(共8层)  1995年建板塔结合  -,
风格名苑 满两年，高楼层，采光好，业主诚售,单价65218元/平米,300,| 1室1厅 | 46平米 | 西南 | 精装,高楼层(共30层)  2006年建板塔结合  -,
城市天地 精装修 两房两厅 满两年 南向 笋盘,单价46143元/平米,323,| 2室2厅 | 70平米 | 南 | 精装,中楼层(共41层)  2005年建板塔结合  -,
莲塘 畔山花园 正规4房 户型方正 采光充足 双学位！,单价51240元/平米,620,| 4室2厅 | 121平米 | 南 | 其他,中楼层(共8层)  1998年建板塔结合  -,
翠园中学顶楼复式，带独家车位送超大露台,单价54468元/平米,720,| 5室2厅 | 132.19平米 | 南 | 简装,高楼层(共7层)  1998年建板塔结合  -,
布心地铁站三房 精装修带布心学位,单价42683元/平米,350,| 3室1厅 | 82平米 | 南 | 简装,中楼层(共7层)  1995年建板塔结合  -,
振华苑实用三房出售，红本在手，满五唯一，诚心出售,单价42858元/平米,420,| 3室2厅 | 98平米 | 南 北 | 简装,中楼层(共8层)  2005年建板塔结合  -,
鹏兴二期居家过渡小两房，新装修，厅出阳台,单价58334元/平米,350,| 2室1厅 | 60平米 | 北 | 其他,中楼层(共16层)  2000年建板塔结合  -,
兴隆大厦三房 实用 精装 免营业税！,单价35274元/平米,260,| 3室1厅 | 73.71平米 | 南 | 简装,高楼层(共30层)  1988年建板塔结合  -,
航天晴山月，满五年南北三房，精装修，送40米,单价57972元/平米,800,| 3室2厅 | 138平米 | 南 | 其他,低楼层(共22层)  2008年建板塔结合  -,
百仕达乐湖精装三房 满五年 总价低 独家钥匙房,单价57606元/平米,818,| 3室2厅 | 142平米 | 东北 | 精装,低楼层(共32层)  2009年建板塔结合  -,
东门金座深小学位桂园中学学位,单价55264元/平米,210,| 1室1厅 | 38平米 | 东北 | 精装,中楼层(共22层)  2003年建板塔结合  -,
红本在手且唯一，满2年，旭飞华达园,单价53334元/平米,112,| 1室0厅 | 21平米 | 北 | 其他,低楼层(共24层)  2001年建塔楼  -,
东悦名轩稀缺一房，重点学位，双地铁,单价57397元/平米,220,| 1室1厅 | 38.33平米 | 东北 | 简装,低楼层(共33层)  2002年建板塔结合  -,
满五年 红本无税 高层南向 户型小 看房随时,单价65218元/平米,150,| 1室0厅 | 23平米 | 南 | 精装,高楼层(共24层)  2004年建板塔结合  -,
东门168南座 一室一厅 厅出阳台 学位未用 地铁物业,单价54946元/平米,220,| 1室1厅 | 40.04平米 | 东南 | 简装,中楼层(共24层)  2004年建板塔结合  -,
金城华庭 2室1厅 430万,单价68406元/平米,430,| 2室1厅 | 62.86平米 | 北 | 简装,高楼层(共24层)  2003年建板塔结合  -,
庐山花园 双地铁 红本大一房 投资自住两相宜,单价38322元/平米,190,| 1室1厅 | 49.58平米 | 南 | 简装,低楼层(共31层)  1997年建板塔结合  -,
双御雅轩 户型方正 南北通透！地铁房,单价82645元/平米,450,| 3室1厅 | 54.45平米 | 南 北 | 精装,高楼层(共25层)  2008年建塔楼  -,
城市天地广场  精装一居 满二年 红本在手,单价50593元/平米,269,| 1室1厅 | 53.17平米 | 东南 | 精装,中楼层(共41层)  2005年建板塔结合  -,
云峰花园 精装三居室 满五年 东南黄金朝向 红本在手,单价43810元/平米,460,| 3室2厅 | 105平米 | 东南 | 精装,中楼层(共33层)  1997年建塔楼  -,
罗湖金岸大厦 1房 总价低 适合投资 不限购不限贷,单价42858元/平米,120,| 1室0厅 | 28平米 | 东南 | 精装,低楼层(共33层)  2003年建板塔结合  -,
太阳新城 红本在手 厅出阳台,单价49276元/平米,340,| 2室1厅 | 69平米 | 北 | 精装,中楼层(共24层)  2002年建塔楼  -,
鸿翔花园 配置豪宅花园社区 无需深户就可购买的两房,单价63637元/平米,350,| 2室1厅 | 55平米 | 南 | 精装,高楼层(共29层)  2006年建板塔结合  -,
布心花园二区 2室1厅 350万,单价44872元/平米,350,| 2室1厅 | 78平米 | 南 北 | 其他,中楼层(共7层)  1987年建板塔结合  -,
鹏兴花园二期 2室1厅 350万,单价58334元/平米,350,| 2室1厅 | 60平米 | 南 | 精装,中楼层(共16层)  板塔结合  -,
房子过五年是家庭唯一住房朝南向业主诚心出售首付75万,单价57641元/平米,255,| 1室1厅 | 44.24平米 | 南 | 精装,中楼层(共30层)  2005年建板塔结合  -,
金城华庭 2室1厅 375万,单价66774元/平米,375,| 2室1厅 | 56.16平米 | 东北 | 精装,中楼层(共24层)  2003年建板塔结合  -,
聚宝综合楼温馨两房 满五唯一 业主诚售,单价47989元/平米,272,| 2室1厅 | 56.68平米 | 南 | 简装,中楼层(共8层)  1995年建板塔结合  -,
山湖居  布心地铁站  精装朝南两房 满五唯一,单价51563元/平米,330,| 2室2厅 | 64平米 | 南 | 精装,中楼层(共10层)  2002年建板塔结合  -,
风格名苑 业主变现 满五唯一 税费低 诚心急售此房,单价58710元/平米,182,| 1室0厅 | 31平米 | 东 | 精装,高楼层(共30层)  2006年建板塔结合  -,
罗湖古城区 万象城商圈 海关宿舍 宜家宜投资型房产,单价37189元/平米,310,| 3室0厅 | 83.36平米 | 南 | 简装,高楼层(共6层)  板塔结合  -,
汇泰大厦 精装修两房 厅出阳台落地窗 红本无税,单价55173元/平米,320,| 2室1厅 | 58平米 | 南 | 精装,高楼层(共33层)  2008年建板塔结合  -,
深中附近京基旧改+洪湖公园3号线田贝站+待拆迁,单价51283元/平米,400,| 2室2厅 | 78平米 | 南 | 简装,中楼层(共7层)  1981年建板塔结合  -,
布心花园一区 正规2房 满五年 业主有拆迁协议诚售,单价45071元/平米,320,| 2室2厅 | 71平米 | 南 | 精装,中楼层(共8层)  1987年建板塔结合  -,
城市天地广场 2房 满五唯一 采光好 楼层好,单价50000元/平米,300,| 2室1厅 | 60平米 | 南 | 精装,高楼层(共41层)  2005年建板塔结合  -,
和平新居 简单装修 三房可以改四房 客厅出阳台 朝南,单价34780元/平米,340,| 3室1厅 | 97.76平米 | 南 | 简装,高楼层(共5层)  板塔结合  -,
花半里别馆 户型方正 东南向 采光佳,单价48429元/平米,305,| 2室1厅 | 62.98平米 | 东南 | 其他,低楼层(共23层)  2008年建板塔结合  -,
置富公寓 精装正规小三房 南北通透 采光好,单价37403元/平米,288,| 3室2厅 | 77平米 | 南 北 | 精装,中楼层(共7层)  2001年建板塔结合  -,
华裕花园大三房 螺岭学位 满五唯一,单价47786元/平米,520,| 3室1厅 | 108.82平米 | 西北 | 精装,高楼层(共32层)  1996年建板塔结合  -,
龙园山庄 南向大二房 红本满五年,单价36624元/平米,282,| 2室2厅 | 77平米 | 南 | 简装,低楼层(共8层)  1997年建板塔结合  -,
合正锦湖魅力城 精装两房 翠竹地铁沿线,单价58702元/平米,452,| 2室2厅 | 77平米 | 东北 | 精装,低楼层(共31层)  2008年建板塔结合  -,
锦上花家园 满两年 三阳台 配套齐全,单价51177元/平米,435,| 3室1厅 | 85平米 | 北 | 精装,中楼层(共32层)  2003年建板塔结合  -,
双学位 近地铁 靠儿童公园  满五年唯一,单价40000元/平米,420,| 3室2厅 | 105平米 | 东南 | 精装,高楼层(共30层)  1995年建板塔结合  -,
星桂园两房东南向，客厅出阳台，红本无税,单价59323元/平米,350,| 2室1厅 | 59平米 | 东南 | 精装,高楼层(共20层)  2004年建板塔结合  -,
产权满五年 唯一住宅 免增值税 免个人所得税,单价38118元/平米,320,| 2室1厅 | 83.95平米 | 东北 | 简装,中楼层(共30层)  1996年建板塔结合  -,
湖馨苑复式两居，公园环抱，带学位,单价74391元/平米,305,| 2室1厅 | 41平米 | 东 | 精装,低楼层(共12层)  2009年建板塔结合  -,
聚龙大厦，红本无税，南向高层，诚心出售,单价52460元/平米,320,| 2室1厅 | 61平米 | 南 | 精装,高楼层(共31层)  板塔结合  -,
螺岭重点学校采光好10分钟到地铁户型方正。,单价49153元/平米,435,| 3室1厅 | 88.5平米 | 南 | 简装,中楼层(共28层)  板塔结合  -,
曦龙山庄花园社区好，客厅出阳台，无税急卖,单价53436元/平米,700,| 3室2厅 | 131平米 | 东 | 精装,低楼层(共11层)  2001年建板塔结合  -,
关口物业，满五唯一， 双学位，朝南景观好,单价48803元/平米,650,| 3室2厅 | 133.19平米 | 北 | 毛坯,中楼层(共50层)  2009年建板塔结合  -,
莲塘畔山花园，大三房，满五年红本在手，户型好！,单价42697元/平米,380,| 3室2厅 | 89平米 | 北 | 其他,高楼层(共8层)  1998年建板塔结合  -,
铂金时代 经典户型 户型方正 采光充足,单价48279元/平米,223,| 1室1厅 | 46.19平米 | 西南 | 精装,中楼层(共31层)  2008年建板塔结合  -,
双城世纪 精装修 两房 满五年唯一 红本在手,单价49489元/平米,290,| 2室2厅 | 58.6平米 | 北 | 精装,高楼层(共29层)  2006年建板塔结合  -,
龙园山庄，朝南大三房，精装修,单价36667元/平米,385,| 3室2厅 | 105平米 | 南 | 精装,中楼层(共8层)  1997年建板塔结合  -,
朝南三房自住，带精装修,单价74359元/平米,870,| 3室2厅 | 117平米 | 东 | 精装,低楼层(共30层)  2006年建板塔结合  -,
华丽东村满五唯一红本在手南北通透翠园学位,单价46635元/平米,370,| 3室2厅 | 79.34平米 | 东 西 | 简装,高楼层(共7层)  2009年建板塔结合  -,
鹏城花园 学区名额 满五年红本在手,单价38903元/平米,319,| 3室1厅 | 82平米 | 北 | 简装,低楼层(共7层)  1995年建板塔结合  -,
金贝苑=深中+翠北实验+珠宝地段+双地铁,单价58253元/平米,600,| 3室2厅 | 103平米 | 南 | 精装,中楼层(共16层)  2009年建塔楼  -,
布心花园方正三居，朝南光线充足,单价41359元/平米,380,| 3室1厅 | 91.88平米 | 南 | 简装,高楼层(共7层)  1992年建板塔结合  -,
田贝站地铁口 阳光天地家园 清水三居 朝南 诚心售,单价69513元/平米,570,| 3室2厅 | 82平米 | 南 | 毛坯,低楼层(共32层)  2002年建塔楼  -,
长丰苑78平大两房 红本满五 税费低,单价40000元/平米,312,| 2室1厅 | 78平米 | 东北 | 简装,低楼层(共30层)  2000年建板塔结合  -,
经典两房，非常稀缺，业主诚心出售,单价56972元/平米,380,| 2室1厅 | 66.7平米 | 东 | 简装,高楼层(共31层)  2003年建板塔结合  -,
业主诚信急售晒布地铁口东门天下重点学位房,单价56079元/平米,286,| 1室1厅 | 51平米 | 西南 | 精装,高楼层(共31层)  2005年建板塔结合  -,
太阳新城 居家两房 户型方正,单价51316元/平米,390,| 2室1厅 | 76平米 | 南 | 精装,低楼层(共18层)  2002年建塔楼  -,
梧桐山新居，户型稀缺，此房本满五年唯一！,单价60000元/平米,600,| 3室1厅 | 100平米 | 南 | 其他,中楼层(共7层)  2001年建板楼  -,
湖溪大厦满五唯一重点学区房,单价53449元/平米,310,| 2室1厅 | 58平米 | 南 | 其他,高楼层(共21层)  2000年建板塔结合  -,
锦花大厦 红本在手 南北对流 满5年,单价32381元/平米,340,| 3室1厅 | 105平米 | 西北 | 精装,低楼层(共24层)  1990年建板楼  -,
太阳新城 精装两房 客厅出阳台 满五唯一,单价52525元/平米,360,| 0室0厅 | 68.54平米 | 南 北 | 精装,低楼层(共24层)  2002年建塔楼  -,
